Extract Method	Translation	Positive	Negative	EmotionRationale
247 commit 548ec7733b01e1df7a0405ef01695287c37ae4f2 o support for applying password policy config changes dynamically (dirserver-1809) o updated the ppolicy config container to support dynamic configuration o updated authentication interceptor to return default policy when the user is anonymour or the custom policy is missing o refactored configpartitionreader to avoid searching when an entry is already available o updated tests 	247 commit 548ec7733b01e1df7a0405ef01695287c37ae4f2 o support for applying password policy config changes dynamically (dirserver-1809) o updated the policy config container to support dynamic configuration o updated authentication interceptor to return default policy when the user is anonymour or the custom policy is missing o refactored configpartitionreader to avoid searching when an entry is already available o updated tests	1	-2	 247[0] commit[0] 548ec7733b01e1df7a0405ef01695287c37ae4f2[0] o[0] support[0] for[0] applying[0] password[0] policy[0] config[0] changes[0] dynamically[0] dirserver[0] -1809[0] o[0] updated[0] the[0] ppolicy/policy[0] config[0] container[0] to[0] support[0] dynamic[0] configuration[0] o[0] updated[0] authentication[0] interceptor[0] to[0] return[0] default[-1] policy[0] when[0] the[0] user[0] is[0] anonymour[0] or[0] the[0] custom[0] policy[0] is[0] missing[0] o[0] refactored[0] configpartitionreader[0] to[0] avoid[-1] searching[0] when[0] an[0] entry[0] is[0] already[0] available[0] o[0] updated[0] tests[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1697 commit 4477695aacaed05656bfe4647d34e73cf86cddf7 refactored the replication process : o used a jdbmtable instead of activemq 	1697 commit 4477695acaed05656bfe4647d34e73cf86cddf7 refactored the replication process : o used a jdbmtable instead of activemq	1	-1	 1697[0] commit[0] 4477695aacaed05656bfe4647d34e73cf86cddf7/4477695acaed05656bfe4647d34e73cf86cddf7[0] refactored[0] the[0] replication[0] process[0] o[0] used[0] a[0] jdbmtable[0] instead[0] of[0] activemq[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1926 commit a3a87580f0bb04933615446cf1306604154ed9aa o refactored the createldapserver() code, moved the instantiation of ldapserver to a new method 	1926 commit a3a87580f0bb04933615446cf1306604154ed9a o refactored the createldapserver( code, moved the instantiation of ldapserver to a new method	1	-1	 1926[0] commit[0] a3a87580f0bb04933615446cf1306604154ed9aa/a3a87580f0bb04933615446cf1306604154ed9a[0] o[0] refactored[0] the[0] createldapserver[0] code[0] moved[0] the[0] instantiation[0] of[0] ldapserver[0] to[0] a[0] new[0] method[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2305 commit 3ced34f3fd49603bc7b7a27e0e55d92ada36257e shared refactoring: o applied consistent camelhump scheme across apis to make sure tab completion offers relevant variations with out case differences 	2305 commit 3ced34f3fd49603bc7b7a27e0e55d92ada36257e shared refactoring: o applied consistent camelhump scheme across apis to make sure tab completion offers relevant variations with out case differences	1	-1	 2305[0] commit[0] 3ced34f3fd49603bc7b7a27e0e55d92ada36257e[0] shared[0] refactoring[0] o[0] applied[0] consistent[0] camelhump[0] scheme[0] across[0] apis[0] to[0] make[0] sure[0] tab[0] completion[0] offers[0] relevant[0] variations[0] with[0] out[0] case[0] differences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3135 commit 0d58bd5cbabe807a73c9651a3270478d564821c9 o fixed the add and delete opertion for the admininterceptor o created 4 caches, one for each type of ap o added some mutex to protect the access to ap caches o redesigned the ap class hierarchy, creating the missing objects 	3135 commit 0d58bd5cbabe807a73c9651a3270478d564821c9 o fixed the add and delete opertion for the admininterceptor o created 4 caches, one for each type of ap o added some mutex to protect the access to ap caches o redesigned the ap class hierarchy, creating the missing objects	1	-1	 3135[0] commit[0] 0d58bd5cbabe807a73c9651a3270478d564821c9[0] o[0] fixed[0] the[0] add[0] and[0] delete[0] opertion[0] for[0] the[0] admininterceptor[0] o[0] created[0] 4[0] caches[0] one[0] for[0] each[0] type[0] of[0] ap[0] o[0] added[0] some[0] mutex[0] to[0] protect[0] the[0] access[0] to[0] ap[0] caches[0] o[0] redesigned[0] the[0] ap[0] class[0] hierarchy[0] creating[0] the[0] missing[0] objects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3166 commit 3ef796f1eca355941d905dda6e30a07e056d5b5c o implemented rename() method o added a method to replace existing entry in the ldif file o formatting and code cleanup 	3166 commit 3ef796f1eca355941d905dda6e30a07e056d5b5c o implemented rename( method o added a method to replace existing entry in the ldif file o formatting and code cleanup	1	-1	 3166[0] commit[0] 3ef796f1eca355941d905dda6e30a07e056d5b5c[0] o[0] implemented[0] rename[0] method[0] o[0] added[0] a[0] method[0] to[0] replace[0] existing[0] entry[0] in[0] the[0] ldif[0] file[0] o[0] formatting[0] and[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3380 commit c260bbd3aa1b0801d1fb35e32221a98033ab2f06 first step of refactoring : o the subentry cache now use the dn (and not the string dn) as a key, as it spares some useless dn normalizations o some helper methods has been added and used in the add() operation, they will also be used in the other operations o many other small cleanup and improvements done o added some javadoc and comments 	3380 commit c260bbd3a1b0801d1fb35e3221a98033ab2f06 first step of refactoring : o the subentry cache now use the dn (and not the string dn) as a key, as it spares some useless dn normalizations o some helper methods has been added and used in the add( operation, they will also be used in the other operations o many other small cleanup and improvements done o added some javadoc and comments	2	-2	 3380[0] commit[0] c260bbd3aa1b0801d1fb35e32221a98033ab2f06/c260bbd3a1b0801d1fb35e3221a98033ab2f06[0][+0.6 MultipleLetters] first[0] step[0] of[0] refactoring[0] o[0] the[0] subentry[0] cache[0] now[0] use[0] the[0] dn[0] and[0] not[0] the[0] string[0] dn[0] as[0] a[0] key[0] as[0] it[0] spares[0] some[0] useless[-2][--1 LastWordBoosterStrength] dn[0] normalizations[0] o[0] some[0] helper[0] methods[0] has[0] been[0] added[0] and[0] used[0] in[0] the[0] add[0] operation[0] they[0] will[0] also[0] be[0] used[0] in[0] the[0] other[0] operations[0] o[0] many[0] other[0] small[0] cleanup[0] and[0] improvements[1] done[0] o[0] added[0] some[0] javadoc[0] and[0] comments[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
4636 commit 991ee34d07e11f6a128c49abc391f236a459c955 initial commit after applying changes according to the refactoring of schema subsystem 	4636 commit 991ee34d07e11f6a128c49abc391f236a459c955 initial commit after applying changes according to the refactoring of schema subsystem	1	-1	 4636[0] commit[0] 991ee34d07e11f6a128c49abc391f236a459c955[0] initial[0] commit[0] after[0] applying[0] changes[0] according[0] to[0] the[0] refactoring[0] of[0] schema[0] subsystem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5626 commit 74c227734b0422f322c2a5d09ad7f9ebd5002dd2 major refactoring over weekend removing this invocation object and some jndi dependencies 	5626 commit 74c227734b0422f322c2a5d09ad7f9ebd5002dd2 major refactoring over weekend removing this invocation object and some jndi dependencies	1	-1	 5626[0] commit[0] 74c227734b0422f322c2a5d09ad7f9ebd5002dd2[0] major[0] refactoring[0] over[0] weekend[0] removing[0] this[0] invocation[0] object[0] and[0] some[0] jndi[0] dependencies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6784 commit c5832b047c209247fa90fb66ad225383ebfd7e80 enhancements to keyderivationservice interceptor: o added support for deriving keys with only 'userpassword' in modify request. o integration test for above. o refactored to improve readability. o optimized debug statements. o new javadocs. 	6784 commit c5832b047c209247fa90fb66ad225383ebfd7e80 enhancements to keyderivationservice interceptor: o added support for deriving keys with only 'userpassword' in modify request.<br> o integration test for above.<br> o refactored to improve readability.<br> o optimized debug statements.<br> o new javadocs.	2	-1	 6784[0] commit[0] c5832b047c209247fa90fb66ad225383ebfd7e80[0] enhancements[0] to[0] keyderivationservice[0] interceptor[0] o[0] added[0] support[0] for[0] deriving[0] keys[0] with[0] only[0] 'userpassword'[0] in[0] modify[0] request[0] [[Sentence=-1,1=word max, 1-5]] o[0] integration[0] test[0] for[0] above[0] [[Sentence=-1,1=word max, 1-5]] o[0] refactored[0] to[0] improve[1] readability[0] [[Sentence=-1,2=word max, 1-5]] o[0] optimized[0] debug[0] statements[0] [[Sentence=-1,1=word max, 1-5]] o[0] new[0] javadocs[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
6883 commit 88944629763b91d1c39b88285a404e7fbcf7f738 * splitted the initindices2() method in two smaller methods, one for user indices and one for system indices * added some javadoc * removed string constants and used schemaconstants instead * minor refactoring (\n added, "for ( type t:list )" instead of iterators. 	6883 commit 88944629763b91d1c39b88285a404e7fbcf7f738 * splitted the initindices2( method in two smaller methods, one for user indices and one for system indices * added some javadoc * removed string constants and used schemaconstants instead * minor refactoring (\n added, "for ( type t:list ) instead of iterators.	1	-1	 6883[0] commit[0] 88944629763b91d1c39b88285a404e7fbcf7f738[0] splitted[0] the[0] initindices2[0] method[0] in[0] two[0] smaller[0] methods[0] one[0] for[0] user[0] indices[0] and[0] one[0] for[0] system[0] indices[0] added[0] some[0] javadoc[0] removed[0] string[0] constants[0] and[0] used[0] schemaconstants[0] instead[0] minor[0] refactoring[0] (\n[0] added[0] for[0] type[0] t[0] list[0] instead[0] of[0] iterators[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8170 commit f7d4c5feffd890a0d7bd7d77b38ddd745c035e63 changes ... o fixed a couple bugs where cache updates occured before confirming successful operation completion o added modify handing and tests for both modify overloads in the interceptor o did some refactoring in interceptor to make sure we reuse some code o also refactored in test case to reuse code that checks for correct results 	8170 commit f7d4c5feffd890a0d7bd7d77b38dd745c035e63 changes .<br> o fixed a couple bugs where cache updates occured before confirming successful operation completion o added modify handing and tests for both modify overloads in the interceptor o did some refactoring in interceptor to make sure we reuse some code o also refactored in test case to reuse code that checks for correct results	1	-1	 8170[0] commit[0] f7d4c5feffd890a0d7bd7d77b38ddd745c035e63/f7d4c5feffd890a0d7bd7d77b38dd745c035e63[0] changes[0] [[Sentence=-1,1=word max, 1-5]] o[0] fixed[0] a[0] couple[0] bugs[0] where[0] cache[0] updates[0] occured[0] before[0] confirming[0] successful[0] operation[0] completion[0] o[0] added[0] modify[0] handing[0] and[0] tests[0] for[0] both[0] modify[0] overloads[0] in[0] the[0] interceptor[0] o[0] did[0] some[0] refactoring[0] in[0] interceptor[0] to[0] make[0] sure[0] we[0] reuse[0] some[0] code[0] o[0] also[0] refactored[0] in[0] test[0] case[0] to[0] reuse[0] code[0] that[0] checks[0] for[0] correct[0] results[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9043 commit ad23b1601e3d381c38005a9e24a7741754e2add7 commit changes ... o added a simple console logging monitor for unit tests o added methods to detect parse session starts and stops o created additional parse() overloads for parsing on streams and files o refactored (consolidated) common parse() code shared by overloaded methods 	9043 commit ad23b1601e3d381c38005a9e24a7741754e2add7 commit changes .<br> o added a simple console logging monitor for unit tests o added methods to detect parse session starts and stops o created additional parse( overloads for parsing on streams and files o refactored (consolidated) common parse( code shared by overloaded methods	1	-1	 9043[0] commit[0] ad23b1601e3d381c38005a9e24a7741754e2add7[0] commit[0] changes[0] [[Sentence=-1,1=word max, 1-5]] o[0] added[0] a[0] simple[0] console[0] logging[0] monitor[0] for[0] unit[0] tests[0] o[0] added[0] methods[0] to[0] detect[0] parse[0] session[0] starts[0] and[0] stops[0] o[0] created[0] additional[0] parse[0] overloads[0] for[0] parsing[0] on[0] streams[0] and[0] files[0] o[0] refactored[0] consolidated[0] common[0] parse[0] code[0] shared[0] by[0] overloaded[0] methods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
