Rename Method	Translation	Positive	Negative	EmotionRationale
226 commit 0adf20b66a41fa5d9f4b8642899f2a3510dc5566 quercus initial refactor of private methods/fields 	226 commit 0adf20b66a41fa5d9f4b8642899f2a3510dc5566 quercus initial refactor of private methods/fields	1	-1	 226[0] commit[0] 0adf20b66a41fa5d9f4b8642899f2a3510dc5566[0] quercus[0] initial[0] refactor[0] of[0] private[0] methods/fields[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1172 commit 20c4999ef6cdc4aafb199e4b0aba88aada68fed5 quercus pdo refactor to use existing quercus db lib 	1172 commit 20c499ef6cdc4afb199e4b0aba88ada68fed5 quercus pdo refactor to use existing quercus db lib	2	-1	 1172[0] commit[0] 20c4999ef6cdc4aafb199e4b0aba88aada68fed5/20c499ef6cdc4afb199e4b0aba88ada68fed5[0][+0.6 MultipleLetters] quercus[0] pdo[0] refactor[0] to[0] use[0] existing[0] quercus[0] db[0] lib[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1189 commit 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1 cache refactor 	1189 commit 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1 cache refactor	1	-1	 1189[0] commit[0] 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1199 commit 7eb98ea091ad8927063971f15da2bbdcc75243ab cache refactor 	1199 commit 7eb98ea091ad8927063971f15da2bbdcc75243ab cache refactor	1	-1	 1199[0] commit[0] 7eb98ea091ad8927063971f15da2bbdcc75243ab[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1212 commit 31f72ccd9a2ea050843e5db6162ab46b161c1e81 cache refactor 	1212 commit 31f72ccd9a2ea050843e5db6162ab46b161c1e81 cache refactor	1	-1	 1212[0] commit[0] 31f72ccd9a2ea050843e5db6162ab46b161c1e81[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1229 commit 453c69446af95533431eea10db315874e34fd5a5 deploy refactor to proxy model 	1229 commit 453c69446af95533431eea10db315874e34fd5a5 deploy refactor to proxy model	1	-1	 1229[0] commit[0] 453c69446af95533431eea10db315874e34fd5a5[0] deploy[0] refactor[0] to[0] proxy[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring 	1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring	1	-1	 1328[0] commit[0] 28d752deec92d70933535568aedd18cd79dcece7[0] amqp[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1531 commit a892cb18f18aad5c421813ed1177631a7dedf182 rest user add / list / remove, refactor 	1531 commit a892cb18f18ad5c421813ed1177631a7dedf182 rest user add / list / remove, refactor	1	-1	 1531[0] commit[0] a892cb18f18aad5c421813ed1177631a7dedf182/a892cb18f18ad5c421813ed1177631a7dedf182[0] rest[0] user[0] add[0] /[0] list[0] /[0] remove[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1667 commit 9e6b9cd69eb30e3f2aef20e41b4d9feab57d3e39 init/topology refactor for home-cluster 	1667 commit 9e6b9cd69eb30e3f2aef20e41b4d9feab57d3e39 init/topology refactor for home-cluster	1	-1	 1667[0] commit[0] 9e6b9cd69eb30e3f2aef20e41b4d9feab57d3e39[0] init/topology[0] refactor[0] for[0] home[0] cluster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1699 commit 0b4088ef8cc09b2d642d1eb6819a6db716420575 resin config partial refactor 	1699 commit 0b4088ef8cc09b2d642d1eb6819a6db716420575 resin config partial refactor	1	-1	 1699[0] commit[0] 0b4088ef8cc09b2d642d1eb6819a6db716420575[0] resin[0] config[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
