Rename Class	Translation	Positive	Negative	EmotionRationale
179 commit 875bce60c41f923ccd90695e51da409e9256e829 some significant refactoring to special charms: * we want to differentiate between special charms that affect learning (the original intention) from those that simply apply some mechanical effects (the new ox-body). * remove no longer necessary special charm learning types for ox-body and pain tolerance. * add some support for mechanical effects that don't need their own learning model. still a little too bound to special learning charms for my tastes; will review. * implementing new ox-body granting health levels based on stamina. * todo: repurchases of ox-body do not currently grant health levels. * todo: tests. 	179 commit 875bce60c41f923ccd90695e51da409e9256e829 some significant refactoring to special charms: * we want to differentiate between special charms that affect learning (the original intention) from those that simply apply some mechanical effects (the new ox-body)<br> * remove no longer necessary special charm learning types for ox-body and pain tolerance.<br> * add some support for mechanical effects that don't need their own learning model.<br> still a little too bound to special learning charms for my tastes; will review.<br> * implementing new ox-body granting health levels based on stamina.<br> * todo: repurchases of ox-body do not currently grant health levels.<br> * todo: tests.	2	-4	 179[0] commit[0] 875bce60c41f923ccd90695e51da409e9256e829[0] some[0] significant[0] refactoring[0] to[0] special[1] charms[1] we[0] want[0] to[0] differentiate[0] between[0] special[1] charms[1] that[0] affect[0] learning[0] the[0] original[0] intention[0] from[0] those[0] that[0] simply[0] apply[0] some[0] mechanical[0] effects[0] the[0] new[0] ox[0] body[0] [[Sentence=-1,2=word max, 1-5]] remove[0] no[0] longer[0] necessary[0] special[1] charm[1] learning[0] types[0] for[0] ox[0] body[0] and[0] pain[-3] tolerance[1] [[Sentence=-4,2=word max, 1-5]] add[0] some[0] support[0] for[0] mechanical[0] effects[0] that[0] don't[0] need[0] their[0] own[0] learning[0] model[0] [[Sentence=-1,1=word max, 1-5]] still[0] a[0] little[0] too[0] bound[0] to[0] special[1] learning[0] charms[1] for[0] my[0] tastes[0] will[0] review[0] [[Sentence=-1,2=word max, 1-5]] implementing[0] new[0] ox[0] body[0] granting[0] health[0] levels[0] based[0] on[0] stamina[0] [[Sentence=-1,1=word max, 1-5]] todo[0] repurchases[0] of[0] ox[0] body[0] do[0] not[0] currently[0] grant[0] health[0] levels[0] [[Sentence=-1,1=word max, 1-5]] todo[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
224 commit 7269ed4b0544d5f178d2781c291989e435526ff7 an excessively ambitious refactoring of equipment that really should have been done in parts: * editor_equipment and hero_equipment split out of character_equipment. * magical materials and composition removed. * several trait modifications no longer relevant in 3e, such as mdv and join debate, have been removed. everything appears to be functional, and all tests pass. significant cleanup to do next. 	224 commit 7269ed4b0544d5f178d2781c291989e435526ff7 an excessively ambitious refactoring of equipment that really should have been done in parts: * editor_equipment and hero_equipment split out of character_equipment.<br> * magical materials and composition removed.<br> * several trait modifications no longer relevant in 3e, such as mdv and join debate, have been removed.<br> everything appears to be functional, and all tests pass.<br> significant cleanup to do next.	3	-2	 224[0] commit[0] 7269ed4b0544d5f178d2781c291989e435526ff7[0] an[0] excessively[-1] ambitious[0] refactoring[0] of[0] equipment[0] that[0] really[0] should[0] have[0] been[0] done[0] in[0] parts[0] editor_equipment[0] and[0] hero_equipment[2] split[0] out[0] of[0] character_equipment[0] [[Sentence=-2,3=word max, 1-5]] magical[0] materials[0] and[0] composition[0] removed[0] [[Sentence=-1,1=word max, 1-5]] several[0] trait[0] modifications[0] no[0] longer[0] relevant[0] in[0] 3e[0] such[0] as[0] mdv[0] and[0] join[0] debate[0] have[0] been[0] removed[0] [[Sentence=-1,1=word max, 1-5]] everything[0] appears[0] to[0] be[0] functional[0] and[0] all[0] tests[0] pass[0] [[Sentence=-1,1=word max, 1-5]] significant[0] cleanup[0] to[0] do[0] next[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
1425 commit fa9a9e043f8d04f5f6891b762fa92ecd016653bf refactoring to simplify character persistence 	1425 commit fa9a9e043f8d04f5f6891b762fa92ecd016653bf refactoring to simplify character persistence	1	-1	 1425[0] commit[0] fa9a9e043f8d04f5f6891b762fa92ecd016653bf[0] refactoring[0] to[0] simplify[0] character[0] persistence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2016 commit fe765e980a4a3e1e8b22dcfd2534cd3f0e3054fd minor refactorings 	2016 commit fe765e980a4a3e1e8b22dcfd2534cd3f0e3054fd minor refactorings	1	-1	 2016[0] commit[0] fe765e980a4a3e1e8b22dcfd2534cd3f0e3054fd[0] minor[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2135 commit 3d38be855e5a6a4e4cbf5a84f2d4eddfc88c942c refactoring print magic 	2135 commit 3d38be855e5a6a4e4cbf5a84f2d4eddfc88c942c refactoring print magic	1	-1	 2135[0] commit[0] 3d38be855e5a6a4e4cbf5a84f2d4eddfc88c942c[0] refactoring[0] print[0] magic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2235 commit 74b768377ac0ca107e2cf4d5aa58a679f75e74ec minor refactorings 	2235 commit 74b768377ac0ca107e2cf4d5a58a679f75e74ec minor refactorings	1	-1	 2235[0] commit[0] 74b768377ac0ca107e2cf4d5aa58a679f75e74ec/74b768377ac0ca107e2cf4d5a58a679f75e74ec[0] minor[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2422 commit 448ccb4152dbcf3213c490c3b78a99eafd15b718 moves coloring decisions to separate classes (refactoring after #343) 	2422 commit 448ccb4152dbcf3213c490c3b78a99eafd15b718 moves coloring decisions to separate classes (refactoring after #343)	1	-1	 2422[0] commit[0] 448ccb4152dbcf3213c490c3b78a99eafd15b718[0] moves[0] coloring[0] decisions[0] to[0] separate[0] classes[0] refactoring[0] after[0] #343[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2423 commit 763d152b07f53959e2fde7d589de7b894bbb4912 de-couples choice what to color from choice how to color it. (refactoring after #343) 	2423 commit 763d152b07f53959e2fde7d589de7b894bb4912 de-couples choice what to color from choice how to color it.<br> (refactoring after #343)	1	-1	 2423[0] commit[0] 763d152b07f53959e2fde7d589de7b894bbb4912/763d152b07f53959e2fde7d589de7b894bb4912[0] de[0] couples[0] choice[0] what[0] to[0] color[0] from[0] choice[0] how[0] to[0] color[0] it[0] [[Sentence=-1,1=word max, 1-5]] refactoring[0] after[0] #343[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2663 commit 11ac52b83edad3f169bfa2ef977034c7eb45efed minor refactorings 	2663 commit 11ac52b83edad3f169bfa2ef977034c7eb45efed minor refactorings	1	-1	 2663[0] commit[0] 11ac52b83edad3f169bfa2ef977034c7eb45efed[0] minor[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4092 commit 2e4bce36c0b096f2049ea1db2abdafae28829d78 restructured object all around node..hierarchicalgraph..visualizedgraph 	4092 commit 2e4bce36c0b096f2049ea1db2abdafae28829d78 restructured object all around node.<br>hierarchicalgraph.<br>visualizedgraph	1	-1	 4092[0] commit[0] 2e4bce36c0b096f2049ea1db2abdafae28829d78[0] restructured[0] object[0] all[0] around[0] node[0] [[Sentence=-1,1=word max, 1-5]] hierarchicalgraph[0] [[Sentence=-1,1=word max, 1-5]] visualizedgraph[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
