Rename Method	Translation	Positive	Negative	EmotionRationale
511 commit 013dd82e5cd55124827472c07ecfa4b35f44dc2c sling-6338 refactor and fix handling of nested configurations in management api and configurationresourceresolver 	511 commit 013dd82e5cd55124827472c07ecfa4b35f44dc2c sling-6338 refactor and fix handling of nested configurations in management api and configurationresourceresolver	1	-1	 511[0] commit[0] 013dd82e5cd55124827472c07ecfa4b35f44dc2c[0] sling[0] -6338[0] refactor[0] and[0] fix[0] handling[0] of[0] nested[0] configurations[0] in[0] management[0] api[0] and[0] configurationresourceresolver[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1438 commit c4ee36b30c603b698f5e9281dd7193f67997950c sling-6117 introduce sling:config-property-inherit property rename sling:config-inherit to sling:config-collection-inherit to distinguish from resource property inheritance/merging refactor and enhance unit tests 	1438 commit c4ee36b30c603b698f5e9281dd7193f67997950c sling-6117 introduce sling:config-property-inherit property rename sling:config-inherit to sling:config-collection-inherit to distinguish from resource property inheritance/merging refactor and enhance unit tests	1	-1	 1438[0] commit[0] c4ee36b30c603b698f5e9281dd7193f67997950c[0] sling[0] -6117[0] introduce[0] sling[0] config[0] property[0] inherit[0] property[0] rename[0] sling[0] config[0] inherit[0] to[0] sling[0] config[0] collection[0] inherit[0] to[0] distinguish[0] from[0] resource[0] property[0] inheritance/merging[0] refactor[0] and[0] enhance[0] unit[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2892 commit 965115076cd81580cb34039fd40bfd14f71ccf2a sling-5657: refactor shared packages to enable file storage 	2892 commit 965115076cd81580cb34039fd40bfd14f71ccf2a sling-5657: refactor shared packages to enable file storage	1	-1	 2892[0] commit[0] 965115076cd81580cb34039fd40bfd14f71ccf2a[0] sling[0] -5657[0] refactor[0] shared[0] packages[0] to[0] enable[0] file[0] storage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5566 commit 2c436250e27e7928b5cd4e76216aab434e7e5501 sling-4822 allow filtering based on a predicate for recursive validations rename method for recursive validation and cleaned up its javadoc 	5566 commit 2c436250e27e7928b5cd4e76216ab434e7e5501 sling-4822 allow filtering based on a predicate for recursive validations rename method for recursive validation and cleaned up its javadoc	1	-1	 5566[0] commit[0] 2c436250e27e7928b5cd4e76216aab434e7e5501/2c436250e27e7928b5cd4e76216ab434e7e5501[0] sling[0] -4822[0] allow[0] filtering[0] based[0] on[0] a[0] predicate[0] for[0] recursive[0] validations[0] rename[0] method[0] for[0] recursive[0] validation[0] and[0] cleaned[0] up[0] its[0] javadoc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7077 commit d07ea322d7a9e96c092b3a7808eb31d4fc43d302 sling-4304 refactor the resourceresolution class and improve its javadoc apply patch by radu cotescu (thanks a lot) 	7077 commit d07ea322d7a9e96c092b3a7808eb31d4fc43d302 sling-4304 refactor the resourceresolution class and improve its javadoc apply patch by radu cotescu (thanks a lot)	2	-1	 7077[0] commit[0] d07ea322d7a9e96c092b3a7808eb31d4fc43d302[0] sling[0] -4304[0] refactor[0] the[0] resourceresolution[0] class[0] and[0] improve[1] its[0] javadoc[0] apply[0] patch[0] by[0] radu[0] cotescu[0] thanks[1] a[0] lot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
7099 commit 2ed5cd148c9b8635eb26ff6327604b1cdc48ee91 sling-4305 refactor the record interface: * get -  getproperty * properties -  getpropertynames applied patch by radu cotescu (thanks a lot) 	7099 commit 2ed5cd148c9b8635eb26ff6327604b1cdc48ee91 sling-4305 refactor the record interface: * get -  getproperty * properties -  getpropertynames applied patch by radu cotescu (thanks a lot)	2	-1	 7099[0] commit[0] 2ed5cd148c9b8635eb26ff6327604b1cdc48ee91[0] sling[0] -4305[0] refactor[0] the[0] record[0] interface[0] get[0] getproperty[0] properties[0] getpropertynames[0] applied[0] patch[0] by[0] radu[0] cotescu[0] thanks[1] a[0] lot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
7497 commit eabbfb47c76a840fc7c040dec506636799aa4c98 sling-4060: initial refactoring for property parsing 	7497 commit eabbfb47c76a840fc7c040dec506636799a4c98 sling-4060: initial refactoring for property parsing	1	-1	 7497[0] commit[0] eabbfb47c76a840fc7c040dec506636799aa4c98/eabbfb47c76a840fc7c040dec506636799a4c98[0] sling[0] -4060[0] initial[0] refactoring[0] for[0] property[0] parsing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
11765 commit 2bee7141973a6f8f1b71293d70817a95f468787e sling-2489 refactor start/stop logic such that dostart(url) and dostop() are completely symmetric and can be used to repeatedly start/stop the framework. - add proper shutdown hook handling - heuristically cleanup threads remaining after framework stop (this may require more investigation) 	11765 commit 2bee7141973a6f8f1b71293d70817a95f468787e sling-2489 refactor start/stop logic such that dostart(url) and dostop( are completely symmetric and can be used to repeatedly start/stop the framework.<br> - add proper shutdown hook handling - heuristically cleanup threads remaining after framework stop (this may require more investigation)	1	-1	 11765[0] commit[0] 2bee7141973a6f8f1b71293d70817a95f468787e[0] sling[0] -2489[0] refactor[0] start/stop[0] logic[0] such[0] that[0] dostart[0] url[0] and[0] dostop[0] are[0] completely[0] symmetric[0] and[0] can[0] be[0] used[0] to[0] repeatedly[0] start/stop[0] the[0] framework[0] [[Sentence=-1,1=word max, 1-5]] add[0] proper[0] shutdown[0] hook[0] handling[0] heuristically[0] cleanup[0] threads[0] remaining[0] after[0] framework[0] stop[0] this[0] may[0] require[0] more[0] investigation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
12078 commit 5466a303b53a496da2a6cf5189a2e273934f8bb1 sling-2413 - internal refactoring; also fixing a divide by zero issue. 	12078 commit 5466a303b53a496da2a6cf5189a2e273934f8bb1 sling-2413 - internal refactoring; also fixing a divide by zero issue.	1	-1	 12078[0] commit[0] 5466a303b53a496da2a6cf5189a2e273934f8bb1[0] sling[0] -2413[0] internal[0] refactoring[0] also[0] fixing[0] a[0] divide[0] by[0] zero[0] issue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
13453 commit a229cd7282af33f419d9162c1ba9f2a8e1f2dced several fixes: fix timeout handling and clear statistics. refactoring: rename *cleanup to 	13453 commit a229cd7282af33f419d9162c1ba9f2a8e1f2dced several fixes: fix timeout handling and clear statistics.<br> refactoring: rename *cleanup to	1	-1	 13453[0] commit[0] a229cd7282af33f419d9162c1ba9f2a8e1f2dced[0] several[0] fixes[0] fix[0] timeout[0] handling[0] and[0] clear[0] statistics[0] [[Sentence=-1,1=word max, 1-5]] refactoring[0] rename[0] cleanup[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
14083 commit 96ef718a6b6bc8624945d47f6fedf17add4580d1 minor code cleanup 	14083 commit 96ef718a6b6bc8624945d47f6fedf17add4580d1 minor code cleanup	1	-1	 14083[0] commit[0] 96ef718a6b6bc8624945d47f6fedf17add4580d1[0] minor[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
15000 commit 5165982885ef58805471e248b51bdb629ccc1bdb sling-1280 rename methods of the (new) authenticationhandler interface to better reflect their tasks 	1500 commit 5165982885ef58805471e248b51bdb629cc1bdb sling-1280 rename methods of the (new) authenticationhandler interface to better reflect their tasks	1	-1	 15000/1500[0] commit[0] 5165982885ef58805471e248b51bdb629ccc1bdb/5165982885ef58805471e248b51bdb629cc1bdb[0] sling[0] -1280[0] rename[0] methods[0] of[0] the[0] new[0] authenticationhandler[0] interface[0] to[0] better[0] reflect[0] their[0] tasks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
15111 commit d5bd5f61fb3e8d7cdb0bb3cf1dc73b8757ea4a34 sling-1244 : redesign thread pool management 	1511 commit d5bd5f61fb3e8d7cdb0bb3cf1dc73b8757ea4a34 sling-1244 : redesign thread pool management	1	-1	 15111/1511[0] commit[0] d5bd5f61fb3e8d7cdb0bb3cf1dc73b8757ea4a34[0] sling[0] -1244[0] redesign[0] thread[0] pool[0] management[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
16827 commit 881c4f885a92adb1f97f0cbe9df5bfecbe7880ed sling-548: refactor code and provide a mechanism to disable import providers. 	16827 commit 881c4f885a92adb1f97f0cbe9df5bfecbe7880ed sling-548: refactor code and provide a mechanism to disable import providers.	1	-1	 16827[0] commit[0] 881c4f885a92adb1f97f0cbe9df5bfecbe7880ed[0] sling[0] -548[0] refactor[0] code[0] and[0] provide[0] a[0] mechanism[0] to[0] disable[0] import[0] providers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
