Rename Class	Translation	Positive	Negative	EmotionRationale
715 commit b76dc51cdb6594a3be423271915a917b34aa855b restructure test source directories and packages #7385 svn changeset:21440 branch:6.7 	715 commit b76dc51cdb6594a3be423271915a917b34a855b restructure test source directories and packages #7385 svn changeset:21440 branch:6.7	1	-2	 715[0] commit[0] b76dc51cdb6594a3be423271915a917b34aa855b/b76dc51cdb6594a3be423271915a917b34a855b[0] restructure[0] test[0] source[-1] directories[0] and[0] packages[0] #7385[0] svn[0] changeset[0] :21440[0] branch[0] :6[0] .7[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1594 commit e12f70e5c159ca7de7e504b88f6f2ed4d6b85756 #6521 container refactoring: abstractcontainer handling listener registrations and event firing svn changeset:17504 branch:6.6 	1594 commit e12f70e5c159ca7de7e504b88f6f2ed4d6b85756 #6521 container refactoring: abstractcontainer handling listener registrations and event firing svn changeset:17504 branch:6.6	1	-1	 1594[0] commit[0] e12f70e5c159ca7de7e504b88f6f2ed4d6b85756[0] #6521[0] container[0] refactoring[0] abstractcontainer[0] handling[0] listener[0] registrations[0] and[0] event[0] firing[0] svn[0] changeset[0] :17504[0] branch[0] :6[0] .6[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1946 commit 2e205b82fb60f43c3e6ee53362c00a11edb9b728 #3752 - refactor textfields made passwordfield, textarea extend abstracttextfield instead of textfield moved commonalities "columns", "input prompt", "text change event" and "cursor position" to abstracttextfield svn changeset:16354 branch:6.5 	1946 commit 2e205b82fb60f43c3e6ee53362c00a11edb9b728 #3752 - refactor textfields made passwordfield, textarea extend abstracttextfield instead of textfield moved commonalities "columns" "input prompt" "text change event" and "cursor position" to abstracttextfield svn changeset:16354 branch:6.5	1	-1	 1946[0] commit[0] 2e205b82fb60f43c3e6ee53362c00a11edb9b728[0] #3752[0] refactor[0] textfields[0] made[0] passwordfield[0] textarea[0] extend[0] abstracttextfield[0] instead[0] of[0] textfield[0] moved[0] commonalities[0] columns[0] input[0] prompt[0] text[0] change[0] event[0] and[0] cursor[0] position[0] to[0] abstracttextfield[0] svn[0] changeset[0] :16354[0] branch[0] :6[0] .5[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2162 commit 0f89cd65d6c48b3507ad6b6c7eaa8e650cd2f54d #5743, #5742, #5741, #4275 related refactoring. renamed com.vaadin.terminal.receiver (introduced earlier in this dev branch) to streamvariable and combined receiverowner methods to it. resetted upload.receiver to 6.4 state, dd wrapper uses streamvariable based api (breaking change, but very rare code atm) svn changeset:15849 branch:6.5 	2162 commit 0f89cd65d6c48b3507ad6b6c7ea8e650cd2f54d #5743, #5742, #5741, #4275 related refactoring.<br> renamed com.<br>vadin.<br>terminal.<br>receiver (introduced earlier in this dev branch) to streamvariable and combined receiverowner methods to it.<br> resetted upload.<br>receiver to 6.4 state, dd wrapper uses streamvariable based api (breaking change, but very rare code atm) svn changeset:15849 branch:6.5	1	-1	 2162[0] commit[0] 0f89cd65d6c48b3507ad6b6c7eaa8e650cd2f54d/0f89cd65d6c48b3507ad6b6c7ea8e650cd2f54d[0] #5743[0] #5742[0] #5741[0] #4275[0] related[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]] renamed[0] com[0] [[Sentence=-1,1=word max, 1-5]] vaadin/vadin[0] [[Sentence=-1,1=word max, 1-5]] terminal[0] [[Sentence=-1,1=word max, 1-5]] receiver[0] introduced[0] earlier[0] in[0] this[0] dev[0] branch[0] to[0] streamvariable[0] and[0] combined[0] receiverowner[0] methods[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]] resetted[0] upload[0] [[Sentence=-1,1=word max, 1-5]] receiver[0] to[0] 6[0] .4[0] state[0] dd[0] wrapper[0] uses[0] streamvariable[0] based[0] api[0] breaking[0] change[0] but[0] very[0] rare[0] code[0] atm[0] svn[0] changeset[0] :15849[0] branch[0] :6[0] .5[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3361 commit 407de4fbfb95c3adae2283289b4adab3d2255722 refactored abstractselect criteria (hopefully better names now) svn changeset:12034 branch:6.3 	3361 commit 407de4fbfb95c3adae2283289b4adab3d2255722 refactored abstractselect criteria (hopefully better names now) svn changeset:12034 branch:6.3	1	-1	 3361[0] commit[0] 407de4fbfb95c3adae2283289b4adab3d2255722[0] refactored[0] abstractselect[0] criteria[0] hopefully[0] better[0] names[0] now[0] svn[0] changeset[0] :12034[0] branch[0] :6[0] .3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3578 commit 57e57f5d89d8fe34d16500fc75039ecb4a1589b9 some refactoring svn changeset:11384 branch:6.3_dd 	3578 commit 57e57f5d89d8fe34d16500fc75039ecb4a1589b9 some refactoring svn changeset:11384 branch:6.3_dd	1	-1	 3578[0] commit[0] 57e57f5d89d8fe34d16500fc75039ecb4a1589b9[0] some[0] refactoring[0] svn[0] changeset[0] :11384[0] branch[0] :6[0] .3_dd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5407 commit e5f91a141d7561fbf114f14e69754270733b019e refactored layout size checking method, related to #2139 svn changeset:6264 branch:trunk 	5407 commit e5f91a141d7561fbf114f14e69754270733b019e refactored layout size checking method, related to #2139 svn changeset:6264 branch:trunk	1	-1	 5407[0] commit[0] e5f91a141d7561fbf114f14e69754270733b019e[0] refactored[0] layout[0] size[0] checking[0] method[0] related[0] to[0] #2139[0] svn[0] changeset[0] :6264[0] branch[0] trunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5559 commit 10dab819d9dea946208c840e176527fa2d0de412 fix for #2278 - marginhandler refactoring. - added marginhandler interface which contains getmargin() and setmargin(margininfo). - renamed client side margininfo to imargininfo to avoid mixups. svn changeset:6081 branch:trunk 	559 commit 10dab819d9dea946208c840e176527fa2d0de412 fix for #2278 - marginhandler refactoring.<br> - added marginhandler interface which contains getmargin( and setmargin(margininfo)<br> - renamed client side margininfo to imargininfo to avoid mixups.<br> svn changeset:6081 branch:trunk	1	-2	 5559/559[0] commit[0] 10dab819d9dea946208c840e176527fa2d0de412[0] fix[0] for[0] #2278[0] marginhandler[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]] added[0] marginhandler[0] interface[0] which[0] contains[0] getmargin[0] and[0] setmargin[0] margininfo[0] [[Sentence=-1,1=word max, 1-5]] renamed[0] client[0] side[0] margininfo[0] to[0] imargininfo[0] to[0] avoid[-1] mixups[0] [[Sentence=-2,1=word max, 1-5]] svn[0] changeset[0] :6081[0] branch[0] trunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
6791 commit 07dbafb2e5b56730402971d4cb6d4cde8ea5afab portlet integration refactoring, applicationservlet changes. svn changeset:4179 branch:trunk 	6791 commit 07dbafb2e5b56730402971d4cb6d4cde8ea5afab portlet integration refactoring, applicationservlet changes.<br> svn changeset:4179 branch:trunk	1	-1	 6791[0] commit[0] 07dbafb2e5b56730402971d4cb6d4cde8ea5afab[0] portlet[0] integration[0] refactoring[0] applicationservlet[0] changes[0] [[Sentence=-1,1=word max, 1-5]] svn[0] changeset[0] :4179[0] branch[0] trunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7560 commit a5745fedeb9c5fffb84ef1670de1f16dd7f0c2b0 refactored widget set names in demo applications. svn changeset:2731 branch:trunk 	7560 commit a5745fedeb9c5ffb84ef1670de1f16dd7f0c2b0 refactored widget set names in demo applications.<br> svn changeset:2731 branch:trunk	1	-1	 7560[0] commit[0] a5745fedeb9c5fffb84ef1670de1f16dd7f0c2b0/a5745fedeb9c5ffb84ef1670de1f16dd7f0c2b0[0] refactored[0] widget[0] set[0] names[0] in[0] demo[0] applications[0] [[Sentence=-1,1=word max, 1-5]] svn[0] changeset[0] :2731[0] branch[0] trunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
