Rename Method	Translation	Positive	Negative	EmotionRationale
159 commit c0b656824c066d71f3a22a3ed1353b455633a65d * refactoring experience management slightly to be more friendly to writing tests. * implementing some tests for thaumaturgy. 	159 commit c0b656824c066d71f3a22a3ed1353b455633a65d * refactoring experience management slightly to be more friendly to writing tests.<br> * implementing some tests for thaumaturgy.	2	-1	 159[0] commit[0] c0b656824c066d71f3a22a3ed1353b455633a65d[0] refactoring[0] experience[0] management[0] slightly[0] to[0] be[0] more[0] friendly[1] to[0] writing[0] tests[0] [[Sentence=-1,2=word max, 1-5]] implementing[0] some[0] tests[0] for[0] thaumaturgy[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
179 commit 875bce60c41f923ccd90695e51da409e9256e829 some significant refactoring to special charms: * we want to differentiate between special charms that affect learning (the original intention) from those that simply apply some mechanical effects (the new ox-body). * remove no longer necessary special charm learning types for ox-body and pain tolerance. * add some support for mechanical effects that don't need their own learning model. still a little too bound to special learning charms for my tastes; will review. * implementing new ox-body granting health levels based on stamina. * todo: repurchases of ox-body do not currently grant health levels. * todo: tests. 	179 commit 875bce60c41f923ccd90695e51da409e9256e829 some significant refactoring to special charms: * we want to differentiate between special charms that affect learning (the original intention) from those that simply apply some mechanical effects (the new ox-body)<br> * remove no longer necessary special charm learning types for ox-body and pain tolerance.<br> * add some support for mechanical effects that don't need their own learning model.<br> still a little too bound to special learning charms for my tastes; will review.<br> * implementing new ox-body granting health levels based on stamina.<br> * todo: repurchases of ox-body do not currently grant health levels.<br> * todo: tests.	2	-4	 179[0] commit[0] 875bce60c41f923ccd90695e51da409e9256e829[0] some[0] significant[0] refactoring[0] to[0] special[1] charms[1] we[0] want[0] to[0] differentiate[0] between[0] special[1] charms[1] that[0] affect[0] learning[0] the[0] original[0] intention[0] from[0] those[0] that[0] simply[0] apply[0] some[0] mechanical[0] effects[0] the[0] new[0] ox[0] body[0] [[Sentence=-1,2=word max, 1-5]] remove[0] no[0] longer[0] necessary[0] special[1] charm[1] learning[0] types[0] for[0] ox[0] body[0] and[0] pain[-3] tolerance[1] [[Sentence=-4,2=word max, 1-5]] add[0] some[0] support[0] for[0] mechanical[0] effects[0] that[0] don't[0] need[0] their[0] own[0] learning[0] model[0] [[Sentence=-1,1=word max, 1-5]] still[0] a[0] little[0] too[0] bound[0] to[0] special[1] learning[0] charms[1] for[0] my[0] tastes[0] will[0] review[0] [[Sentence=-1,2=word max, 1-5]] implementing[0] new[0] ox[0] body[0] granting[0] health[0] levels[0] based[0] on[0] stamina[0] [[Sentence=-1,1=word max, 1-5]] todo[0] repurchases[0] of[0] ox[0] body[0] do[0] not[0] currently[0] grant[0] health[0] levels[0] [[Sentence=-1,1=word max, 1-5]] todo[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
2138 commit b4a761040a091ec57b01ddb666ae6d374379948d refactoring print magic 	2138 commit b4a761040a091ec57b01ddb66ae6d374379948d refactoring print magic	1	-1	 2138[0] commit[0] b4a761040a091ec57b01ddb666ae6d374379948d/b4a761040a091ec57b01ddb66ae6d374379948d[0] refactoring[0] print[0] magic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2235 commit 74b768377ac0ca107e2cf4d5aa58a679f75e74ec minor refactorings 	2235 commit 74b768377ac0ca107e2cf4d5a58a679f75e74ec minor refactorings	1	-1	 2235[0] commit[0] 74b768377ac0ca107e2cf4d5aa58a679f75e74ec/74b768377ac0ca107e2cf4d5a58a679f75e74ec[0] minor[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2453 commit 2e26fd9cb2301758be2a8f6d362e652fd2511e4b rename method 	2453 commit 2e26fd9cb2301758be2a8f6d362e652fd2511e4b rename method	1	-1	 2453[0] commit[0] 2e26fd9cb2301758be2a8f6d362e652fd2511e4b[0] rename[0] method[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2835 commit 0a4f657ff2fa1260e5b1891868d40e077604dc18 minor refactoring 	2835 commit 0a4f657ff2fa1260e5b1891868d40e077604dc18 minor refactoring	1	-1	 2835[0] commit[0] 0a4f657ff2fa1260e5b1891868d40e077604dc18[0] minor[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3118 commit 31858dd23cc9fb91e3e911d9f6a1bbf4058d5fec further refactoring towards an intelligent cost model for essence (#323) 	3118 commit 31858dd23cc9fb91e3e911d9f6a1bbf4058d5fec further refactoring towards an intelligent cost model for essence (#323)	2	-1	 3118[0] commit[0] 31858dd23cc9fb91e3e911d9f6a1bbf4058d5fec[0] further[0] refactoring[0] towards[0] an[0] intelligent[1] cost[0] model[0] for[0] essence[0] (#323[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4073 commit d3e942a671a6ecebda05c8c3bad598ddb9173771 refactored tooltip and selection listening to take the same route, all go via toggling. 	4073 commit d3e942a671a6ecebda05c8c3bad598ddb9173771 refactored tooltip and selection listening to take the same route, all go via toggling.	1	-1	 4073[0] commit[0] d3e942a671a6ecebda05c8c3bad598ddb9173771[0] refactored[0] tooltip[0] and[0] selection[0] listening[0] to[0] take[0] the[0] same[0] route[0] all[0] go[0] via[0] toggling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4454 commit 215558fb180b59964468e30b809c1f8d842b3b1a refactored tooltip and selection listening to take the same route, all go via toggling. 	4454 commit 21558fb180b59964468e30b809c1f8d842b3b1a refactored tooltip and selection listening to take the same route, all go via toggling.	1	-1	 4454[0] commit[0] 215558fb180b59964468e30b809c1f8d842b3b1a/21558fb180b59964468e30b809c1f8d842b3b1a[0] refactored[0] tooltip[0] and[0] selection[0] listening[0] to[0] take[0] the[0] same[0] route[0] all[0] go[0] via[0] toggling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4516 commit 97df8fafb0097cf107a9d391081d49ec1e6d577d refactored the code. zoom scale is now calculated separately for each zoom method. reverted the scale calculation for right-click & drag to the old format. 	4516 commit 97df8fafb0097cf107a9d391081d49ec1e6d577d refactored the code.<br> zoom scale is now calculated separately for each zoom method.<br> reverted the scale calculation for right-click & drag to the old format.	1	-1	 4516[0] commit[0] 97df8fafb0097cf107a9d391081d49ec1e6d577d[0] refactored[0] the[0] code[0] [[Sentence=-1,1=word max, 1-5]] zoom[0] scale[0] is[0] now[0] calculated[0] separately[0] for[0] each[0] zoom[0] method[0] [[Sentence=-1,1=word max, 1-5]] reverted[0] the[0] scale[0] calculation[0] for[0] right[0] click[0] &[0] drag[0] to[0] the[0] old[0] format[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
