Rename Method	Translation	Positive	Negative	EmotionRationale
191 commit 0b5f2b4246dfd4745c347a633ca897c1d67fb5da tests refactoring 	191 commit 0b5f2b4246dfd4745c347a633ca897c1d67fb5da tests refactoring	1	-1	 191[0] commit[0] 0b5f2b4246dfd4745c347a633ca897c1d67fb5da[0] tests[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
339 commit 46572b095b85aea43007a4163bd3599516130505 quick fix bot test for cdi refactored 	339 commit 46572b095b85aea43007a4163bd3599516130505 quick fix bot test for cdi refactored	1	-1	 339[0] commit[0] 46572b095b85aea43007a4163bd3599516130505[0] quick[0] fix[0] bot[0] test[0] for[0] cdi[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
895 commit 32fa313a76dcecab230ef38d12a4c5297435e51f moving all helper class to cdibase instead of cditestbase   refactoring quickfixtestbase 	895 commit 32fa313a76dcecab230ef38d12a4c5297435e51f moving all helper class to cdibase instead of cditestbase   refactoring quickfixtestbase	1	-1	 895[0] commit[0] 32fa313a76dcecab230ef38d12a4c5297435e51f[0] moving[0] all[0] helper[0] class[0] to[0] cdibase[0] instead[0] of[0] cditestbase[0] refactoring[0] quickfixtestbase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1092 commit 8b0967f8755bd279faaf64901afc78a636f99793 completion of named annotation refactoring test 	1092 commit 8b0967f8755bd279faf64901afc78a636f99793 completion of named annotation refactoring test	1	-1	 1092[0] commit[0] 8b0967f8755bd279faaf64901afc78a636f99793/8b0967f8755bd279faf64901afc78a636f99793[0] completion[0] of[0] named[0] annotation[0] refactoring[0] test[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1244 commit 070351c9be5086ba4fe7fe379cc9d12137bbfbaf cdiperspectivetest added   huge refactoring all cdi bot tests 	1244 commit 070351c9be5086ba4fe7fe379cc9d12137bbfbaf cdiperspectivetest added   huge refactoring all cdi bot tests	1	-1	 1244[0] commit[0] 070351c9be5086ba4fe7fe379cc9d12137bbfbaf[0] cdiperspectivetest[0] added[0] huge[0] refactoring[0] all[0] cdi[0] bot[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1280 commit 5305a9b5dea450dd1fbeae8fa0918242afbb0ca2 big refactoring of cdi bot tests   seam3 generic openon test added 	1280 commit 5305a9b5dea450dd1fbeae8fa0918242afbb0ca2 big refactoring of cdi bot tests   seam3 generic openon test added	1	-1	 1280[0] commit[0] 5305a9b5dea450dd1fbeae8fa0918242afbb0ca2[0] big[0] refactoring[0] of[0] cdi[0] bot[0] tests[0] seam3[0] generic[0] openon[0] test[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1507 commit 49e225c2a3b059374691fa8007f2bc970ff44bdf new test operating on cdi quick fix test added and quickfixtest refactoring 	1507 commit 49e225c2a3b059374691fa8007f2bc970ff44bdf new test operating on cdi quick fix test added and quickfixtest refactoring	1	-1	 1507[0] commit[0] 49e225c2a3b059374691fa8007f2bc970ff44bdf[0] new[0] test[0] operating[0] on[0] cdi[0] quick[0] fix[0] test[0] added[0] and[0] quickfixtest[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2362 commit e1dc179f7ac275e5aa16c7f5c2b6ba142e0ef1bc https://issues.jboss.org/browse/jbide-8779 disabled i18n validator until we refactor it. so far it causes too many problems. 	2362 commit e1dc179f7ac275e5a16c7f5c2b6ba142e0ef1bc https://issues.<br>jboss.<br>org/browse/jbide-8779 disabled i18n validator until we refactor it.<br> so far it causes too many problems.	1	-2	 2362[0] commit[0] e1dc179f7ac275e5aa16c7f5c2b6ba142e0ef1bc/e1dc179f7ac275e5a16c7f5c2b6ba142e0ef1bc[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] org/browse/jbide[0] -8779[0] disabled[0] i18n[0] validator[0] until[0] we[0] refactor[0] it[0] [[Sentence=-1,1=word max, 1-5]] so[0] far[0] it[0] causes[0] too[0] many[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
2668 commit 1a7c61fe6a7766c7ea02bb260586e57770942374 https://issues.jboss.org/browse/jbide-7005, refactoring our jsf 2 validators. 	2668 commit 1a7c61fe6a7766c7ea02bb260586e5770942374 https://issues.<br>jboss.<br>org/browse/jbide-7005, refactoring our jsf 2 validators.	1	-1	 2668[0] commit[0] 1a7c61fe6a7766c7ea02bb260586e57770942374/1a7c61fe6a7766c7ea02bb260586e5770942374[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] jboss[0] [[Sentence=-1,1=word max, 1-5]] org/browse/jbide[0] -7005[0] refactoring[0] our[0] jsf[0] 2[0] validators[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4485 commit 97e4b40661e543f2b1580f8099b78d5dbb4ddfe8 error fixed in seamrefactoring tests 	4485 commit 97e4b40661e543f2b1580f8099b78d5dbb4ddfe8 error fixed in seamrefactoring tests	1	-1	 4485[0] commit[0] 97e4b40661e543f2b1580f8099b78d5dbb4ddfe8[0] error[0] fixed[0] in[0] seamrefactoring[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
