Move Class	Translation	Positive	Negative	EmotionRationale
663 commit 8a85a9789e708aaf49dd2cbac3b50a7b8b2bb8c1 sling-6293 refactor property inheritance out of defaultconfigurationresourceresolvingstrategy and create separate spi and impl for it *this breaks backward compatibility of package org.apache.sling.caconfig.resource.spi -  major version increase* 	663 commit 8a85a9789e708af49dd2cbac3b50a7b8b2bb8c1 sling-6293 refactor property inheritance out of defaultconfigurationresourceresolvingstrategy and create separate spi and impl for it *this breaks backward compatibility of package org.<br>apache.<br>sling.<br>caconfig.<br>resource.<br>spi -  major version increase*	1	-1	 663[0] commit[0] 8a85a9789e708aaf49dd2cbac3b50a7b8b2bb8c1/8a85a9789e708af49dd2cbac3b50a7b8b2bb8c1[0] sling[0] -6293[0] refactor[0] property[0] inheritance[0] out[0] of[0] defaultconfigurationresourceresolvingstrategy[0] and[0] create[0] separate[0] spi[0] and[0] impl[0] for[0] it[0] this[0] breaks[0] backward[0] compatibility[0] of[0] package[0] org[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] sling[0] [[Sentence=-1,1=word max, 1-5]] caconfig[0] [[Sentence=-1,1=word max, 1-5]] resource[0] [[Sentence=-1,1=word max, 1-5]] spi[0] major[0] version[0] increase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
683 commit 6803d946b35a7b465f1d7ad4ccf90d710b64f417 sling-6285 - implement loginadminwhitelist in jcr base - move implementation from o.a.s.jcr.oak.server to o.a.s.jcr.base - move and refactor tests to work with moved implementation - support @modified callback on loginadminwhitelist to avoid restarting repositories on configuratin change - improved error handling, i.e. set a message for loginexceptions 	683 commit 6803d946b35a7b465f1d7ad4ccf90d710b64f417 sling-6285 - implement loginadminwhitelist in jcr base - move implementation from o.<br>a.<br>s.<br>jcr.<br>oak.<br>server to o.<br>a.<br>s.<br>jcr.<br>base - move and refactor tests to work with moved implementation - support @modified callback on loginadminwhitelist to avoid restarting repositories on configuratin change - improved error handling, i.<br>e.<br> set a message for loginexceptions	2	-2	 683[0] commit[0] 6803d946b35a7b465f1d7ad4ccf90d710b64f417[0] sling[0] -6285[0] implement[0] loginadminwhitelist[0] in[0] jcr[0] base[0] move[0] implementation[0] from[0] o[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] jcr[0] [[Sentence=-1,1=word max, 1-5]] oak[0] [[Sentence=-1,1=word max, 1-5]] server[0] to[0] o[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] jcr[0] [[Sentence=-1,1=word max, 1-5]] base[0] move[0] and[0] refactor[0] tests[0] to[0] work[0] with[0] moved[0] implementation[0] support[0] @modified[0] callback[0] on[0] loginadminwhitelist[0] to[0] avoid[-1] restarting[0] repositories[0] on[0] configuratin[0] change[0] improved[1] error[0] handling[0] i[0] [[Sentence=-2,2=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] set[0] a[0] message[0] for[0] loginexceptions[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
2164 commit 5a6e1454ab8be25da5ce0f9221976dfe1f4720ba sling-5886 : refactor packages and update javadocs 	2164 commit 5a6e1454ab8be25da5ce0f9221976dfe1f4720ba sling-5886 : refactor packages and update javadocs	1	-1	 2164[0] commit[0] 5a6e1454ab8be25da5ce0f9221976dfe1f4720ba[0] sling[0] -5886[0] refactor[0] packages[0] and[0] update[0] javadocs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3565 commit 65097012ec66e691ef23d22698e0d312b754107c code cleanup, rename secureresourceprovider, remove statefulresourceproviderwrapper 	3565 commit 65097012ec66e691ef23d22698e0d312b754107c code cleanup, rename secureresourceprovider, remove statefulresourceproviderwrapper	2	-1	 3565[0] commit[0] 65097012ec66e691ef23d22698e0d312b754107c[0] code[0] cleanup[0] rename[0] secureresourceprovider[1] remove[0] statefulresourceproviderwrapper[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3873 commit 4d79ef552321e3af09dd7bcd5052ab5b3e8e745c sling-5399 - cleared logging, first iteration, minor refactorings 	3873 commit 4d79ef552321e3af09dd7bcd5052ab5b3e8e745c sling-5399 - cleared logging, first iteration, minor refactorings	1	-1	 3873[0] commit[0] 4d79ef552321e3af09dd7bcd5052ab5b3e8e745c[0] sling[0] -5399[0] cleared[0] logging[0] first[0] iteration[0] minor[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3906 commit fb33c91a0ed4b43f4d9a1e0b8ed80ab19d028cfd sling-5026 - refactor validator interface to allow to set multiple failure messages this closes #117 	3906 commit fb33c91a0ed4b43f4d9a1e0b8ed80ab19d028cfd sling-5026 - refactor validator interface to allow to set multiple failure messages this closes #117	1	-1	 3906[0] commit[0] fb33c91a0ed4b43f4d9a1e0b8ed80ab19d028cfd[0] sling[0] -5026[0] refactor[0] validator[0] interface[0] to[0] allow[0] to[0] set[0] multiple[0] failure[0] messages[0] this[0] closes[0] #117[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4455 commit adf573ccae421b768ac6d481ad1c7a1ee550a007 sling-5173 : re-added complete consistency-history after introducing splitting them and using the consistencyservicechain. probably should be refactored into something slightly nicer though 	4455 commit adf573ccae421b768ac6d481ad1c7a1ee550a007 sling-5173 : re-added complete consistency-history after introducing splitting them and using the consistencyservicechain.<br> probably should be refactored into something slightly nicer though	1	-1	 4455[0] commit[0] adf573ccae421b768ac6d481ad1c7a1ee550a007[0] sling[0] -5173[0] re[0] added[0] complete[0] consistency[0] history[0] after[0] introducing[0] splitting[0] them[0] and[0] using[0] the[0] consistencyservicechain[0] [[Sentence=-1,1=word max, 1-5]] probably[0] should[0] be[0] refactored[0] into[0] something[0] slightly[0] nicer[1][-1 LastWordBoosterStrength] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4510 commit a1a34b8332fe5be743f9155e1d53588680e7f6f8 sling-5158 refactor resourceresolver to use the new resourceprovider api 	4510 commit a1a34b8332fe5be743f9155e1d53588680e7f6f8 sling-5158 refactor resourceresolver to use the new resourceprovider api	1	-1	 4510[0] commit[0] a1a34b8332fe5be743f9155e1d53588680e7f6f8[0] sling[0] -5158[0] refactor[0] resourceresolver[0] to[0] use[0] the[0] new[0] resourceprovider[0] api[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5985 commit 274f8deceeaab2903f22796609ace3a0ba5ff76c refactor sample to user service user. refactor utility methods into services, change content model 	5985 commit 274f8deceeab2903f22796609ace3a0ba5ff76c refactor sample to user service user.<br> refactor utility methods into services, change content model	1	-1	 5985[0] commit[0] 274f8deceeaab2903f22796609ace3a0ba5ff76c/274f8deceeab2903f22796609ace3a0ba5ff76c[0] refactor[0] sample[0] to[0] user[0] service[0] user[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] utility[0] methods[0] into[0] services[0] change[0] content[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7373 commit 8715e3df82e988c65164b6aaf83f4faddfe50813 sling-4206 refactor sightly and sightly js - cleanup api - structure api - move implementations into impl folders applying patch by radu cotescu (thank you very much) 	7373 commit 8715e3df82e988c65164b6af83f4faddfe50813 sling-4206 refactor sightly and sightly js - cleanup api - structure api - move implementations into impl folders applying patch by radu cotescu (thank you very much)	2	-1	 7373[0] commit[0] 8715e3df82e988c65164b6aaf83f4faddfe50813/8715e3df82e988c65164b6af83f4faddfe50813[0] sling[0] -4206[0] refactor[0] sightly[0] and[0] sightly[0] js[0] cleanup[0] api[0] structure[0] api[0] move[0] implementations[0] into[0] impl[0] folders[0] applying[0] patch[0] by[0] radu[0] cotescu[0] thank[1] you[0] very[0] much[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
