Rename Method	Translation	Positive	Negative	EmotionRationale
286 commit db679c3e22c63f344261f69dc801ee9d4483f295 refactoring (classes xml, urlparamname and filename moved from various projects to single location in api). added http delete to da rest. 	286 commit db679c3e22c63f344261f69dc801ee9d4483f295 refactoring (classes xml, urlparamname and filename moved from various projects to single location in api)<br> added http delete to da rest.	1	-1	 286[0] commit[0] db679c3e22c63f344261f69dc801ee9d4483f295[0] refactoring[0] classes[0] xml[0] urlparamname[0] and[0] filename[0] moved[0] from[0] various[0] projects[0] to[0] single[0] location[0] in[0] api[0] [[Sentence=-1,1=word max, 1-5]] added[0] http[0] delete[0] to[0] da[0] rest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
459 commit a7805586489e51d542ebaadfce981b88dc67fe4a refactoring of slm - methods moved to servicemodelutils to avoid duplication of code/effort - two new properties added to platform properties - service discovery/registry now makes a better distinction between searching for all services in your css and events in a specific css node. - fixes to slm part of the webapp - major clean up of osgiregistrylistener, including using non-deprecated methods to interact with privacy manager and security manager - the way the slm handles service client files is completely changed. it now either expects a valid url in the serviceclient metadata field, or will look inside the server jar/war for the client files, copy them locally and then tell the security manager to register them in the da. - more robust slm, with better error-handling, logs and clean-up 	459 commit a7805586489e51d542ebadfce981b88dc67fe4a refactoring of slm - methods moved to servicemodelutils to avoid duplication of code/effort - two new properties added to platform properties - service discovery/registry now makes a better distinction between searching for all services in your css and events in a specific css node.<br> - fixes to slm part of the webap - major clean up of osgiregistrylistener, including using non-deprecated methods to interact with privacy manager and security manager - the way the slm handles service client files is completely changed.<br> it now either expects a valid url in the serviceclient metadata field, or will look inside the server jar/war for the client files, copy them locally and then tell the security manager to register them in the da.<br> - more robust slm, with better error-handling, logs and clean-up	1	-2	 459[0] commit[0] a7805586489e51d542ebaadfce981b88dc67fe4a/a7805586489e51d542ebadfce981b88dc67fe4a[0] refactoring[0] of[0] slm[0] methods[0] moved[0] to[0] servicemodelutils[0] to[0] avoid[-1] duplication[0] of[0] code/effort[0] two[0] new[0] properties[0] added[0] to[0] platform[0] properties[0] service[0] discovery/registry[0] now[0] makes[0] a[0] better[0] distinction[0] between[0] searching[0] for[0] all[0] services[0] in[0] your[0] css[0] and[0] events[0] in[0] a[0] specific[0] css[0] node[0] [[Sentence=-2,1=word max, 1-5]] fixes[0] to[0] slm[0] part[0] of[0] the[0] webapp/webap[0] major[0] clean[0] up[0] of[0] osgiregistrylistener[0] including[0] using[0] non[0] deprecated[0] methods[0] to[0] interact[0] with[0] privacy[0] manager[0] and[0] security[0] manager[0] the[0] way[0] the[0] slm[0] handles[0] service[0] client[0] files[0] is[0] completely[0] changed[0] [[Sentence=-1,1=word max, 1-5]] it[0] now[0] either[0] expects[0] a[0] valid[0] url[0] in[0] the[0] serviceclient[0] metadata[0] field[0] or[0] will[0] look[0] inside[0] the[0] server[0] jar/war[0] for[0] the[0] client[0] files[0] copy[0] them[0] locally[0] and[0] then[0] tell[0] the[0] security[0] manager[0] to[0] register[0] them[0] in[0] the[0] da[0] [[Sentence=-1,1=word max, 1-5]] more[0] robust[0] slm[0] with[0] better[0] error[0] handling[0] logs[0] and[0] clean[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
997 commit 7636d1faf5459e16c92c27b18ef2b5ad503a1424 refactoring methods so that the async methods are named xxasync, and the original methods behave in the same way they did before 	997 commit 7636d1faf5459e16c92c27b18ef2b5ad503a1424 refactoring methods so that the async methods are named xasync, and the original methods behave in the same way they did before	1	-1	 997[0] commit[0] 7636d1faf5459e16c92c27b18ef2b5ad503a1424[0] refactoring[0] methods[0] so[0] that[0] the[0] async[0] methods[0] are[0] named[0] xxasync/xasync[0] and[0] the[0] original[0] methods[0] behave[0] in[0] the[0] same[0] way[0] they[0] did[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1492 commit e8158964daa82a376713a59079edb316fb297262 refactor trust broker api to support indirect trust evaluation (#1676) 	1492 commit e8158964da82a376713a59079edb316fb297262 refactor trust broker api to support indirect trust evaluation (#1676)	2	-2	 1492[0] commit[0] e8158964daa82a376713a59079edb316fb297262/e8158964da82a376713a59079edb316fb297262[0] refactor[0] trust[1] broker[-1] api[0] to[0] support[0] indirect[0] trust[1] evaluation[0] (#1676[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
2610 commit f22d1a353f9b4edd977ea7e86df646df48e09a0d complete trust mgmt refactoring 	2610 commit f22d1a353f9b4edd977ea7e86df646df48e09a0d complete trust mgmt refactoring	3	-1	 2610[0] commit[0] f22d1a353f9b4edd977ea7e86df646df48e09a0d[0] complete[0] trust[1][1 LastWordBoosterStrength] mgmt[0] refactoring[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
2611 commit c827679d780772739770bccf61631cbfac7fd014 major trust mgmt refactoring 	2611 commit c827679d780772739770bccf61631cbfac7fd014 major trust mgmt refactoring	2	-1	 2611[0] commit[0] c827679d780772739770bccf61631cbfac7fd014[0] major[0] trust[1] mgmt[0] refactoring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3798 commit 7fea2de0d9ba9e4f8d9656b42df44afcaab5ede4 merge: 904150e 2935513 merge branch 'development' into cleanupall # by aleckey (11) and others # via guido spadotto (22) and others * development: (62 commits) new android notifier new attribute types added got the 2 pager working for services tiny fix on cis service registry refactoring & adding parent sri field to service model added boundary code for the case when eventmgmt has not been wired in cis first small fixes on cismanager service on android fix on pubsub and xmpp error parsing cpa integration test running, without cpa interaction (only cis creation at the moment), fixed osx issue with swing adding null check - fix error in query code reported by jacqueline webapp: show cis and 3p service privacy policy social prov content provider pom fix fix of cis privacy access control fixed up getinstalledapplications() method bug-fixing for service sharing / device management extensive logs removed before merging remote context eventing tests android personalisation updates cardinality fix on cis ... conflicts: context-management/contextbroker/pom.xml context-management/context-cloud-bundle/pom.xml css-modules/device-mgmt/devicecommsmgr/pom.xml css-modules/device-mgmt/rfiddriver/pom.xml css-modules/serviceregistry/pom.xml personalisation/personalisation-groupmanager/pom.xml platform-infrastructure/comms-frwk/pubsubclientbundle/src/main/java/org/societies/comm/xmpp/pubsub/impl/pubsubclientimpl.java platform-infrastructure/comms-frwk/pubsubservicebundle/src/main/resources/meta-inf/spring/bundle-context.xml 	3798 commit 7fea2de0d9ba9e4f8d9656b42df44afcab5ede4 merge: 904150e 2935513 merge branch 'development' into cleanupall # by aleckey (11) and others # via guido spadotto (22) and others * development: (62 commits) new android notifier new attribute types added got the 2 pager working for services tiny fix on cis service registry refactoring & adding parent sri field to service model added boundary code for the case when eventmgmt has not been wired in cis first small fixes on cismanager service on android fix on pubsub and xmp error parsing cpa integration test running, without cpa interaction (only cis creation at the moment) fixed osx issue with swing adding null check - fix error in query code reported by jacqueline webap: show cis and 3p service privacy policy social prov content provider pom fix fix of cis privacy access control fixed up getinstalledapplications( method bug-fixing for service sharing / device management extensive logs removed before merging remote context eventing tests android personalisation updates cardinality fix on cis .<br> conflicts: context-management/contextbroker/pom.<br>xml context-management/context-cloud-bundle/pom.<br>xml css-modules/device-mgmt/devicecommsmgr/pom.<br>xml css-modules/device-mgmt/rfiddriver/pom.<br>xml css-modules/serviceregistry/pom.<br>xml personalisation/personalisation-groupmanager/pom.<br>xml platform-infrastructure/comms-frwk/pubsubclientbundle/src/main/java/org/societies/comm/xmpp/pubsub/impl/pubsubclientimpl.<br>java platform-infrastructure/comms-frwk/pubsubservicebundle/src/main/resources/meta-inf/spring/bundle-context.<br>xml	1	-1	 3798[0] commit[0] 7fea2de0d9ba9e4f8d9656b42df44afcaab5ede4/7fea2de0d9ba9e4f8d9656b42df44afcab5ede4[0] merge[0] 904150e[0] 2935513[0] merge[0] branch[0] 'development'[0] into[0] cleanupall[0] #[0] by[0] aleckey[0] (11[0] and[0] others[0] #[0] via[0] guido[0] spadotto[0] (22[0] and[0] others[0] development[0] (62[0] commits[0] new[0] android[0] notifier[0] new[0] attribute[0] types[0] added[0] got[0] the[0] 2[0] pager[0] working[0] for[0] services[0] tiny[0] fix[0] on[0] cis[0] service[0] registry[0] refactoring[0] &[0] adding[0] parent[0] sri[0] field[0] to[0] service[0] model[0] added[0] boundary[0] code[0] for[0] the[0] case[0] when[0] eventmgmt[0] has[0] not[0] been[0] wired[0] in[0] cis[0] first[0] small[0] fixes[0] on[0] cismanager[0] service[0] on[0] android[0] fix[0] on[0] pubsub[0] and[0] xmpp/xmp[0] error[0] parsing[0] cpa[0] integration[0] test[0] running[0] without[0] cpa[0] interaction[0] only[0] cis[0] creation[0] at[0] the[0] moment[0] fixed[0] osx[0] [[Sentence=-1,1=word max, 1-5]] conflicts[0] context[0] management/contextbroker/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] context[0] management/context[0] cloud[0] bundle/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] css[0] modules/device[0] mgmt/devicecommsmgr/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] css[0] modules/device[0] mgmt/rfiddriver/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] css[0] modules/serviceregistry/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] personalisation/personalisation[0] groupmanager/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] platform[0] infrastructure/comms[0] frwk/pubsubclientbundle/src/main/java/org/societies/comm/xmpp/pubsub/impl/pubsubclientimpl[0] [[Sentence=-1,1=word max, 1-5]] java[0] platform[0] infrastructure/comms[0] frwk/pubsubservicebundle/src/main/resources/meta[0] inf/spring/bundle[0] context[0] [[Sentence=-1,1=word max, 1-5]] xml[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4212 commit cbe7380a4d3c6ccb4dd661e2b6c4fda42b59319b merge: 289dd36 2979366 merge branch 'eliza_refactoring_dataidentifier' into development conflicts: integration-tests/bit/privacy-trust-test-suite/data-management-1266/src/main/java/org/societies/integration/test/bit/privacydatamanagement/privacydatamanagertest.java privacy-trust/java/privacy-protection/privacy-data-management/src/main/java/org/societies/privacytrust/privacyprotection/model/privacypermission.java privacy-trust/java/privacy-protection/privacy-preference-management/src/main/java/org/societies/privacytrust/privacyprotection/privacypreferencemanager/privacypreferencemanager.java 	4212 commit cbe7380a4d3c6ccb4dd661e2b6c4fda42b59319b merge: 289dd36 2979366 merge branch 'eliza_refactoring_dataidentifier' into development conflicts: integration-tests/bit/privacy-trust-test-suite/data-management-1266/src/main/java/org/societies/integration/test/bit/privacydatamanagement/privacydatamanagertest.<br>java privacy-trust/java/privacy-protection/privacy-data-management/src/main/java/org/societies/privacytrust/privacyprotection/model/privacypermission.<br>java privacy-trust/java/privacy-protection/privacy-preference-management/src/main/java/org/societies/privacytrust/privacyprotection/privacypreferencemanager/privacypreferencemanager.<br>java	2	-1	 4212[0] commit[0] cbe7380a4d3c6ccb4dd661e2b6c4fda42b59319b[0] merge[0] 289dd36[0] 2979366[0] merge[0] branch[0] 'eliza_refactoring_dataidentifier'[0] into[0] development[0] conflicts[0] integration[0] tests/bit/privacy[0] trust[1] test[0] suite/data[0] management[0] -1266/src/main/java/org/societies/integration/test/bit/privacydatamanagement/privacydatamanagertest[0] [[Sentence=-1,2=word max, 1-5]] java[0] privacy[0] trust/java/privacy[1] protection/privacy[0] data[0] management/src/main/java/org/societies/privacytrust/privacyprotection/model/privacypermission[0] [[Sentence=-1,2=word max, 1-5]] java[0] privacy[0] trust/java/privacy[1] protection/privacy[0] preference[0] management/src/main/java/org/societies/privacytrust/privacyprotection/privacypreferencemanager/privacypreferencemanager[0] [[Sentence=-1,2=word max, 1-5]] java[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
5237 commit 5d53e55efa30c01a948ec1f0e85067340f401f54 refactor trust evidence model and itrustevidencecollector api 	5237 commit 5d53e55efa30c01a948ec1f0e85067340f401f54 refactor trust evidence model and itrustevidencecollector api	2	-1	 5237[0] commit[0] 5d53e55efa30c01a948ec1f0e85067340f401f54[0] refactor[0] trust[1] evidence[0] model[0] and[0] itrustevidencecollector[0] api[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
5327 commit f538bf34c52181e7d0750281e6f544188af60cab more refactoring 	5327 commit f538bf34c52181e7d0750281e6f544188af60cab more refactoring	1	-1	 5327[0] commit[0] f538bf34c52181e7d0750281e6f544188af60cab[0] more[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
