Rename Class	Translation	Positive	Negative	EmotionRationale
2894 commit ddf9fda1cc3f621d2078b619311b42e620bc3284 sling-5577: refactor content serialization to be independent of persistence 	2894 commit ddf9fda1cc3f621d2078b619311b42e620bc3284 sling-5577: refactor content serialization to be independent of persistence	1	-1	 2894[0] commit[0] ddf9fda1cc3f621d2078b619311b42e620bc3284[0] sling[0] -5577[0] refactor[0] content[0] serialization[0] to[0] be[0] independent[0] of[0] persistence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3378 commit 94f345ba17c2e45629bfae9f773fbb8a55f5d8c4 sling-5508 provide additional matchers for resource children and for resource names add some basic tests for all matchers, refactor the matcher classes to allow to easier reuse those for some other purposes 	3378 commit 94f345ba17c2e45629bfae9f773fbb8a55f5d8c4 sling-5508 provide additional matchers for resource children and for resource names add some basic tests for all matchers, refactor the matcher classes to allow to easier reuse those for some other purposes	1	-1	 3378[0] commit[0] 94f345ba17c2e45629bfae9f773fbb8a55f5d8c4[0] sling[0] -5508[0] provide[0] additional[0] matchers[0] for[0] resource[0] children[0] and[0] for[0] resource[0] names[0] add[0] some[0] basic[0] tests[0] for[0] all[0] matchers[0] refactor[0] the[0] matcher[0] classes[0] to[0] allow[0] to[0] easier[0] reuse[0] those[0] for[0] some[0] other[0] purposes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3565 commit 65097012ec66e691ef23d22698e0d312b754107c code cleanup, rename secureresourceprovider, remove statefulresourceproviderwrapper 	3565 commit 65097012ec66e691ef23d22698e0d312b754107c code cleanup, rename secureresourceprovider, remove statefulresourceproviderwrapper	2	-1	 3565[0] commit[0] 65097012ec66e691ef23d22698e0d312b754107c[0] code[0] cleanup[0] rename[0] secureresourceprovider[1] remove[0] statefulresourceproviderwrapper[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4797 commit c24d3495f8922deffb99cbfc1271d0ac62c5fb1b sling-5088 refactor resource resolver initialization 	4797 commit c24d3495f8922deffb99cbfc1271d0ac62c5fb1b sling-5088 refactor resource resolver initialization	2	-1	 4797[0] commit[0] c24d3495f8922deffb99cbfc1271d0ac62c5fb1b[0] sling[0] -5088[0] refactor[0] resource[0] resolver[1] initialization[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4852 commit eb3fc00c09b17001d68c8bd828dd9be1cafe9776 sling-5075 upgrade thymeleaf to 3.0 * use thymeleaf 3.0.0.alpha03 and adjust dependencies * refactor and use new thymeleaf apis 	4852 commit eb3fc00c09b17001d68c8bd828dd9be1cafe9776 sling-5075 upgrade thymeleaf to 3.0 * use thymeleaf 3.0.0.<br>alpha03 and adjust dependencies * refactor and use new thymeleaf apis	1	-1	 4852[0] commit[0] eb3fc00c09b17001d68c8bd828dd9be1cafe9776[0] sling[0] -5075[0] upgrade[0] thymeleaf[0] to[0] 3[0] .0[0] use[0] thymeleaf[0] 3[0] .0[0] .0[0] [[Sentence=-1,1=word max, 1-5]] alpha03[0] and[0] adjust[0] dependencies[0] refactor[0] and[0] use[0] new[0] thymeleaf[0] apis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6684 commit 527bb270f23069e94740c9bfd71b1323ba9f2e00 sling-3535 reduce duplicated code in content loader * rename systemviewimporter to jcrxmlimporter as it also imports jcr document view * rename methods accordingly * adjust log messages accordingly * remove obsolete imports from loader and defaultcontentimporter 	6684 commit 527bb270f23069e94740c9bfd71b1323ba9f2e00 sling-3535 reduce duplicated code in content loader * rename systemviewimporter to jcrxmlimporter as it also imports jcr document view * rename methods accordingly * adjust log messages accordingly * remove obsolete imports from loader and defaultcontentimporter	1	-1	 6684[0] commit[0] 527bb270f23069e94740c9bfd71b1323ba9f2e00[0] sling[0] -3535[0] reduce[0] duplicated[0] code[0] in[0] content[0] loader[0] rename[0] systemviewimporter[0] to[0] jcrxmlimporter[0] as[0] it[0] also[0] imports[0] jcr[0] document[0] view[0] rename[0] methods[0] accordingly[0] adjust[0] log[0] messages[0] accordingly[0] remove[0] obsolete[0] imports[0] from[0] loader[0] and[0] defaultcontentimporter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6784 commit 6014f632df2526a55eeb0dc1cc40b8c9a7c3b5ec sling-4434 refactor integration with sling models: remove mockmodeladapterfactory and directly integrate the original modeladapterfactory using the new osgi mock dynamic service reference feature 	6784 commit 6014f632df2526a55eeb0dc1cc40b8c9a7c3b5ec sling-4434 refactor integration with sling models: remove mockmodeladapterfactory and directly integrate the original modeladapterfactory using the new osgi mock dynamic service reference feature	1	-3	 6784[0] commit[0] 6014f632df2526a55eeb0dc1cc40b8c9a7c3b5ec[0] sling[0] -4434[0] refactor[0] integration[0] with[0] sling[0] models[0] remove[0] mockmodeladapterfactory[0] and[0] directly[0] integrate[0] the[0] original[0] modeladapterfactory[0] using[0] the[0] new[0] osgi[0] mock[-2] dynamic[0] service[0] reference[0] feature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
7373 commit 8715e3df82e988c65164b6aaf83f4faddfe50813 sling-4206 refactor sightly and sightly js - cleanup api - structure api - move implementations into impl folders applying patch by radu cotescu (thank you very much) 	7373 commit 8715e3df82e988c65164b6af83f4faddfe50813 sling-4206 refactor sightly and sightly js - cleanup api - structure api - move implementations into impl folders applying patch by radu cotescu (thank you very much)	2	-1	 7373[0] commit[0] 8715e3df82e988c65164b6aaf83f4faddfe50813/8715e3df82e988c65164b6af83f4faddfe50813[0] sling[0] -4206[0] refactor[0] sightly[0] and[0] sightly[0] js[0] cleanup[0] api[0] structure[0] api[0] move[0] implementations[0] into[0] impl[0] folders[0] applying[0] patch[0] by[0] radu[0] cotescu[0] thank[1] you[0] very[0] much[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
7677 commit 71ad9451bb38bfa7afcf895d5770f85835ae8872 sling-4048 : avoid keeping jobs in memory. another refactoring: move all configuration code into config package (wip) 	7677 commit 71ad9451bb38bfa7afcf895d5770f85835ae8872 sling-4048 : avoid keeping jobs in memory.<br> another refactoring: move all configuration code into config package (wip)	1	-2	 7677[0] commit[0] 71ad9451bb38bfa7afcf895d5770f85835ae8872[0] sling[0] -4048[0] avoid[-1] keeping[0] jobs[0] in[0] memory[0] [[Sentence=-2,1=word max, 1-5]] another[0] refactoring[0] move[0] all[0] configuration[0] code[0] into[0] config[0] package[0] wip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
7732 commit cfe093f0d31402f851463b022309c0fe0e695aef sling-4048 : avoid keeping jobs in memory. refactor job traversal and implement different queue strategies (wip) 	7732 commit cfe093f0d31402f851463b022309c0fe0e695aef sling-4048 : avoid keeping jobs in memory.<br> refactor job traversal and implement different queue strategies (wip)	1	-2	 7732[0] commit[0] cfe093f0d31402f851463b022309c0fe0e695aef[0] sling[0] -4048[0] avoid[-1] keeping[0] jobs[0] in[0] memory[0] [[Sentence=-2,1=word max, 1-5]] refactor[0] job[0] traversal[0] and[0] implement[0] different[0] queue[0] strategies[0] wip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
