Inline Method	Translation	Positive	Negative	EmotionRationale
1172 commit 20c4999ef6cdc4aafb199e4b0aba88aada68fed5 quercus pdo refactor to use existing quercus db lib 	1172 commit 20c499ef6cdc4afb199e4b0aba88ada68fed5 quercus pdo refactor to use existing quercus db lib	2	-1	 1172[0] commit[0] 20c4999ef6cdc4aafb199e4b0aba88aada68fed5/20c499ef6cdc4afb199e4b0aba88ada68fed5[0][+0.6 MultipleLetters] quercus[0] pdo[0] refactor[0] to[0] use[0] existing[0] quercus[0] db[0] lib[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1259 commit 455d013e0396f02ed5483311b8f7e1a6b011c37d quercus  a[][foo]    b fix and code cleanup 	1259 commit 455d013e0396f02ed5483311b8f7e1a6b011c37d quercus  a[][foo]    b fix and code cleanup	1	-1	 1259[0] commit[0] 455d013e0396f02ed5483311b8f7e1a6b011c37d[0] quercus[0] a[][foo][0] b[0] fix[0] and[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1699 commit 0b4088ef8cc09b2d642d1eb6819a6db716420575 resin config partial refactor 	1699 commit 0b4088ef8cc09b2d642d1eb6819a6db716420575 resin config partial refactor	1	-1	 1699[0] commit[0] 0b4088ef8cc09b2d642d1eb6819a6db716420575[0] resin[0] config[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1829 commit 2c8d84ec7101e0db62905e3c3d03a8af90ed2227 cache partial refactor 	1829 commit 2c8d84ec7101e0db62905e3c3d03a8af90ed227 cache partial refactor	1	-1	 1829[0] commit[0] 2c8d84ec7101e0db62905e3c3d03a8af90ed2227/2c8d84ec7101e0db62905e3c3d03a8af90ed227[0] cache[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1885 commit 5ddb0c1ea9bf2267c8fb6b5a1813c0ac501b066b cache refactor 	1885 commit 5ddb0c1ea9bf2267c8fb6b5a1813c0ac501b066b cache refactor	1	-1	 1885[0] commit[0] 5ddb0c1ea9bf2267c8fb6b5a1813c0ac501b066b[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression 	2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression	1	-1	 2704[0] commit[0] d7135c3f58daea759f8f2605e13eba56f89265e3[0] deployment[0] refactoring[0] and[0] regression[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model 	3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model	1	-1	 3090[0] commit[0] a4b0e029f9eff08536a0eab92e376d2fb5ce7a40[0] ejb[0] refactor[0] for[0] new[0] proxy[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3546 commit 3f31b23272f601d8761924dad1dc82c6c2881ae6 quercus class::field refactor 	3546 commit 3f31b23272f601d8761924dad1dc82c6c2881ae6 quercus class:field refactor	1	-1	 3546[0] commit[0] 3f31b23272f601d8761924dad1dc82c6c2881ae6[0] quercus[0] class[0] field[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3577 commit 3a3c2b12a2e025107a0a29cc599f4f49c701deaf async/connection refactor 	3577 commit 3a3c2b12a2e025107a0a29cc599f4f49c701deaf async/connection refactor	1	-1	 3577[0] commit[0] 3a3c2b12a2e025107a0a29cc599f4f49c701deaf[0] async/connection[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3584 commit 8a403a1a4d51d4f6498847da90e16ae6e05e60c5 tcpconnection/keepalive refactor 	3584 commit 8a403a1a4d51d4f6498847da90e16ae6e05e60c5 tcpconnection/keepalive refactor	1	-1	 3584[0] commit[0] 8a403a1a4d51d4f6498847da90e16ae6e05e60c5[0] tcpconnection/keepalive[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
