Move Method	Translation	Positive	Negative	EmotionRationale
1802 commit c498c4d20beb9172844f7cb2e0527e312c310065 backport some more el refactoring in preparation for the fix for https://issues.apache.org/bugzilla/show_bug.cgi?id 56147 includes some re-ordering of methods to simplify diff against 8.0.x 	1802 commit c498c4d20beb9172844f7cb2e0527e312c310065 backport some more el refactoring in preparation for the fix for https://issues.<br>apache.<br>org/bugzilla/show_bug.<br>cgi?<br>id 56147 includes some re-ordering of methods to simplify diff against 8.0.<br>x	2	-2	 1802[0] commit[0] c498c4d20beb9172844f7cb2e0527e312c310065[0] backport[0] some[0] more[0] el[0] refactoring[0] in[0] preparation[0] for[0] the[0] fix[0] for[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] org/bugzilla/show_bug[0] [[Sentence=-1,1=word max, 1-5]] cgi[0] [[Sentence=-1,1=word max, 1-5]] id[0] 56147[0] includes[0] some[0] re[0] ordering[0] of[0] methods[0] to[0] simplify[0] diff[0] against[-1] 8[0] .0[0] [[Sentence=-2,1=word max, 1-5]] x[1] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
1804 commit 22b7292d08db6d0fb21b74ddf1f5ecd71a703464 backport some el refactoring in preparation for the fix for https://issues.apache.org/bugzilla/show_bug.cgi?id 56147 	1804 commit 22b7292d08db6d0fb21b74ddf1f5ecd71a703464 backport some el refactoring in preparation for the fix for https://issues.<br>apache.<br>org/bugzilla/show_bug.<br>cgi?<br>id 56147	1	-1	 1804[0] commit[0] 22b7292d08db6d0fb21b74ddf1f5ecd71a703464[0] backport[0] some[0] el[0] refactoring[0] in[0] preparation[0] for[0] the[0] fix[0] for[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] org/bugzilla/show_bug[0] [[Sentence=-1,1=word max, 1-5]] cgi[0] [[Sentence=-1,1=word max, 1-5]] id[0] 56147[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3286 commit 4b9f5d2194c217f389d0b8f2f982f04fe24bf39d refactor - no functional change 	3286 commit 4b9f5d2194c217f389d0b8f2f982f04fe24bf39d refactor - no functional change	1	-1	 3286[0] commit[0] 4b9f5d2194c217f389d0b8f2f982f04fe24bf39d[0] refactor[0] no[0] functional[0] change[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4002 commit e65be75ea40f81a0a4a61fa1023350727732293f port refactoring (r1183493) from trunk move the access log validation to the testeraccesslogvalve so that is is available to all tests that use the valve. 	4002 commit e65be75ea40f81a0a4a61fa1023350727732293f port refactoring (r1183493) from trunk move the access log validation to the testeraccesslogvalve so that is is available to all tests that use the valve.	1	-1	 4002[0] commit[0] e65be75ea40f81a0a4a61fa1023350727732293f[0] port[0] refactoring[0] r1183493[0] from[0] trunk[0] move[0] the[0] access[0] log[0] validation[0] to[0] the[0] testeraccesslogvalve[0] so[0] that[0] is[0] is[0] available[0] to[0] all[0] tests[0] that[0] use[0] the[0] valve[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6429 commit 36c7da419d741542d9a1fd609ddac52203d68c6f refactoring move propertychange() implementation to managerbase to reduce code duplication 	6429 commit 36c7da419d741542d9a1fd609ddac52203d68c6f refactoring move propertychange( implementation to managerbase to reduce code duplication	1	-1	 6429[0] commit[0] 36c7da419d741542d9a1fd609ddac52203d68c6f[0] refactoring[0] move[0] propertychange[0] implementation[0] to[0] managerbase[0] to[0] reduce[0] code[0] duplication[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6430 commit 54c01c420c12f0ed888c3f3a8ae2a401c5180270 refactoring - reduce duplication handle maxactivesessions, rejectedsessions and processingtime in managerbase 	6430 commit 54c01c420c12f0ed88c3f3a8ae2a401c5180270 refactoring - reduce duplication handle maxactivesessions, rejectedsessions and processingtime in managerbase	1	-2	 6430[0] commit[0] 54c01c420c12f0ed888c3f3a8ae2a401c5180270/54c01c420c12f0ed88c3f3a8ae2a401c5180270[0] refactoring[0] reduce[0] duplication[0] handle[0] maxactivesessions[0] rejectedsessions[-1] and[0] processingtime[0] in[0] managerbase[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
6671 commit 23e9eaa6e83b6cc4db200f5d0317446ceb1d1bc5 refactor the hooks from the coyoteadapter to the access logs - cleaner interface - handles accesslogs at multiple levels (but not multiple accesslogs per container) 	6671 commit 23e9ea6e83b6cc4db200f5d0317446ceb1d1bc5 refactor the hooks from the coyoteadapter to the access logs - cleaner interface - handles accesslogs at multiple levels (but not multiple accesslogs per container)	1	-1	 6671[0] commit[0] 23e9eaa6e83b6cc4db200f5d0317446ceb1d1bc5/23e9ea6e83b6cc4db200f5d0317446ceb1d1bc5[0] refactor[0] the[0] hooks[0] from[0] the[0] coyoteadapter[0] to[0] the[0] access[0] logs[0] cleaner[0] interface[0] handles[0] accesslogs[0] at[0] multiple[0] levels[0] but[0] not[0] multiple[0] accesslogs[0] per[0] container[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6874 commit d157ad12e22b4d481e45a31e6a901bde2126b165 with the benefit of some sleep, refactor the mbean support for lifecycle (still some components to convert) fix https://issues.apache.org/bugzilla/show_bug.cgi?id 49134 thanks to marc guillemot whose test case for 49134 provided the basis of o.a.c.mbeans.testregistration 	6874 commit d157ad12e22b4d481e45a31e6a901bde2126b165 with the benefit of some sleep, refactor the mbean support for lifecycle (still some components to convert) fix https://issues.<br>apache.<br>org/bugzilla/show_bug.<br>cgi?<br>id 49134 thanks to marc guillemot whose test case for 49134 provided the basis of o.<br>a.<br>c.<br>mbeans.<br>testregistration	2	-1	 6874[0] commit[0] d157ad12e22b4d481e45a31e6a901bde2126b165[0] with[0] the[0] benefit[0] of[0] some[0] sleep[0] refactor[0] the[0] mbean[0] support[0] for[0] lifecycle[0] still[0] some[0] components[0] to[0] convert[0] fix[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] org/bugzilla/show_bug[0] [[Sentence=-1,1=word max, 1-5]] cgi[0] [[Sentence=-1,1=word max, 1-5]] id[0] 49134[0] thanks[1] to[0] marc[0] guillemot[0] whose[0] test[0] case[0] for[0] 49134[0] provided[0] the[0] basis[0] of[0] o[0] [[Sentence=-1,2=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] mbeans[0] [[Sentence=-1,1=word max, 1-5]] testregistration[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
7919 commit b4bcb7a37111a3dee28a87a999ebca930e716a3b more cookie refactoring - new support class for common elements of parsing and writing - better consistency between parsing and writing - remove unused code - reduce visibility of methods where possible - auto-switch to v1 for any attribute that might require quoting - better names for constants - allow v0 cookies to break http spec (disabled by default) - update test cases and documentation 	7919 commit b4bcb7a3711a3dee28a87a99ebca930e716a3b more cookie refactoring - new support class for common elements of parsing and writing - better consistency between parsing and writing - remove unused code - reduce visibility of methods where possible - auto-switch to v1 for any attribute that might require quoting - better names for constants - allow v0 cookies to break http spec (disabled by default) - update test cases and documentation	2	-2	 7919[0] commit[0] b4bcb7a37111a3dee28a87a999ebca930e716a3b/b4bcb7a3711a3dee28a87a99ebca930e716a3b[0][+0.6 MultipleLetters] more[0] cookie[0] refactoring[0] new[0] support[0] class[0] for[0] common[0] elements[0] of[0] parsing[0] and[0] writing[0] better[0] consistency[0] between[0] parsing[0] and[0] writing[0] remove[0] unused[0] code[0] reduce[0] visibility[0] of[0] methods[0] where[0] possible[0] auto[0] switch[0] to[0] v1[0] for[0] any[0] attribute[0] that[0] might[0] require[0] quoting[0] better[0] names[0] for[0] constants[0] allow[0] v0[0] cookies[0] to[0] break[0] http[0] spec[0] disabled[0] by[0] default[-1] update[0] test[0] cases[0] and[0] documentation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
9062 commit a0030bc17ca62638daf8ba0d9c2e98b21778001b refactor slow query report so that it is extensible and one can override the methods 	9062 commit a0030bc17ca62638daf8ba0d9c2e98b21778001b refactor slow query report so that it is extensible and one can override the methods	1	-1	 9062[0] commit[0] a0030bc17ca62638daf8ba0d9c2e98b21778001b[0] refactor[0] slow[0] query[0] report[0] so[0] that[0] it[0] is[0] extensible[0] and[0] one[0] can[0] override[0] the[0] methods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
