Rename Method	Translation	Positive	Negative	EmotionRationale
2303 commit 10bccd1827bdd8b9a17e6b7d4a80de621c786e45 rename method for clarity 	2303 commit 10bccd1827bdd8b9a17e6b7d4a80de621c786e45 rename method for clarity	1	-1	 2303[0] commit[0] 10bccd1827bdd8b9a17e6b7d4a80de621c786e45[0] rename[0] method[0] for[0] clarity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2365 commit 87499dcfeb3d4743be6af68be1aa08296fba7f0e back-port apr/native changes required to support jsr-356 significant changes are: - switch to a single poller with multiple pollsets - enable http upgrade connections to use concurrent read/write - lots of refactoring and clean-up 	2365 commit 87499dcfeb3d4743be6af68be1a08296fba7f0e back-port apr/native changes required to support jsr-356 significant changes are: - switch to a single poller with multiple pollsets - enable http upgrade connections to use concurrent read/write - lots of refactoring and clean-up	1	-1	 2365[0] commit[0] 87499dcfeb3d4743be6af68be1aa08296fba7f0e/87499dcfeb3d4743be6af68be1a08296fba7f0e[0] back[0] port[0] apr/native[0] changes[0] required[0] to[0] support[0] jsr[0] -356[0] significant[0] changes[0] are[0] switch[0] to[0] a[0] single[0] poller[0] with[0] multiple[0] pollsets[0] enable[0] http[0] upgrade[0] connections[0] to[0] use[0] concurrent[0] read/write[0] lots[0] of[0] refactoring[0] and[0] clean[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5097 commit 556a3d2c5e9c25966db675dd8400586a06c959fe @servletsecurity refactor to reduce duplication in test code add tests for method constraints 	5097 commit 556a3d2c5e9c25966db675dd8400586a06c959fe @servletsecurity refactor to reduce duplication in test code add tests for method constraints	1	-1	 5097[0] commit[0] 556a3d2c5e9c25966db675dd8400586a06c959fe[0] @servletsecurity[0] refactor[0] to[0] reduce[0] duplication[0] in[0] test[0] code[0] add[0] tests[0] for[0] method[0] constraints[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5579 commit 28ab52c66fb941e5f3f6b5f1329bcf9de7635a85 use the newly refactored session id generator when generating sso session ids 	5579 commit 28ab52c66fb941e5f3f6b5f1329bcf9de7635a85 use the newly refactored session id generator when generating so session ids	1	-1	 5579[0] commit[0] 28ab52c66fb941e5f3f6b5f1329bcf9de7635a85[0] use[0] the[0] newly[0] refactored[0] session[0] id[0] generator[0] when[0] generating[0] sso/so[0] session[0] ids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5643 commit b494a12e562060117de761589a91c5f338fdbe1f re-factoring in support of https://issues.apache.org/bugzilla/show_bug.cgi?id 50360 pull up the concrete destroy() method - required a fair bit of refactoring pull up the abstract init() method() 	5643 commit b494a12e562060117de761589a91c5f338fdbe1f re-factoring in support of https://issues.<br>apache.<br>org/bugzilla/show_bug.<br>cgi?<br>id 50360 pull up the concrete destroy( method - required a fair bit of refactoring pull up the abstract init( method(	1	-3	 5643[0] commit[0] b494a12e562060117de761589a91c5f338fdbe1f[0] re[0] factoring[0] in[0] support[0] of[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] org/bugzilla/show_bug[0] [[Sentence=-1,1=word max, 1-5]] cgi[0] [[Sentence=-1,1=word max, 1-5]] id[0] 50360[0] pull[0] up[0] the[0] concrete[0] destroy[-2] method[0] required[0] a[0] fair[0] bit[0] of[0] refactoring[0] pull[0] up[0] the[0] abstract[0] init[0] method[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
6225 commit b821f3a25832765d344142d64fd78f56fef26543 re-factoring the connectors. remove large chunks of duplicated code in the processors. some minor changes elsewhere to support the re-factoring. 	6225 commit b821f3a25832765d344142d64fd78f56fef26543 re-factoring the connectors.<br> remove large chunks of duplicated code in the processors.<br> some minor changes elsewhere to support the re-factoring.	1	-1	 6225[0] commit[0] b821f3a25832765d344142d64fd78f56fef26543[0] re[0] factoring[0] the[0] connectors[0] [[Sentence=-1,1=word max, 1-5]] remove[0] large[0] chunks[0] of[0] duplicated[0] code[0] in[0] the[0] processors[0] [[Sentence=-1,1=word max, 1-5]] some[0] minor[0] changes[0] elsewhere[0] to[0] support[0] the[0] re[0] factoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6874 commit d157ad12e22b4d481e45a31e6a901bde2126b165 with the benefit of some sleep, refactor the mbean support for lifecycle (still some components to convert) fix https://issues.apache.org/bugzilla/show_bug.cgi?id 49134 thanks to marc guillemot whose test case for 49134 provided the basis of o.a.c.mbeans.testregistration 	6874 commit d157ad12e22b4d481e45a31e6a901bde2126b165 with the benefit of some sleep, refactor the mbean support for lifecycle (still some components to convert) fix https://issues.<br>apache.<br>org/bugzilla/show_bug.<br>cgi?<br>id 49134 thanks to marc guillemot whose test case for 49134 provided the basis of o.<br>a.<br>c.<br>mbeans.<br>testregistration	2	-1	 6874[0] commit[0] d157ad12e22b4d481e45a31e6a901bde2126b165[0] with[0] the[0] benefit[0] of[0] some[0] sleep[0] refactor[0] the[0] mbean[0] support[0] for[0] lifecycle[0] still[0] some[0] components[0] to[0] convert[0] fix[0] https[0] ://issues[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] org/bugzilla/show_bug[0] [[Sentence=-1,1=word max, 1-5]] cgi[0] [[Sentence=-1,1=word max, 1-5]] id[0] 49134[0] thanks[1] to[0] marc[0] guillemot[0] whose[0] test[0] case[0] for[0] 49134[0] provided[0] the[0] basis[0] of[0] o[0] [[Sentence=-1,2=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]] mbeans[0] [[Sentence=-1,1=word max, 1-5]] testregistration[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
7192 commit 22a35c08668f24d3a859607a15cac041229e064e lifecycle refactoring - containerbase adds a new configure event to allow context to fire the start event at the right time context fires start a little later replicatedcontext takes advantage of lifecyclebase ensuring start() is only called once 	7192 commit 22a35c08668f24d3a859607a15cac041229e064e lifecycle refactoring - containerbase adds a new configure event to allow context to fire the start event at the right time context fires start a little later replicatedcontext takes advantage of lifecyclebase ensuring start( is only called once	1	-1	 7192[0] commit[0] 22a35c08668f24d3a859607a15cac041229e064e[0] lifecycle[0] refactoring[0] containerbase[0] adds[0] a[0] new[0] configure[0] event[0] to[0] allow[0] context[0] to[0] fire[0] the[0] start[0] event[0] at[0] the[0] right[0] time[0] context[0] fires[0] start[0] a[0] little[0] later[0] replicatedcontext[0] takes[0] advantage[0] of[0] lifecyclebase[0] ensuring[0] start[0] is[0] only[0] called[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7215 commit 3ba50e8b4e6b315a66dcff4bdf80ad8e21533bc8 lifecycle refactoring - manager lifecycle.start event fired too early in a number of cases added tostring() for use in lifecycle error messages 	7215 commit 3ba50e8b4e6b315a66dcff4bdf80ad8e21533bc8 lifecycle refactoring - manager lifecycle.<br>start event fired too early in a number of cases added tostring( for use in lifecycle error messages	1	-3	 7215[0] commit[0] 3ba50e8b4e6b315a66dcff4bdf80ad8e21533bc8[0] lifecycle[0] refactoring[0] manager[0] lifecycle[0] [[Sentence=-1,1=word max, 1-5]] start[0] event[0] fired[-2] too[0] early[0] in[0] a[0] number[0] of[0] cases[0] added[0] tostring[0] for[0] use[0] in[0] lifecycle[0] error[0] messages[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
7217 commit 48f177ef59faca1d371686742459154909328762 lifecycle refactoring - store added tostring() for use in lifecycle error messages 	7217 commit 48f177ef59faca1d371686742459154909328762 lifecycle refactoring - store added tostring( for use in lifecycle error messages	1	-1	 7217[0] commit[0] 48f177ef59faca1d371686742459154909328762[0] lifecycle[0] refactoring[0] store[0] added[0] tostring[0] for[0] use[0] in[0] lifecycle[0] error[0] messages[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
