Move Attribute	Translation	Positive	Negative	EmotionRationale
1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring 	1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring	1	-1	 1328[0] commit[0] 28d752deec92d70933535568aedd18cd79dcece7[0] amqp[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1699 commit 0b4088ef8cc09b2d642d1eb6819a6db716420575 resin config partial refactor 	1699 commit 0b4088ef8cc09b2d642d1eb6819a6db716420575 resin config partial refactor	1	-1	 1699[0] commit[0] 0b4088ef8cc09b2d642d1eb6819a6db716420575[0] resin[0] config[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2470 commit 25d299c879f948851bf3d75f4d12076e7526d01b service creation cleanup, healthservice refactor, warningservice refactor 	2470 commit 25d299c879f948851bf3d75f4d12076e7526d01b service creation cleanup, healthservice refactor, warningservice refactor	1	-1	 2470[0] commit[0] 25d299c879f948851bf3d75f4d12076e7526d01b[0] service[0] creation[0] cleanup[0] healthservice[0] refactor[0] warningservice[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression 	2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression	1	-1	 2704[0] commit[0] d7135c3f58daea759f8f2605e13eba56f89265e3[0] deployment[0] refactoring[0] and[0] regression[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2885 commit 610a865111989c00d861ca7b7169c4fd31ff317c cloud/system/resin refactor 	2885 commit 610a86511989c00d861ca7b7169c4fd31ff317c cloud/system/resin refactor	1	-1	 2885[0] commit[0] 610a865111989c00d861ca7b7169c4fd31ff317c/610a86511989c00d861ca7b7169c4fd31ff317c[0] cloud/system/resin[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2900 commit 570aae19f4a103a3ff8ecac96622323884367b1a bam/htmp authentication refactor 	2900 commit 570ae19f4a103a3ff8ecac96622323884367b1a bam/htmp authentication refactor	1	-1	 2900[0] commit[0] 570aae19f4a103a3ff8ecac96622323884367b1a/570ae19f4a103a3ff8ecac96622323884367b1a[0] bam/htmp[0] authentication[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2962 commit 3b7221bb927081fc1e1c531d3bc0816f7c889dd1 refactor jspexpressionfactory 	2962 commit 3b7221bb927081fc1e1c531d3bc0816f7c889dd1 refactor jspexpressionfactory	1	-1	 2962[0] commit[0] 3b7221bb927081fc1e1c531d3bc0816f7c889dd1[0] refactor[0] jspexpressionfactory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model 	3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model	1	-1	 3090[0] commit[0] a4b0e029f9eff08536a0eab92e376d2fb5ce7a40[0] ejb[0] refactor[0] for[0] new[0] proxy[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3178 commit dacb6fb872c32446c5341be806dede2353a11e5d ejb refactor: apiclass to annotatedtype 	3178 commit dacb6fb872c32446c5341be806dede2353a11e5d ejb refactor: apiclass to annotatedtype	1	-1	 3178[0] commit[0] dacb6fb872c32446c5341be806dede2353a11e5d[0] ejb[0] refactor[0] apiclass[0] to[0] annotatedtype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3581 commit 09416536a7c7b57253e0ba8630ec3ee31a47bf3c protocol/async refactor 	3581 commit 09416536a7c7b57253e0ba8630ec3ee31a47bf3c protocol/async refactor	1	-1	 3581[0] commit[0] 09416536a7c7b57253e0ba8630ec3ee31a47bf3c[0] protocol/async[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3663 commit 5f615beea7e90a538a9f4f477e8e5403c3ac49bf pro service registration changes with bam refactor 	3663 commit 5f615beea7e90a538a9f4f477e8e5403c3ac49bf pro service registration changes with bam refactor	1	-1	 3663[0] commit[0] 5f615beea7e90a538a9f4f477e8e5403c3ac49bf[0] pro[0] service[0] registration[0] changes[0] with[0] bam[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3772 commit d7f30b8fe30ff9ec59186549ec80b3ab0501bd5f bam refactor 	3772 commit d7f30b8fe30ff9ec59186549ec80b3ab0501bd5f bam refactor	1	-1	 3772[0] commit[0] d7f30b8fe30ff9ec59186549ec80b3ab0501bd5f[0] bam[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3774 commit 6ce3764335c0a0bcadf3221abe3aa1a99a03c6f3 bam major refactor. 	3774 commit 6ce3764335c0a0bcadf3221abe3a1a99a03c6f3 bam major refactor.	1	-1	 3774[0] commit[0] 6ce3764335c0a0bcadf3221abe3aa1a99a03c6f3/6ce3764335c0a0bcadf3221abe3a1a99a03c6f3[0] bam[0] major[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4241 commit 14302c3e24e1d6720847d33bdef3aecabba7c2dd request/response refactor 	4241 commit 14302c3e24e1d6720847d33bdef3aecabba7c2dd request/response refactor	1	-1	 4241[0] commit[0] 14302c3e24e1d6720847d33bdef3aecabba7c2dd[0] request/response[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4242 commit 57dfe342752caad31ab3301cc170ce6026f7eaa6 request/response refactoring 	4242 commit 57dfe342752cad31ab3301cc170ce6026f7ea6 request/response refactoring	2	-1	 4242[0] commit[0] 57dfe342752caad31ab3301cc170ce6026f7eaa6/57dfe342752cad31ab3301cc170ce6026f7ea6[0][+0.6 MultipleLetters] request/response[0] refactoring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4243 commit 441b1835957840a73ac27310190aa5b9b067b029 request/response refactor 	4243 commit 441b1835957840a73ac27310190a5b9b067b029 request/response refactor	1	-1	 4243[0] commit[0] 441b1835957840a73ac27310190aa5b9b067b029/441b1835957840a73ac27310190a5b9b067b029[0] request/response[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4521 commit 7e0a694d78bdc19688b41da20418f6a28c748f40 ioc refactor 	4521 commit 7e0a694d78bdc19688b41da20418f6a28c748f40 ioc refactor	1	-1	 4521[0] commit[0] 7e0a694d78bdc19688b41da20418f6a28c748f40[0] ioc[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5180 commit f7497f8f1c9f5f03d43448da3ead48608c3b5be5 cluster-triad refactor 	5180 commit f7497f8f1c9f5f03d43448da3ead48608c3b5be5 cluster-triad refactor	1	-1	 5180[0] commit[0] f7497f8f1c9f5f03d43448da3ead48608c3b5be5[0] cluster[0] triad[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5184 commit 50065aa7211a1f30e05e3b2fa523f74a2bbbfa79 authentication refactor 	5184 commit 50065a7211a1f30e05e3b2fa523f74a2bbfa79 authentication refactor	2	-1	 5184[0] commit[0] 50065aa7211a1f30e05e3b2fa523f74a2bbbfa79/50065a7211a1f30e05e3b2fa523f74a2bbfa79[0][+0.6 MultipleLetters] authentication[0] refactor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
5291 commit bdc3f7e12e4b24e8dce957c9c8e51dc606cc5fa8 refactor 	5291 commit bdc3f7e12e4b24e8dce957c9c8e51dc606cc5fa8 refactor	1	-1	 5291[0] commit[0] bdc3f7e12e4b24e8dce957c9c8e51dc606cc5fa8[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6223 commit c9ada766944ea116a194ed24f6d14c87eebfa17c watchdog refactor 	6223 commit c9ada766944ea116a194ed24f6d14c87eebfa17c watchdog refactor	1	-1	 6223[0] commit[0] c9ada766944ea116a194ed24f6d14c87eebfa17c[0] watchdog[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
