Extract Method	Translation	Positive	Negative	EmotionRationale
467 commit d429d85b2b7eb413808f508bf9fe46f935096cf1 lucene-5038: refactor compoundfile settings in mergepolicy and indexwriterconfig 	467 commit d429d85b2b7eb413808f508bf9fe46f935096cf1 lucene-5038: refactor compoundfile settings in mergepolicy and indexwriterconfig	1	-1	 467[0] commit[0] d429d85b2b7eb413808f508bf9fe46f935096cf1[0] lucene[0] -5038[0] refactor[0] compoundfile[0] settings[0] in[0] mergepolicy[0] and[0] indexwriterconfig[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
785 commit 1a9209f5b296a0620433376dc68e2840d56378cf solr-3755: refactored shardsplittest and chaosmonkeyshardsplittest to share code. 	785 commit 1a9209f5b296a062043376dc68e2840d56378cf solr-3755: refactored shardsplittest and chaosmonkeyshardsplittest to share code.	1	-1	 785[0] commit[0] 1a9209f5b296a0620433376dc68e2840d56378cf/1a9209f5b296a062043376dc68e2840d56378cf[0] solr[0] -3755[0] refactored[0] shardsplittest[0] and[0] chaosmonkeyshardsplittest[0] to[0] share[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2256 commit d2f7c1769641b4f0c7d4e87f9e03bd8c4c5b516b solr-3861: refactor solrcorestate so that it's managed by solrcore. 	2256 commit d2f7c1769641b4f0c7d4e87f9e03bd8c4c5b516b solr-3861: refactor solrcorestate so that it's managed by solrcore.	1	-1	 2256[0] commit[0] d2f7c1769641b4f0c7d4e87f9e03bd8c4c5b516b[0] solr[0] -3861[0] refactor[0] solrcorestate[0] so[0] that[0] it's[0] managed[0] by[0] solrcore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3089 commit 5b246f949304818c570b077979ff17a455d305eb lucene-4228: refactor charfilter to be a java.io.filterreader 	3089 commit 5b246f949304818c570b077979ff17a455d305eb lucene-4228: refactor charfilter to be a java.<br>io.<br>filterreader	1	-1	 3089[0] commit[0] 5b246f949304818c570b077979ff17a455d305eb[0] lucene[0] -4228[0] refactor[0] charfilter[0] to[0] be[0] a[0] java[0] [[Sentence=-1,1=word max, 1-5]] io[0] [[Sentence=-1,1=word max, 1-5]] filterreader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3314 commit bc144d94f38d84049cfa7e18d5a8752bc0ddd1a2 solr-3511 refactor overseer to use a queue, merge from trunk 	3314 commit bc144d94f38d84049cfa7e18d5a8752bc0dd1a2 solr-3511 refactor overseer to use a queue, merge from trunk	1	-1	 3314[0] commit[0] bc144d94f38d84049cfa7e18d5a8752bc0ddd1a2/bc144d94f38d84049cfa7e18d5a8752bc0dd1a2[0] solr[0] -3511[0] refactor[0] overseer[0] to[0] use[0] a[0] queue[0] merge[0] from[0] trunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3472 commit 655779329ac6c066cf55bff37210f6aac0f22b61 merge: aff97ab dc62b7b lucene-4055: refactor segmentinfo and fieldinfo to make them extensible 	3472 commit 655779329ac6c066cf55bff37210f6ac0f22b61 merge: aff97ab dc62b7b lucene-4055: refactor segmentinfo and fieldinfo to make them extensible	1	-1	 3472[0] commit[0] 655779329ac6c066cf55bff37210f6aac0f22b61/655779329ac6c066cf55bff37210f6ac0f22b61[0] merge[0] aff97ab[0] dc62b7b[0] lucene[0] -4055[0] refactor[0] segmentinfo[0] and[0] fieldinfo[0] to[0] make[0] them[0] extensible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3738 commit 152f403e194c5bf6379d58b84e18e651525f1a07 solr-3422: refactor dih - configuration data 	3738 commit 152f403e194c5bf6379d58b84e18e651525f1a07 solr-3422: refactor dih - configuration data	1	-1	 3738[0] commit[0] 152f403e194c5bf6379d58b84e18e651525f1a07[0] solr[0] -3422[0] refactor[0] dih[0] configuration[0] data[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3748 commit 8c84b864b2616bbae962ed2d3e8616c5da35ac87 solr-1893: refactored some common code from lrucache and fastlrucache into solrcachebase 	3748 commit 8c84b864b2616bbae962ed2d3e8616c5da35ac87 solr-1893: refactored some common code from lrucache and fastlrucache into solrcachebase	1	-1	 3748[0] commit[0] 8c84b864b2616bbae962ed2d3e8616c5da35ac87[0] solr[0] -1893[0] refactored[0] some[0] common[0] code[0] from[0] lrucache[0] and[0] fastlrucache[0] into[0] solrcachebase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4347 commit 627742f65cbaa83a5c4fbb2d4b0be8a439a2c234 lucene-3878: refactor testpostings into checkfields(fields) and also run the test ignoring deletions. todo: refactor testvectors to use this method too 	4347 commit 627742f65cba83a5c4fbb2d4b0be8a439a2c234 lucene-3878: refactor testpostings into checkfields(fields) and also run the test ignoring deletions.<br> todo: refactor testvectors to use this method too	1	-1	 4347[0] commit[0] 627742f65cbaa83a5c4fbb2d4b0be8a439a2c234/627742f65cba83a5c4fbb2d4b0be8a439a2c234[0] lucene[0] -3878[0] refactor[0] testpostings[0] into[0] checkfields[0] fields[0] and[0] also[0] run[0] the[0] test[0] ignoring[0] deletions[0] [[Sentence=-1,1=word max, 1-5]] todo[0] refactor[0] testvectors[0] to[0] use[0] this[0] method[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4596 commit a168395e8e1a4abc3961db231373c4fd75324610 [lucene-3731] - refactored analyzetext method to initializeiterator and made it abstract inside baseuimatokenizer 	4596 commit a168395e8e1a4abc3961db231373c4fd75324610 [lucene-3731] - refactored analyzetext method to initializeiterator and made it abstract inside baseuimatokenizer	1	-1	 4596[0] commit[0] a168395e8e1a4abc3961db231373c4fd75324610[0] [lucene[0] -3731][0] refactored[0] analyzetext[0] method[0] to[0] initializeiterator[0] and[0] made[0] it[0] abstract[0] inside[0] baseuimatokenizer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
