Inline Method	Translation	Positive	Negative	EmotionRationale
197 commit df15e405b3469f9d2e5155339b849f5503bf5d0b merge: cc2671a cf019f9 fixes #112 this branch was created to try to fix all issues with refactoring (rename / move) and the dependencies updates. it replaces the old move participants classes with a new and unified one. this class implements isharableparticipant to support a move of more than 1 file, and support any orcc file type (cal actors / units, networks and diagram). the refactoring helper changesfactory also have been deeply updated to reflect the new needs of this class, and to stag compatible with old participants (used in rename refactoring). 	197 commit df15e405b3469f9d2e5155339b849f5503bf5d0b merge: cc2671a cf019f9 fixes #112 this branch was created to try to fix all issues with refactoring (rename / move) and the dependencies updates.<br> it replaces the old move participants classes with a new and unified one.<br> this class implements isharableparticipant to support a move of more than 1 file, and support any orc file type (cal actors / units, networks and diagram)<br> the refactoring helper changesfactory also have been deeply updated to reflect the new needs of this class, and to stag compatible with old participants (used in rename refactoring)	1	-1	 197[0] commit[0] df15e405b3469f9d2e5155339b849f5503bf5d0b[0] merge[0] cc2671a[0] cf019f9[0] fixes[0] #112[0] this[0] branch[0] was[0] created[0] to[0] try[0] to[0] fix[0] all[0] issues[0] with[0] refactoring[0] rename[0] /[0] move[0] and[0] the[0] dependencies[0] updates[0] [[Sentence=-1,1=word max, 1-5]] it[0] replaces[0] the[0] old[0] move[0] participants[0] classes[0] with[0] a[0] new[0] and[0] unified[0] one[0] [[Sentence=-1,1=word max, 1-5]] this[0] class[0] implements[0] isharableparticipant[0] to[0] support[0] a[0] move[0] of[0] more[0] than[0] 1[0] file[0] and[0] support[0] any[0] orcc/orc[0] file[0] type[0] cal[0] actors[0] /[0] units[0] networks[0] and[0] diagram[0] [[Sentence=-1,1=word max, 1-5]] the[0] refactoring[0] helper[0] changesfactory[0] also[0] have[0] been[0] deeply[0] updated[0] to[0] reflect[0] the[0] new[0] needs[0] of[0] this[0] class[0] and[0] to[0] stag[0] compatible[0] with[0] old[0] participants[0] used[0] in[0] rename[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
212 commit 1fb838a97ebba4271fe3bf093a5477baf4f79c3f (refactoring) clean: calrenameparticipant use new changesfactory methods 	212 commit 1fb838a97ebba4271fe3bf093a5477baf4f79c3f (refactoring) clean: calrenameparticipant use new changesfactory methods	1	-1	 212[0] commit[0] 1fb838a97ebba4271fe3bf093a5477baf4f79c3f[0] refactoring[0] clean[0] calrenameparticipant[0] use[0] new[0] changesfactory[0] methods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
217 commit 551c0f47aee5598f26df2b6ad0e6fff4b40333ee (refactoring) change the move refactoring process order 	217 commit 551c0f47aee5598f26df2b6ad0e6ff4b4033ee (refactoring) change the move refactoring process order	2	-1	 217[0] commit[0] 551c0f47aee5598f26df2b6ad0e6fff4b40333ee/551c0f47aee5598f26df2b6ad0e6ff4b4033ee[0][+0.6 MultipleLetters] refactoring[0] change[0] the[0] move[0] refactoring[0] process[0] order[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
529 commit 69d80f51ae615e9005ce76c6944e6c6f4a4cdd4d (gui) refactoring delete saveconnections() and restoreconnections() methods. their content have been moved to updaterefinementandrestoreconnections() method 	529 commit 69d80f51ae615e9005ce76c6944e6c6f4a4cdd4d (gui) refactoring delete saveconnections( and restoreconnections( methods.<br> their content have been moved to updaterefinementandrestoreconnections( method	2	-1	 529[0] commit[0] 69d80f51ae615e9005ce76c6944e6c6f4a4cdd4d[0] gui[0] refactoring[0] delete[0] saveconnections[1] and[0] restoreconnections[0] methods[0] [[Sentence=-1,2=word max, 1-5]] their[0] content[0] have[0] been[0] moved[0] to[0] updaterefinementandrestoreconnections[0] method[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
1318 commit f62afef1621cb937d99b56514007b7d361b95680 refactoring on styles inheritance 	1318 commit f62afef1621cb937d99b56514007b7d361b95680 refactoring on styles inheritance	1	-1	 1318[0] commit[0] f62afef1621cb937d99b56514007b7d361b95680[0] refactoring[0] on[0] styles[0] inheritance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2165 commit cfb749830aed969b1214e2aa131edd7c60678cbb (merger) code cleaning. 	2165 commit cfb749830aed969b1214e2a131edd7c60678cbb (merger) code cleaning.	1	-1	 2165[0] commit[0] cfb749830aed969b1214e2aa131edd7c60678cbb/cfb749830aed969b1214e2a131edd7c60678cbb[0] merger[0] code[0] cleaning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2168 commit dfc08141434bbbff9f40b2dea62c1aef26b56bd0 (merger) code cleaning 	2168 commit dfc08141434bbff9f40b2dea62c1aef26b56bd0 (merger) code cleaning	1	-1	 2168[0] commit[0] dfc08141434bbbff9f40b2dea62c1aef26b56bd0/dfc08141434bbff9f40b2dea62c1aef26b56bd0[0] merger[0] code[0] cleaning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3199 commit 4f7c2b93f704a9c0d1c9b021fdbd7167b1d2f56a (core) refactore the static normalizer to make easier its use with the qsdf normalizer. 	3199 commit 4f7c2b93f704a9c0d1c9b021fdbd7167b1d2f56a (core) refactore the static normalizer to make easier its use with the qsdf normalizer.	1	-1	 3199[0] commit[0] 4f7c2b93f704a9c0d1c9b021fdbd7167b1d2f56a[0] core[0] refactore[0] the[0] static[0] normalizer[0] to[0] make[0] easier[0] its[0] use[0] with[0] the[0] qsdf[0] normalizer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3560 commit 9a69555f01af3cce3cc9b9863315618dc94eb1c2 (tta) continue the refactoring. 	3560 commit 9a6955f01af3cce3cc9b9863315618dc94eb1c2 (tta) continue the refactoring.	1	-1	 3560[0] commit[0] 9a69555f01af3cce3cc9b9863315618dc94eb1c2/9a6955f01af3cce3cc9b9863315618dc94eb1c2[0] tta[0] continue[0] the[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4259 commit ae828e88cd589bb5ac1eb092f0d77da4332a9d28 (refactoring) moved dataflow-specific information to df model 	4259 commit ae828e88cd589bb5ac1eb092f0d77da4332a9d28 (refactoring) moved dataflow-specific information to df model	1	-1	 4259[0] commit[0] ae828e88cd589bb5ac1eb092f0d77da4332a9d28[0] refactoring[0] moved[0] dataflow[0] specific[0] information[0] to[0] df[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
