Rename Method	Translation	Positive	Negative	EmotionRationale
203 commit cfd48449695c531fe9fea131d4b4756ab319fe46 (refactoring) split changesfactory.getallchanges() in 3 methods this will allows to reuse some methods later. move the clearreplacementmaps() call to the initialization of each refactoring participant (and rename this method) already moved files are not managed anymore in getallchanges() 	203 commit cfd48449695c531fe9fea131d4b4756ab319fe46 (refactoring) split changesfactory.<br>getallchanges( in 3 methods this will allows to reuse some methods later.<br> move the clearreplacementmaps( call to the initialization of each refactoring participant (and rename this method) already moved files are not managed anymore in getallchanges(	1	-1	 203[0] commit[0] cfd48449695c531fe9fea131d4b4756ab319fe46[0] refactoring[0] split[0] changesfactory[0] [[Sentence=-1,1=word max, 1-5]] getallchanges[0] in[0] 3[0] methods[0] this[0] will[0] allows[0] to[0] reuse[0] some[0] methods[0] later[0] [[Sentence=-1,1=word max, 1-5]] move[0] the[0] clearreplacementmaps[0] call[0] to[0] the[0] initialization[0] of[0] each[0] refactoring[0] participant[0] and[0] rename[0] this[0] method[0] already[0] moved[0] files[0] are[0] not[0] managed[0] anymore[0] in[0] getallchanges[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
214 commit ffd45868e0b73042c31678c147f8215c31ea7c81 (refactoring) ensure replacement will works in all case this commit handle the specific case when many files are moved and at least one of the files have to be updated (because it references another file in the same list) 	214 commit ffd45868e0b73042c31678c147f8215c31ea7c81 (refactoring) ensure replacement will works in all case this commit handle the specific case when many files are moved and at least one of the files have to be updated (because it references another file in the same list)	1	-1	 214[0] commit[0] ffd45868e0b73042c31678c147f8215c31ea7c81[0] refactoring[0] ensure[0] replacement[0] will[0] works[0] in[0] all[0] case[0] this[0] commit[0] handle[0] the[0] specific[0] case[0] when[0] many[0] files[0] are[0] moved[0] and[0] at[0] least[0] one[0] of[0] the[0] files[0] have[0] to[0] be[0] updated[0] because[0] it[0] references[0] another[0] file[0] in[0] the[0] same[0] list[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
216 commit c191e02e5aa374ce2ebab45270ecca8c77e21ae3 (refactoring) allow to move networks 	216 commit c191e02e5a374ce2ebab45270ecca8c77e21ae3 (refactoring) allow to move networks	1	-1	 216[0] commit[0] c191e02e5aa374ce2ebab45270ecca8c77e21ae3/c191e02e5a374ce2ebab45270ecca8c77e21ae3[0] refactoring[0] allow[0] to[0] move[0] networks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
353 commit 53a38484244681604c0962d8c26005b3791530fe merge: fefb94a f66b37c merge remote-tracking branch 'origin/backends_refactoring' 	353 commit 53a38484244681604c0962d8c26005b3791530fe merge: fefb94a f66b37c merge remote-tracking branch 'origin/backends_refactoring'	1	-1	 353[0] commit[0] 53a38484244681604c0962d8c26005b3791530fe[0] merge[0] fefb94a[0] f66b37c[0] merge[0] remote[0] tracking[0] branch[0] 'origin/backends_refactoring'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
374 commit 095b5ec68688f62df11d3f8a32f77b848b11f887 (refactoring) libs extraction method renamed 	374 commit 095b5ec68688f62df11d3f8a32f77b848b11f887 (refactoring) libs extraction method renamed	1	-1	 374[0] commit[0] 095b5ec68688f62df11d3f8a32f77b848b11f887[0] refactoring[0] libs[0] extraction[0] method[0] renamed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
382 commit b6986bdae75da7ad673adeefe54cdb7dcbbc4699 (backends) refactoring on new methods name 	382 commit b6986bdae75da7ad673adeefe54cdb7dcbbc4699 (backends) refactoring on new methods name	1	-1	 382[0] commit[0] b6986bdae75da7ad673adeefe54cdb7dcbbc4699[0] backends[0] refactoring[0] on[0] new[0] methods[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
531 commit d72109b9681e7b3e2b741d9b5cbe13e198dbb26e (gui) refactoring: rename methods related to instance refinement 	531 commit d72109b9681e7b3e2b741d9b5cbe13e198dbb26e (gui) refactoring: rename methods related to instance refinement	1	-1	 531[0] commit[0] d72109b9681e7b3e2b741d9b5cbe13e198dbb26e[0] gui[0] refactoring[0] rename[0] methods[0] related[0] to[0] instance[0] refinement[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1073 commit f7a743acd4d437a168b4282b94737e94c8807f6c (refactoring) add a camoveparticipant 	1073 commit f7a743acd4d437a168b4282b94737e94c8807f6c (refactoring) add a camoveparticipant	1	-1	 1073[0] commit[0] f7a743acd4d437a168b4282b94737e94c8807f6c[0] refactoring[0] add[0] a[0] camoveparticipant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1311 commit d77dd0ba1d6fc23c06224716e0c511eeb0a5272f refactoring on styleutil methods name 	1311 commit d77dd0ba1d6fc23c06224716e0c511eeb0a5272f refactoring on styleutil methods name	1	-1	 1311[0] commit[0] d77dd0ba1d6fc23c06224716e0c511eeb0a5272f[0] refactoring[0] on[0] styleutil[0] methods[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1425 commit e755cee32dab87a22278447e5fb306c4495599fa minor refactoring 	1425 commit e755cee32dab87a2278447e5fb306c4495599fa minor refactoring	1	-1	 1425[0] commit[0] e755cee32dab87a22278447e5fb306c4495599fa/e755cee32dab87a2278447e5fb306c4495599fa[0] minor[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
