Extract Method	Translation	Positive	Negative	EmotionRationale
426 commit b4ad6970567a54f02e3e5ccabb47a5aa5a3eba0a sling-6375 - log a warning in case a resource resolver is closed by the sling rr finalizer thread - some refactoring to cleanup (and improve) the logic - log a warning if unclosed rr is closed - log the opening stacktrace of unlcosed rr on info level 	426 commit b4ad6970567a54f02e3e5ccabb47a5a5a3eba0a sling-6375 - log a warning in case a resource resolver is closed by the sling are finalizer thread - some refactoring to cleanup (and improve) the logic - log a warning if unclosed are is closed - log the opening stacktrace of unlcosed are on info level	2	-1	 426[0] commit[0] b4ad6970567a54f02e3e5ccabb47a5aa5a3eba0a/b4ad6970567a54f02e3e5ccabb47a5a5a3eba0a[0] sling[0] -6375[0] log[0] a[0] warning[0] in[0] case[0] a[0] resource[0] resolver[1] is[0] closed[0] by[0] the[0] sling[0] rr/r[0] finalizer[0] thread[0] some[0] refactoring[0] to[0] cleanup[0] and[0] improve[1] the[0] logic[0] log[0] a[0] warning[0] if[0] unclosed[0] rr/r[0] is[0] closed[0] log[0] the[0] opening[0] stacktrace[0] of[0] unlcosed[0] rr/r[0] on[0] info[0] level[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
511 commit 013dd82e5cd55124827472c07ecfa4b35f44dc2c sling-6338 refactor and fix handling of nested configurations in management api and configurationresourceresolver 	511 commit 013dd82e5cd55124827472c07ecfa4b35f44dc2c sling-6338 refactor and fix handling of nested configurations in management api and configurationresourceresolver	1	-1	 511[0] commit[0] 013dd82e5cd55124827472c07ecfa4b35f44dc2c[0] sling[0] -6338[0] refactor[0] and[0] fix[0] handling[0] of[0] nested[0] configurations[0] in[0] management[0] api[0] and[0] configurationresourceresolver[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
614 commit 5c84903457c16d8ce2d7bae3c49ff0ce3d2d85eb sling-6319 - refactor for clarity, no logic changes 	614 commit 5c84903457c16d8ce2d7bae3c49ff0ce3d2d85eb sling-6319 - refactor for clarity, no logic changes	1	-1	 614[0] commit[0] 5c84903457c16d8ce2d7bae3c49ff0ce3d2d85eb[0] sling[0] -6319[0] refactor[0] for[0] clarity[0] no[0] logic[0] changes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
663 commit 8a85a9789e708aaf49dd2cbac3b50a7b8b2bb8c1 sling-6293 refactor property inheritance out of defaultconfigurationresourceresolvingstrategy and create separate spi and impl for it *this breaks backward compatibility of package org.apache.sling.caconfig.resource.spi -  major version increase* 	663 commit 8a85a9789e708af49dd2cbac3b50a7b8b2bb8c1 sling-6293 refactor property inheritance out of defaultconfigurationresourceresolvingstrategy and create separate spi and impl for it *this breaks backward compatibility of package org.<br>apache.<br>sling.<br>caconfig.<br>resource.<br>spi -  major version increase*	1	-1	 663[0] commit[0] 8a85a9789e708aaf49dd2cbac3b50a7b8b2bb8c1/8a85a9789e708af49dd2cbac3b50a7b8b2bb8c1[0] sling[0] -6293[0] refactor[0] property[0] inheritance[0] out[0] of[0] defaultconfigurationresourceresolvingstrategy[0] and[0] create[0] separate[0] spi[0] and[0] impl[0] for[0] it[0] this[0] breaks[0] backward[0] compatibility[0] of[0] package[0] org[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] sling[0] [[Sentence=-1,1=word max, 1-5]] caconfig[0] [[Sentence=-1,1=word max, 1-5]] resource[0] [[Sentence=-1,1=word max, 1-5]] spi[0] major[0] version[0] increase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1847 commit e540d805b8bc00c30525cd11532436a687c90c61 sling-5982 : try resource.adaptto first, refactor code to use single conversion method 	1847 commit e540d805b8bc00c30525cd11532436a687c90c61 sling-5982 : try resource.<br>adaptto first, refactor code to use single conversion method	1	-1	 1847[0] commit[0] e540d805b8bc00c30525cd11532436a687c90c61[0] sling[0] -5982[0] try[0] resource[0] [[Sentence=-1,1=word max, 1-5]] adaptto[0] first[0] refactor[0] code[0] to[0] use[0] single[0] conversion[0] method[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3127 commit cc0d6b1afc38dd23fcdf6b2b25ea0e14a95cc78c sling-5528: allow discovery of sources of the bundles currently deployed in a sling runtime - refactor the sourcereferencesservlet to allow sourcereferences to be contributed by sourcereferencefinders - create a felixjettysourcereferencefinder 	3127 commit cc0d6b1afc38dd23fcdf6b2b25ea0e14a95cc78c sling-5528: allow discovery of sources of the bundles currently deployed in a sling runtime - refactor the sourcereferencesservlet to allow sourcereferences to be contributed by sourcereferencefinders - create a felixjettysourcereferencefinder	1	-2	 3127[0] commit[0] cc0d6b1afc38dd23fcdf6b2b25ea0e14a95cc78c[0] sling[0] -5528[0] allow[0] discovery[0] of[0] sources[-1] of[0] the[0] bundles[0] currently[0] deployed[0] in[0] a[0] sling[0] runtime[0] refactor[0] the[0] sourcereferencesservlet[-1] to[0] allow[0] sourcereferences[-1] to[0] be[0] contributed[0] by[0] sourcereferencefinders[-1] create[0] a[0] felixjettysourcereferencefinder[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
4091 commit 2d4724bfb14ffe0200797ba260a1106dd4ebb9ae sling-5327 refactor and unify lifecycle method handling (and fix missing argument variants for modified methods - should support the same as the activate method) 	4091 commit 2d4724bfb14ffe0200797ba260a1106dd4ebb9ae sling-5327 refactor and unify lifecycle method handling (and fix missing argument variants for modified methods - should support the same as the activate method)	1	-2	 4091[0] commit[0] 2d4724bfb14ffe0200797ba260a1106dd4ebb9ae[0] sling[0] -5327[0] refactor[0] and[0] unify[0] lifecycle[0] method[0] handling[0] and[0] fix[0] missing[0] argument[-1] variants[0] for[0] modified[0] methods[0] should[0] support[0] the[0] same[0] as[0] the[0] activate[0] method[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
5064 commit a0f786b0d1385e2ebea4cbae21684e0b0c97b72b sling-5001 - logic in whiteboardhandler is hard to follow - refactored and cleaned up whiteboardhandler 	5064 commit a0f786b0d1385e2ebea4cbae21684e0b0c97b72b sling-5001 - logic in whiteboardhandler is hard to follow - refactored and cleaned up whiteboardhandler	1	-1	 5064[0] commit[0] a0f786b0d1385e2ebea4cbae21684e0b0c97b72b[0] sling[0] -5001[0] logic[0] in[0] whiteboardhandler[0] is[0] hard[0] to[0] follow[0] refactored[0] and[0] cleaned[0] up[0] whiteboardhandler[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7377 commit 7e6b9d5da14bb944a23da299215187119db1b466 sling-4011, allow pattern matching on properties and child resources also some refactoring of the validationserviceimpltest 	7377 commit 7e6b9d5da14bb944a23da299215187119db1b466 sling-4011, allow pattern matching on properties and child resources also some refactoring of the validationserviceimpltest	1	-1	 7377[0] commit[0] 7e6b9d5da14bb944a23da299215187119db1b466[0] sling[0] -4011[0] allow[0] pattern[0] matching[0] on[0] properties[0] and[0] child[0] resources[0] also[0] some[0] refactoring[0] of[0] the[0] validationserviceimpltest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7419 commit 5ae642757ed48c1f32235b39ea6cf98ddc6aa577 sling-4138, refactored validator interface to support arbitrary types, arrays and cross-field validation 	7419 commit 5ae642757ed48c1f32235b39ea6cf98ddc6a577 sling-4138, refactored validator interface to support arbitrary types, arrays and cross-field validation	1	-2	 7419[0] commit[0] 5ae642757ed48c1f32235b39ea6cf98ddc6aa577/5ae642757ed48c1f32235b39ea6cf98ddc6a577[0] sling[0] -4138[0] refactored[0] validator[0] interface[0] to[0] support[0] arbitrary[0] types[0] arrays[0] and[0] cross[-1] field[0] validation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
