Rename Class	Translation	Positive	Negative	EmotionRationale
479 commit 47a7a5b78cfa749a3bb8501739b0fc153873474f a bit of refactoring - just to keep the user feedback stuff together 	479 commit 47a7a5b78cfa749a3bb8501739b0fc153873474f a bit of refactoring - just to keep the user feedback stuff together	1	-1	 479[0] commit[0] 47a7a5b78cfa749a3bb8501739b0fc153873474f[0] a[0] bit[0] of[0] refactoring[0] just[0] to[0] keep[0] the[0] user[0] feedback[0] stuff[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
846 commit cb6c6764c914780d56157608795850d73e728151 refactor context data hierarchy bit #2001 	846 commit cb6c6764c914780d56157608795850d73e728151 refactor context data hierarchy bit #2001	1	-1	 846[0] commit[0] cb6c6764c914780d56157608795850d73e728151[0] refactor[0] context[0] data[0] hierarchy[0] bit[0] #2001[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1240 commit cc23448433e0533fdba86d8b27f11713bb772c47 context similarity evaluation api and implementation refactoring, integration test for ctx similarity eval added 	1240 commit cc23448433e0533fdba86d8b27f11713bb772c47 context similarity evaluation api and implementation refactoring, integration test for ctx similarity eval added	1	-1	 1240[0] commit[0] cc23448433e0533fdba86d8b27f11713bb772c47[0] context[0] similarity[0] evaluation[0] api[0] and[0] implementation[0] refactoring[0] integration[0] test[0] for[0] ctx[0] similarity[0] eval[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2610 commit f22d1a353f9b4edd977ea7e86df646df48e09a0d complete trust mgmt refactoring 	2610 commit f22d1a353f9b4edd977ea7e86df646df48e09a0d complete trust mgmt refactoring	3	-1	 2610[0] commit[0] f22d1a353f9b4edd977ea7e86df646df48e09a0d[0] complete[0] trust[1][1 LastWordBoosterStrength] mgmt[0] refactoring[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
2691 commit 3d1fc85521cde44d36b79f6438d57737e17935a9 refactor direct trust engine 	2691 commit 3d1fc85521cde44d36b79f6438d57737e17935a9 refactor direct trust engine	2	-1	 2691[0] commit[0] 3d1fc85521cde44d36b79f6438d57737e17935a9[0] refactor[0] direct[0] trust[1] engine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2720 commit 4566eb8dd1d4720323e936722ff4ec6ff24627f8 - implement androidcontextclient for platform and 3p services. createentity using callback. - restructure android internal api to include string client in methods. - rename interface for external api. 	2720 commit 4566eb8dd1d4720323e936722ff4ec6ff24627f8 - implement androidcontextclient for platform and 3p services.<br> createentity using callback.<br> - restructure android internal api to include string client in methods.<br> - rename interface for external api.	1	-1	 2720[0] commit[0] 4566eb8dd1d4720323e936722ff4ec6ff24627f8[0] implement[0] androidcontextclient[0] for[0] platform[0] and[0] 3p[0] services[0] [[Sentence=-1,1=word max, 1-5]] createentity[0] using[0] callback[0] [[Sentence=-1,1=word max, 1-5]] restructure[0] android[0] internal[0] api[0] to[0] include[0] string[0] client[0] in[0] methods[0] [[Sentence=-1,1=word max, 1-5]] rename[0] interface[0] for[0] external[0] api[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3798 commit 7fea2de0d9ba9e4f8d9656b42df44afcaab5ede4 merge: 904150e 2935513 merge branch 'development' into cleanupall # by aleckey (11) and others # via guido spadotto (22) and others * development: (62 commits) new android notifier new attribute types added got the 2 pager working for services tiny fix on cis service registry refactoring & adding parent sri field to service model added boundary code for the case when eventmgmt has not been wired in cis first small fixes on cismanager service on android fix on pubsub and xmpp error parsing cpa integration test running, without cpa interaction (only cis creation at the moment), fixed osx issue with swing adding null check - fix error in query code reported by jacqueline webapp: show cis and 3p service privacy policy social prov content provider pom fix fix of cis privacy access control fixed up getinstalledapplications() method bug-fixing for service sharing / device management extensive logs removed before merging remote context eventing tests android personalisation updates cardinality fix on cis ... conflicts: context-management/contextbroker/pom.xml context-management/context-cloud-bundle/pom.xml css-modules/device-mgmt/devicecommsmgr/pom.xml css-modules/device-mgmt/rfiddriver/pom.xml css-modules/serviceregistry/pom.xml personalisation/personalisation-groupmanager/pom.xml platform-infrastructure/comms-frwk/pubsubclientbundle/src/main/java/org/societies/comm/xmpp/pubsub/impl/pubsubclientimpl.java platform-infrastructure/comms-frwk/pubsubservicebundle/src/main/resources/meta-inf/spring/bundle-context.xml 	3798 commit 7fea2de0d9ba9e4f8d9656b42df44afcab5ede4 merge: 904150e 2935513 merge branch 'development' into cleanupall # by aleckey (11) and others # via guido spadotto (22) and others * development: (62 commits) new android notifier new attribute types added got the 2 pager working for services tiny fix on cis service registry refactoring & adding parent sri field to service model added boundary code for the case when eventmgmt has not been wired in cis first small fixes on cismanager service on android fix on pubsub and xmp error parsing cpa integration test running, without cpa interaction (only cis creation at the moment) fixed osx issue with swing adding null check - fix error in query code reported by jacqueline webap: show cis and 3p service privacy policy social prov content provider pom fix fix of cis privacy access control fixed up getinstalledapplications( method bug-fixing for service sharing / device management extensive logs removed before merging remote context eventing tests android personalisation updates cardinality fix on cis .<br> conflicts: context-management/contextbroker/pom.<br>xml context-management/context-cloud-bundle/pom.<br>xml css-modules/device-mgmt/devicecommsmgr/pom.<br>xml css-modules/device-mgmt/rfiddriver/pom.<br>xml css-modules/serviceregistry/pom.<br>xml personalisation/personalisation-groupmanager/pom.<br>xml platform-infrastructure/comms-frwk/pubsubclientbundle/src/main/java/org/societies/comm/xmpp/pubsub/impl/pubsubclientimpl.<br>java platform-infrastructure/comms-frwk/pubsubservicebundle/src/main/resources/meta-inf/spring/bundle-context.<br>xml	1	-1	 3798[0] commit[0] 7fea2de0d9ba9e4f8d9656b42df44afcaab5ede4/7fea2de0d9ba9e4f8d9656b42df44afcab5ede4[0] merge[0] 904150e[0] 2935513[0] merge[0] branch[0] 'development'[0] into[0] cleanupall[0] #[0] by[0] aleckey[0] (11[0] and[0] others[0] #[0] via[0] guido[0] spadotto[0] (22[0] and[0] others[0] development[0] (62[0] commits[0] new[0] android[0] notifier[0] new[0] attribute[0] types[0] added[0] got[0] the[0] 2[0] pager[0] working[0] for[0] services[0] tiny[0] fix[0] on[0] cis[0] service[0] registry[0] refactoring[0] &[0] adding[0] parent[0] sri[0] field[0] to[0] service[0] model[0] added[0] boundary[0] code[0] for[0] the[0] case[0] when[0] eventmgmt[0] has[0] not[0] been[0] wired[0] in[0] cis[0] first[0] small[0] fixes[0] on[0] cismanager[0] service[0] on[0] android[0] fix[0] on[0] pubsub[0] and[0] xmpp/xmp[0] error[0] parsing[0] cpa[0] integration[0] test[0] running[0] without[0] cpa[0] interaction[0] only[0] cis[0] creation[0] at[0] the[0] moment[0] fixed[0] osx[0] [[Sentence=-1,1=word max, 1-5]] conflicts[0] context[0] management/contextbroker/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] context[0] management/context[0] cloud[0] bundle/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] css[0] modules/device[0] mgmt/devicecommsmgr/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] css[0] modules/device[0] mgmt/rfiddriver/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] css[0] modules/serviceregistry/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] personalisation/personalisation[0] groupmanager/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] platform[0] infrastructure/comms[0] frwk/pubsubclientbundle/src/main/java/org/societies/comm/xmpp/pubsub/impl/pubsubclientimpl[0] [[Sentence=-1,1=word max, 1-5]] java[0] platform[0] infrastructure/comms[0] frwk/pubsubservicebundle/src/main/resources/meta[0] inf/spring/bundle[0] context[0] [[Sentence=-1,1=word max, 1-5]] xml[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3814 commit c9ae6b19f124462bbd81715e83284180399f7dff service registry refactoring & adding parent sri field to service model 	3814 commit c9ae6b19f124462bbd81715e83284180399f7dff service registry refactoring & adding parent sri field to service model	1	-1	 3814[0] commit[0] c9ae6b19f124462bbd81715e83284180399f7dff[0] service[0] registry[0] refactoring[0] &[0] adding[0] parent[0] sri[0] field[0] to[0] service[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4978 commit 551811bd8b303d482495ac1cba0add7a9099fb2f refactor idirecttrustengine.evaluatecsstrustvalues and evaluatecistrustvalues based on stanines (#825) 	4978 commit 551811bd8b303d482495ac1cba0add7a9099fb2f refactor idirecttrustengine.<br>evaluatecsstrustvalues and evaluatecistrustvalues based on stanines (#825)	1	-1	 4978[0] commit[0] 551811bd8b303d482495ac1cba0add7a9099fb2f[0] refactor[0] idirecttrustengine[0] [[Sentence=-1,1=word max, 1-5]] evaluatecsstrustvalues[0] and[0] evaluatecistrustvalues[0] based[0] on[0] stanines[0] (#825[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5928 commit 4654dd33ef408a5651d6d329bacc10bc3bd80cec some renaming on the cis api and refactoring due to that 	5928 commit 4654dd33ef408a5651d6d329bacc10bc3bd80cec some renaming on the cis api and refactoring due to that	1	-1	 5928[0] commit[0] 4654dd33ef408a5651d6d329bacc10bc3bd80cec[0] some[0] renaming[0] on[0] the[0] cis[0] api[0] and[0] refactoring[0] due[0] to[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
