Rename Method	Translation	Positive	Negative	EmotionRationale
839 commit 82b0e9686d70ea7af7ebcda6da7fb3e6513bf4a5 o added some helper functions, some refactoring 	839 commit 82b0e9686d70ea7af7ebcda6da7fb3e6513bf4a5 o added some helper functions, some refactoring	1	-1	 839[0] commit[0] 82b0e9686d70ea7af7ebcda6da7fb3e6513bf4a5[0] o[0] added[0] some[0] helper[0] functions[0] some[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1035 commit 605b6197ef1018aab18901e2bb53b4c5033ff55a o using the changes done on lookup and search context all over the server o fixed some wrong tests doing lookups o temporarily ignoring replication tests : we have some failures o using the serverentryutils.filtercontent() method in the backend o minor refactoring 	1035 commit 605b6197ef1018ab18901e2bb53b4c5033ff55a o using the changes done on lookup and search context all over the server o fixed some wrong tests doing lookups o temporarily ignoring replication tests : we have some failures o using the serverentryutils.<br>filtercontent( method in the backend o minor refactoring	1	-2	 1035[0] commit[0] 605b6197ef1018aab18901e2bb53b4c5033ff55a/605b6197ef1018ab18901e2bb53b4c5033ff55a[0] o[0] using[0] the[0] changes[0] done[0] on[0] lookup[0] and[0] search[0] context[0] all[0] over[0] the[0] server[0] o[0] fixed[0] some[0] wrong[0] tests[0] doing[0] lookups[0] o[0] temporarily[-1] ignoring[0] replication[0] tests[0] we[0] have[0] some[0] failures[0] o[0] using[0] the[0] serverentryutils[0] [[Sentence=-2,1=word max, 1-5]] filtercontent[0] method[0] in[0] the[0] backend[0] o[0] minor[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
1676 commit 015f95ac3d164a15c70f7226e758e3e62a129aea added many javadoc and comments. refactored some parts of the code 	1676 commit 015f95ac3d164a15c70f7226e758e3e62a129aea added many javadoc and comments.<br> refactored some parts of the code	1	-1	 1676[0] commit[0] 015f95ac3d164a15c70f7226e758e3e62a129aea[0] added[0] many[0] javadoc[0] and[0] comments[0] [[Sentence=-1,1=word max, 1-5]] refactored[0] some[0] parts[0] of[0] the[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1761 commit 277810b77f44558248c0485887cbc13084f05bc1 o added some javadoc o some minor refactoring 	1761 commit 277810b77f44558248c0485887cbc13084f05bc1 o added some javadoc o some minor refactoring	1	-1	 1761[0] commit[0] 277810b77f44558248c0485887cbc13084f05bc1[0] o[0] added[0] some[0] javadoc[0] o[0] some[0] minor[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1787 commit 41e843eb9faf257082fe214788fb2bcc0bf57869 refactored the partition hierarchy : o merged the store and partition iplementations o redesigned the partition initialization o reviexed the ds initialization o partition now takes a schemamanager when constructed o the get/setsuffix methods have been renamed get/setsuffixdn o added some missing javadoc 	1787 commit 41e843eb9faf257082fe214788fb2bcc0bf57869 refactored the partition hierarchy : o merged the store and partition iplementations o redesigned the partition initialization o reviexed the ds initialization o partition now takes a schemamanager when constructed o the get/setsuffix methods have been renamed get/setsuffixdn o added some missing javadoc	1	-2	 1787[0] commit[0] 41e843eb9faf257082fe214788fb2bcc0bf57869[0] refactored[0] the[0] partition[-1] hierarchy[0] o[0] merged[0] the[0] store[0] and[0] partition[-1] iplementations[0] o[0] redesigned[0] the[0] partition[-1] initialization[0] o[0] reviexed[0] the[0] ds[0] initialization[0] o[0] partition[-1] now[0] takes[0] a[0] schemamanager[0] when[0] constructed[0] o[0] the[0] get/setsuffix[0] methods[0] have[0] been[0] renamed[0] get/setsuffixdn[0] o[0] added[0] some[0] missing[0] javadoc[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
2559 commit 6f97e5b53e6b01516ab95099b9ecc91ce845390b review the authorizationdata class and tests 	2559 commit 6f97e5b53e6b01516ab95099b9ecc91ce845390b review the authorizationdata class and tests	1	-1	 2559[0] commit[0] 6f97e5b53e6b01516ab95099b9ecc91ce845390b[0] review[0] the[0] authorizationdata[0] class[0] and[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3135 commit 0d58bd5cbabe807a73c9651a3270478d564821c9 o fixed the add and delete opertion for the admininterceptor o created 4 caches, one for each type of ap o added some mutex to protect the access to ap caches o redesigned the ap class hierarchy, creating the missing objects 	3135 commit 0d58bd5cbabe807a73c9651a3270478d564821c9 o fixed the add and delete opertion for the admininterceptor o created 4 caches, one for each type of ap o added some mutex to protect the access to ap caches o redesigned the ap class hierarchy, creating the missing objects	1	-1	 3135[0] commit[0] 0d58bd5cbabe807a73c9651a3270478d564821c9[0] o[0] fixed[0] the[0] add[0] and[0] delete[0] opertion[0] for[0] the[0] admininterceptor[0] o[0] created[0] 4[0] caches[0] one[0] for[0] each[0] type[0] of[0] ap[0] o[0] added[0] some[0] mutex[0] to[0] protect[0] the[0] access[0] to[0] ap[0] caches[0] o[0] redesigned[0] the[0] ap[0] class[0] hierarchy[0] creating[0] the[0] missing[0] objects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3380 commit c260bbd3aa1b0801d1fb35e32221a98033ab2f06 first step of refactoring : o the subentry cache now use the dn (and not the string dn) as a key, as it spares some useless dn normalizations o some helper methods has been added and used in the add() operation, they will also be used in the other operations o many other small cleanup and improvements done o added some javadoc and comments 	3380 commit c260bbd3a1b0801d1fb35e3221a98033ab2f06 first step of refactoring : o the subentry cache now use the dn (and not the string dn) as a key, as it spares some useless dn normalizations o some helper methods has been added and used in the add( operation, they will also be used in the other operations o many other small cleanup and improvements done o added some javadoc and comments	2	-2	 3380[0] commit[0] c260bbd3aa1b0801d1fb35e32221a98033ab2f06/c260bbd3a1b0801d1fb35e3221a98033ab2f06[0][+0.6 MultipleLetters] first[0] step[0] of[0] refactoring[0] o[0] the[0] subentry[0] cache[0] now[0] use[0] the[0] dn[0] and[0] not[0] the[0] string[0] dn[0] as[0] a[0] key[0] as[0] it[0] spares[0] some[0] useless[-2][--1 LastWordBoosterStrength] dn[0] normalizations[0] o[0] some[0] helper[0] methods[0] has[0] been[0] added[0] and[0] used[0] in[0] the[0] add[0] operation[0] they[0] will[0] also[0] be[0] used[0] in[0] the[0] other[0] operations[0] o[0] many[0] other[0] small[0] cleanup[0] and[0] improvements[1] done[0] o[0] added[0] some[0] javadoc[0] and[0] comments[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
3703 commit 114d32782a35fb6eb2c12e983a7c1ee0c4050a9f o added some more generics o minor refactoring 	3703 commit 114d32782a35fb6eb2c12e983a7c1ee0c4050a9f o added some more generics o minor refactoring	1	-1	 3703[0] commit[0] 114d32782a35fb6eb2c12e983a7c1ee0c4050a9f[0] o[0] added[0] some[0] more[0] generics[0] o[0] minor[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3764 commit 8506ff928fe6ed32cda94008e76d430804215003 o refactored some variables and methods to match the corresponding schema elements o updated the user configured attributes are handled o added an option to store the cookie in file/dit o added support for storing the cookie in dit o removed cookie updating thread (cookie is now saved as soon as it is received) o added support for handling network failures 	3764 commit 8506ff928fe6ed32cda94008e76d430804215003 o refactored some variables and methods to match the corresponding schema elements o updated the user configured attributes are handled o added an option to store the cookie in file/dit o added support for storing the cookie in dit o removed cookie updating thread (cookie is now saved as soon as it is received) o added support for handling network failures	2	-1	 3764[0] commit[0] 8506ff928fe6ed32cda94008e76d430804215003[0] o[0] refactored[0] some[0] variables[0] and[0] methods[0] to[0] match[0] the[0] corresponding[0] schema[0] elements[0] o[0] updated[0] the[0] user[0] configured[0] attributes[0] are[0] handled[0] o[0] added[0] an[0] option[0] to[0] store[0] the[0] cookie[0] in[0] file/dit[0] o[0] added[0] support[0] for[0] storing[0] the[0] cookie[0] in[0] dit[0] o[0] removed[0] cookie[0] updating[0] thread[0] cookie[0] is[0] now[0] saved[1] as[0] soon[0] as[0] it[0] is[0] received[0] o[0] added[0] support[0] for[0] handling[0] network[0] failures[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
