Rename Method	Translation	Positive	Negative	EmotionRationale
1480 commit a16257dbd5599135320f4263a2cb438b7a469084 format as public/private; follow refactoring. offer to format an empty disk as public/private. bug: 19993667 change-id: i69fafaed524f3ef5e65d04a9e3a94789fcfc3087 	1480 commit a16257dbd5599135320f4263a2cb438b7a469084 format as public/private; follow refactoring.<br> offer to format an empty disk as public/private.<br> bug: 1993667 change-id: i69fafaed524f3ef5e65d04a9e3a94789fcfc3087	1	-1	 1480[0] commit[0] a16257dbd5599135320f4263a2cb438b7a469084[0] format[0] as[0] public/private[0] follow[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]] offer[0] to[0] format[0] an[0] empty[0] disk[0] as[0] public/private[0] [[Sentence=-1,1=word max, 1-5]] bug[0] 19993667/1993667[0] change[0] id[0] i69fafaed524f3ef5e65d04a9e3a94789fcfc3087[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6578 commit 402052d8ec348acc99f14a680e27976855a67ecf merge: b896591 ff05c16 am ff05c160: am 0d78165a: am 11b8bda9: refactors listening logic in accountsettings * commit 'ff05c1605fcaf7c14eb453ed49bd883551a6df76': refactors listening logic in accountsettings 	6578 commit 402052d8ec348acc99f14a680e27976855a67ecf merge: b896591 ff05c16 am ff05c160: am 0d78165a: am 11b8bda9: refactors listening logic in accountsettings * commit 'ff05c1605fcaf7c14eb453ed49bd883551a6df76': refactors listening logic in accountsettings	1	-1	 6578[0] commit[0] 402052d8ec348acc99f14a680e27976855a67ecf[0] merge[0] b896591[0] ff05c16[0] am[0] ff05c160[0] am[0] 0d78165a[0] am[0] 11b8bda9[0] refactors[0] listening[0] logic[0] in[0] accountsettings[0] commit[0] 'ff05c1605fcaf7c14eb453ed49bd883551a6df76'[0] refactors[0] listening[0] logic[0] in[0] accountsettings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6584 commit ff05c1605fcaf7c14eb453ed49bd883551a6df76 merge: 707c965 0d78165 am 0d78165a: am 11b8bda9: refactors listening logic in accountsettings * commit '0d78165af6ad82f48c4a7cdf9f9a5aaf1bb57655': refactors listening logic in accountsettings 	6584 commit ff05c1605fcaf7c14eb453ed49bd883551a6df76 merge: 707c965 0d78165 am 0d78165a: am 11b8bda9: refactors listening logic in accountsettings * commit '0d78165af6ad82f48c4a7cdf9f9a5af1bb57655': refactors listening logic in accountsettings	1	-1	 6584[0] commit[0] ff05c1605fcaf7c14eb453ed49bd883551a6df76[0] merge[0] 707c965[0] 0d78165[0] am[0] 0d78165a[0] am[0] 11b8bda9[0] refactors[0] listening[0] logic[0] in[0] accountsettings[0] commit[0] '0d78165af6ad82f48c4a7cdf9f9a5aaf1bb57655'/'0d78165af6ad82f48c4a7cdf9f9a5af1bb57655'[0] refactors[0] listening[0] logic[0] in[0] accountsettings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6590 commit 0d78165af6ad82f48c4a7cdf9f9a5aaf1bb57655 merge: 76cc239 11b8bda am 11b8bda9: refactors listening logic in accountsettings * commit '11b8bda93cf3acf3b699eeb479a99e09682a369d': refactors listening logic in accountsettings 	6590 commit 0d78165af6ad82f48c4a7cdf9f9a5af1bb57655 merge: 76cc239 11b8bda am 11b8bda9: refactors listening logic in accountsettings * commit '11b8bda93cf3acf3b699eeb479a99e09682a369d': refactors listening logic in accountsettings	1	-1	 6590[0] commit[0] 0d78165af6ad82f48c4a7cdf9f9a5aaf1bb57655/0d78165af6ad82f48c4a7cdf9f9a5af1bb57655[0] merge[0] 76cc239[0] 11b8bda[0] am[0] 11b8bda9[0] refactors[0] listening[0] logic[0] in[0] accountsettings[0] commit[0] '11b8bda93cf3acf3b699eeb479a99e09682a369d'[0] refactors[0] listening[0] logic[0] in[0] accountsettings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6592 commit 11b8bda93cf3acf3b699eeb479a99e09682a369d refactors listening logic in accountsettings this is required to make sure that we do not leak broadcast receivers. no user-visible changes are present. bug: 15466880 change-id: i90fcf9f8281a786948d862f48a3d7e7ac2bbe6ba 	6592 commit 11b8bda93cf3acf3b699eeb479a99e09682a369d refactors listening logic in accountsettings this is required to make sure that we do not leak broadcast receivers.<br> no user-visible changes are present.<br> bug: 15466880 change-id: i90fcf9f8281a786948d862f48a3d7e7ac2bbe6ba	2	-1	 6592[0] commit[0] 11b8bda93cf3acf3b699eeb479a99e09682a369d[0] refactors[0] listening[0] logic[0] in[0] accountsettings[0] this[0] is[0] required[0] to[0] make[0] sure[0] that[0] we[0] do[0] not[0] leak[-1][NegatedDueToPreviousWord] broadcast[0] receivers[0] [[Sentence=-1,2=word max, 1-5]] no[0] user[0] visible[0] changes[0] are[0] present[0] [[Sentence=-1,1=word max, 1-5]] bug[0] 15466880[0] change[0] id[0] i90fcf9f8281a786948d862f48a3d7e7ac2bbe6ba[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
7291 commit 989c364f2de3eeb2c92fa6713b8e0f137e8d971a (do not merge) refactor inputmethodandsubtypeenabler a bit change-id: id91b62ed084f98e3a6dc724aac9d926d89a96201 (cherry picked from commit a5db65fe11f862747c34f271ea416052c653300d) 	7291 commit 989c364f2de3eeb2c92fa6713b8e0f137e8d971a (do not merge) refactor inputmethodandsubtypeenabler a bit change-id: id91b62ed084f98e3a6dc724ac9d926d89a96201 (cherry picked from commit a5db65fe11f862747c34f271ea416052c653300d)	1	-1	 7291[0] commit[0] 989c364f2de3eeb2c92fa6713b8e0f137e8d971a[0] do[0] not[0] merge[0] refactor[0] inputmethodandsubtypeenabler[0] a[0] bit[0] change[0] id[0] id91b62ed084f98e3a6dc724aac9d926d89a96201/id91b62ed084f98e3a6dc724ac9d926d89a96201[0] cherry[0] picked[0] from[0] commit[0] a5db65fe11f862747c34f271ea416052c653300d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7324 commit a5db65fe11f862747c34f271ea416052c653300d refactor inputmethodandsubtypeenabler a bit change-id: id91b62ed084f98e3a6dc724aac9d926d89a96201 	7324 commit a5db65fe11f862747c34f271ea416052c653300d refactor inputmethodandsubtypeenabler a bit change-id: id91b62ed084f98e3a6dc724ac9d926d89a96201	1	-1	 7324[0] commit[0] a5db65fe11f862747c34f271ea416052c653300d[0] refactor[0] inputmethodandsubtypeenabler[0] a[0] bit[0] change[0] id[0] id91b62ed084f98e3a6dc724aac9d926d89a96201/id91b62ed084f98e3a6dc724ac9d926d89a96201[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8226 commit 405febf56adbb2dfb3b2c68d8e76cc5212b9d683 fix bug #14288652 settings crash on hitting back key from tap and pay screen gasp ... the observer registering/unregistering code was not totally correct as we were unregistering on a different rootadapter. - refactor the code for registering / unregistering the observer - unregister when the fragment is stopped thru onstop(). change-id: i036eacd87c80fd2c9dedca705fb94a57a0c9a21d 	8226 commit 405febf56adbb2dfb3b2c68d8e76cc5212b9d683 fix bug #14288652 settings crash on hitting back key from tap and pay screen gasp .<br> the observer registering/unregistering code was not totally correct as we were unregistering on a different rootadapter.<br> - refactor the code for registering / unregistering the observer - unregister when the fragment is stopped thru onstop(<br> change-id: i036eacd87c80fd2c9dedca705fb94a57a0c9a21d	1	-1	 8226[0] commit[0] 405febf56adbb2dfb3b2c68d8e76cc5212b9d683[0] fix[0] bug[0] #14288652[0] settings[0] crash[0] on[0] hitting[0] back[0] key[0] from[0] tap[0] and[0] pay[0] screen[0] gasp[0] [[Sentence=-1,1=word max, 1-5]] the[0] observer[0] registering/unregistering[0] code[0] was[0] not[0] totally[0] correct[0] as[0] we[0] were[0] unregistering[0] on[0] a[0] different[0] rootadapter[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] the[0] code[0] for[0] registering[0] /[0] unregistering[0] the[0] observer[0] unregister[0] when[0] the[0] fragment[0] is[0] stopped[0] thru[0] onstop[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i036eacd87c80fd2c9dedca705fb94a57a0c9a21d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8560 commit 51bfee595c3ce587e2e26565fd9e8f4ae02c3482 add dynamic preferences indexing (part 2) - change the index sql model. add a new "enabled" column. - use that column for issuing a more restrictive search query - change the searchindexprovider api to pass the "enable" state - apply it to bluetooth settings - refactor the list of indexable resources (searchindexableresources) change-id: ic900fb27cb12a285a80d953aa1aa88f0070cd986 	8560 commit 51bfee595c3ce587e2e26565fd9e8f4ae02c3482 add dynamic preferences indexing (part 2) - change the index sql model.<br> add a new "enabled" column.<br> - use that column for issuing a more restrictive search query - change the searchindexprovider api to pass the "enable" state - apply it to bluetooth settings - refactor the list of indexable resources (searchindexableresources) change-id: ic900fb27cb12a285a80d953a1a88f0070cd986	2	-1	 8560[0] commit[0] 51bfee595c3ce587e2e26565fd9e8f4ae02c3482[0] add[0] dynamic[0] preferences[0] indexing[0] part[0] 2[0] change[0] the[0] index[0] sql[0] model[0] [[Sentence=-1,1=word max, 1-5]] add[0] a[0] new[0] enabled[0] column[0] [[Sentence=-1,1=word max, 1-5]] use[0] that[0] column[0] for[0] issuing[0] a[0] more[0] restrictive[0] search[0] query[0] change[0] the[0] searchindexprovider[0] api[0] to[0] pass[0] the[0] enable[0] state[0] apply[0] it[0] to[0] bluetooth[0] settings[0] refactor[0] the[0] list[0] of[0] indexable[0] resources[0] searchindexableresources[0] change[0] id[0] ic900fb27cb12a285a80d953aa1aa88f0070cd986/ic900fb27cb12a285a80d953a1a88f0070cd986[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
18095 commit 436b29e68e6608bed9e8e7d54385b8f62d89208e refactor bluetooth settings for readability and performance. major refactoring of bluetooth settings classes. - moved all functionality from localbluetoothmanager into new localbluetoothadapter and localbluetoothpreferences, and into existing classes. - refactored functionality from bluetootheventredirector into new bluetootheventmanager class, deleting the original version. new version uses a hashmap from action strings to implementers of the bluetootheventmanager.handler interface. - created new bluetoothdiscoveryreceiver to update shared preferences timestamp for bluetooth discovery start/finish. this is the only event handling we need to do when the settings app is not visible, so it has its own receiver entry in androidmanifest.xml. edits are written using queuedwork.singlethreadexecutor(), which broadcastreceiver knows about and will wait for completion, eliminating the need for pendingresult. - miscellaneous cleanups to code style and logic for readability. - pulled some large switch statement code blocks into new methods. - changed all bluetooth state references to the new bluetoothprofile constants. - changed use of deprecated notification constructor in bluetoothpairingrequest to use notification.builder. - moved utf8bytelengthfilter helper function from bluetoothnamepreference into its own class, and moved test cases into the same package. - moved all localbluetoothprofilemanager functionality related to specific profiles into new top-level classes (a2dpprofile, etc.), all implementing the localbluetoothprofile interface. - moved all ui-related methods from cachedbluetoothdevice into the class that uses the method, or into the static utils class for shared methods. change-id: i6d49b7f4ae0c7d7dcf62551ee40b51ecb5fe4f47 	18095 commit 436b29e68e6608bed9e8e7d54385b8f62d89208e refactor bluetooth settings for readability and performance.<br> major refactoring of bluetooth settings classes.<br> - moved all functionality from localbluetoothmanager into new localbluetoothadapter and localbluetoothpreferences, and into existing classes.<br> - refactored functionality from bluetootheventredirector into new bluetootheventmanager class, deleting the original version.<br> new version uses a hashmap from action strings to implementers of the bluetootheventmanager.<br>handler interface.<br> - created new bluetoothdiscoveryreceiver to update shared preferences timestamp for bluetooth discovery start/finish.<br> this is the only event handling we need to do when the settings ap is not visible, so it has its own receiver entry in androidmanifest.<br>xml.<br> edits are written using queuedwork.<br>singlethreadexecutor( which broadcastreceiver knows about and will wait for completion, eliminating the need for pendingresult.<br> - miscellaneous cleanups to code style and logic for readability.<br> - pulled some large switch statement code blocks into new methods.<br> - changed all bluetooth state references to the new bluetoothprofile constants.<br> - changed use of deprecated notification constructor in bluetoothpairingrequest to use notification.<br>builder.<br> - moved utf8bytelengthfilter helper function from bluetoothnamepreference into its own class, and moved test cases into the same package.<br> - moved all localbluetoothprofilemanager functionality related to specific profiles into new top-level classes (a2dpprofile, etc.<br> all implementing the localbluetoothprofile interface.<br> - moved all ui-related methods from cachedbluetoothdevice into the class that uses the method, or into the static utils class for shared methods.<br> change-id: i6d49b7f4ae0c7d7dcf62551ee40b51ecb5fe4f47	1	-1	 18095[0] commit[0] 436b29e68e6608bed9e8e7d54385b8f62d89208e[0] refactor[0] bluetooth[0] settings[0] for[0] readability[0] and[0] performance[0] [[Sentence=-1,1=word max, 1-5]] major[0] refactoring[0] of[0] bluetooth[0] settings[0] classes[0] [[Sentence=-1,1=word max, 1-5]] moved[0] all[0] functionality[0] from[0] localbluetoothmanager[0] into[0] new[0] localbluetoothadapter[0] and[0] localbluetoothpreferences[0] and[0] into[0] existing[0] classes[0] [[Sentence=-1,1=word max, 1-5]] refactored[0] functionality[0] from[0] bluetootheventredirector[0] into[0] new[0] bluetootheventmanager[0] class[0] deleting[0] the[0] original[0] version[0] [[Sentence=-1,1=word max, 1-5]] new[0] version[0] uses[0] a[0] hashmap[0] from[0] action[0] strings[0] to[0] implementers[0] of[0] the[0] bluetootheventmanager[0] [[Sentence=-1,1=word max, 1-5]] handler[0] interface[0] [[Sentence=-1,1=word max, 1-5]] created[0] new[0] bluetoothdiscoveryreceiver[0] to[0] update[0] shared[0] preferences[0] timestamp[0] for[0] bluetooth[0] discovery[0] start/finish[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] the[0] only[0] event[0] handling[0] we[0] need[0] to[0] do[0] when[0] the[0] settings[0] app/ap[0] is[0] not[0] visible[0] so[0] it[0] has[0] its[0] own[0] receiver[0] entry[0] in[0] androidmanifest[0] [[Sentence=-1,1=word max, 1-5]] xml[0] [[Sentence=-1,1=word max, 1-5]] edits[0] are[0] written[0] using[0] queuedwork[0] [[Sentence=-1,1=word max, 1-5]] singlethreadexecutor[0] which[0] broadcastreceiver[0] knows[0] about[0] and[0] will[0] wait[0] for[0] completion[0] eliminating[0] the[0] need[0] for[0] pendingresult[0] [[Sentence=-1,1=word max, 1-5]] miscellaneous[0] cleanups[0] to[0] code[0] style[0] and[0] logic[0] for[0] readability[0] [[Sentence=-1,1=word max, 1-5]] pulled[0] some[0] large[0] switch[0] statement[0] code[0] blocks[0] into[0] new[0] methods[0] [[Sentence=-1,1=word max, 1-5]] changed[0] all[0] bluetooth[0] state[0] references[0] to[0] the[0] new[0] bluetoothprofile[0] constants[0] [[Sentence=-1,1=word max, 1-5]] changed[0] use[0] of[0] deprecated[0] notification[0] constructor[0] in[0] bluetoothpairingrequest[0] to[0] use[0] notification[0] [[Sentence=-1,1=word max, 1-5]] builder[0] [[Sentence=-1,1=word max, 1-5]] moved[0] utf8bytelengthfilter[0] helper[0] function[0] from[0] bluetoothnamepreference[0] into[0] its[0] own[0] class[0] and[0] moved[0] test[0] cases[0] into[0] the[0] same[0] package[0] [[Sentence=-1,1=word max, 1-5]] moved[0] all[0] localbluetoothprofilemanager[0] functionality[0] related[0] to[0] specific[0] profiles[0] into[0] new[0] top[0] level[0] classes[0] a2dpprofile[0] etc[0] [[Sentence=-1,1=word max, 1-5]] all[0] implementing[0] the[0] localbluetoothprofile[0] interface[0] [[Sentence=-1,1=word max, 1-5]] moved[0] all[0] ui[0] related[0] methods[0] from[0] cachedbluetoothdevice[0] into[0] the[0] class[0] that[0] uses[0] the[0] method[0] or[0] into[0] the[0] static[0] utils[0] class[0] for[0] shared[0] methods[0] [[Sentence=-1,1=word max, 1-5]] change[0] id[0] i6d49b7f4ae0c7d7dcf62551ee40b51ecb5fe4f47[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
