Extract Method	Translation	Positive	Negative	EmotionRationale
220 commit 161417d14cc27025990a16489733afc0ce87375e (refactoring) basically perform all updates when cal files are moved 	220 commit 161417d14cc27025990a16489733afc0ce87375e (refactoring) basically perform all updates when cal files are moved	1	-1	 220[0] commit[0] 161417d14cc27025990a16489733afc0ce87375e[0] refactoring[0] basically[0] perform[0] all[0] updates[0] when[0] cal[0] files[0] are[0] moved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
561 commit f5765aad384c0646940f99791418e13c92721c87 (gui) refactor paste feature 	561 commit f5765ad384c0646940f99791418e13c92721c87 (gui) refactor paste feature	1	-1	 561[0] commit[0] f5765aad384c0646940f99791418e13c92721c87/f5765ad384c0646940f99791418e13c92721c87[0] gui[0] refactor[0] paste[0] feature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2172 commit dde50465772608e13c62ff9312b8ba2332a3e8ee (merger) code cleaning. 	2172 commit dde50465772608e13c62ff9312b8ba2332a3e8ee (merger) code cleaning.	1	-1	 2172[0] commit[0] dde50465772608e13c62ff9312b8ba2332a3e8ee[0] merger[0] code[0] cleaning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3521 commit 8ed075e8b455adfed289c664138f844496e6a339 (tta) refactoring. 	3521 commit 8ed075e8b455adfed289c664138f84496e6a339 (tta) refactoring.	1	-1	 3521[0] commit[0] 8ed075e8b455adfed289c664138f844496e6a339/8ed075e8b455adfed289c664138f84496e6a339[0] tta[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3560 commit 9a69555f01af3cce3cc9b9863315618dc94eb1c2 (tta) continue the refactoring. 	3560 commit 9a6955f01af3cce3cc9b9863315618dc94eb1c2 (tta) continue the refactoring.	1	-1	 3560[0] commit[0] 9a69555f01af3cce3cc9b9863315618dc94eb1c2/9a6955f01af3cce3cc9b9863315618dc94eb1c2[0] tta[0] continue[0] the[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3987 commit 4eee2be37379481e76dbd6a4020e7773aed57312 refactoring with a new fsm model -- applying matthieu's patch working on llvm and c 	3987 commit 4ee2be37379481e76dbd6a4020e773aed57312 refactoring with a new fsm model - applying matthieu's patch working on llvm and c	2	-1	 3987[0] commit[0] 4eee2be37379481e76dbd6a4020e7773aed57312/4ee2be37379481e76dbd6a4020e773aed57312[0][+0.6 MultipleLetters] refactoring[0] with[0] a[0] new[0] fsm[0] model[0] applying[0] matthieu's[0] patch[0] working[0] on[0] llvm[0] and[0] c[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4366 commit 036607bc85ec2d99421c88ff9f5a559e6b779ebb (front-end) more refactoring in ast to ir transformer. exprtransformer and stmttransformer now use a list of nodes, which is much much cleaner than the previous solution. 	4366 commit 036607bc85ec2d99421c88ff9f5a559e6b779ebb (front-end) more refactoring in ast to ir transformer.<br> exprtransformer and stmttransformer now use a list of nodes, which is much much cleaner than the previous solution.	1	-1	 4366[0] commit[0] 036607bc85ec2d99421c88ff9f5a559e6b779ebb[0] front[0] end[0] more[0] refactoring[0] in[0] ast[0] to[0] ir[0] transformer[0] [[Sentence=-1,1=word max, 1-5]] exprtransformer[0] and[0] stmttransformer[0] now[0] use[0] a[0] list[0] of[0] nodes[0] which[0] is[0] much[0] much[0] cleaner[0] than[0] the[0] previous[0] solution[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4584 commit 60a95433315320b28d5dff7bb42c9c2fad0e1092 (typing) refactoring type checker 	4584 commit 60a9543315320b28d5dff7bb42c9c2fad0e1092 (typing) refactoring type checker	1	-1	 4584[0] commit[0] 60a95433315320b28d5dff7bb42c9c2fad0e1092/60a9543315320b28d5dff7bb42c9c2fad0e1092[0] typing[0] refactoring[0] type[0] checker[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5508 commit fc49cd0f916532307b317d54f6e5b0c2b7a8563f refactoring the ram class a bit, simplified the raminstructionscheduler. 	5508 commit fc49cd0f916532307b317d54f6e5b0c2b7a8563f refactoring the ram class a bit, simplified the raminstructionscheduler.	1	-1	 5508[0] commit[0] fc49cd0f916532307b317d54f6e5b0c2b7a8563f[0] refactoring[0] the[0] ram[0] class[0] a[0] bit[0] simplified[0] the[0] raminstructionscheduler[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5728 commit 646d56c41cc9f73ce4a3b04951d15817f007d2da refactoring variable to var (and globalvariable and localvariable too) 	5728 commit 646d56c41cc9f73ce4a3b04951d15817f007d2da refactoring variable to var (and globalvariable and localvariable too)	1	-1	 5728[0] commit[0] 646d56c41cc9f73ce4a3b04951d15817f007d2da[0] refactoring[0] variable[0] to[0] var[0] and[0] globalvariable[0] and[0] localvariable[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
