Rename Method	Translation	Positive	Negative	EmotionRationale
845 commit 2e386937e63c6db3afcbf5932de8a535fb7250c3 refactor of moving of items from one side to the other. use one setselectedindex instead of multiple invocations of setitemselected to fix problem with keyboard navigation in some browsers (#5683) svn changeset:20795 branch:6.7 	845 commit 2e386937e63c6db3afcbf5932de8a535fb7250c3 refactor of moving of items from one side to the other.<br> use one setselectedindex instead of multiple invocations of setitemselected to fix problem with keyboard navigation in some browsers (#5683) svn changeset:20795 branch:6.7	1	-2	 845[0] commit[0] 2e386937e63c6db3afcbf5932de8a535fb7250c3[0] refactor[0] of[0] moving[0] of[0] items[0] from[0] one[0] side[0] to[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]] use[0] one[0] setselectedindex[0] instead[0] of[0] multiple[0] invocations[0] of[0] setitemselected[0] to[0] fix[0] problem[-1] with[0] keyboard[0] navigation[0] in[0] some[0] browsers[0] (#5683[0] svn[0] changeset[0] :20795[0] branch[0] :6[0] .7[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1521 commit 2592b5f58c67f51bfd4e3d28cb4d681b4373d7e8 #6527 container refactoring: renamed the protected internal sort() method to sortcontainer() for clarity when implementing sortable in subclasses, javadoc svn changeset:17657 branch:6.6 	1521 commit 2592b5f58c67f51bfd4e3d28cb4d681b4373d7e8 #6527 container refactoring: renamed the protected internal sort( method to sortcontainer( for clarity when implementing sortable in subclasses, javadoc svn changeset:17657 branch:6.6	1	-1	 1521[0] commit[0] 2592b5f58c67f51bfd4e3d28cb4d681b4373d7e8[0] #6527[0] container[0] refactoring[0] renamed[0] the[0] protected[0] internal[0] sort[0] method[0] to[0] sortcontainer[0] for[0] clarity[0] when[0] implementing[0] sortable[0] in[0] subclasses[0] javadoc[0] svn[0] changeset[0] :17657[0] branch[0] :6[0] .6[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1544 commit e74c43578e82988f8e38b488eeba30d5b1d6f897 #6527 container refactoring: partly encapsulate abstractinmemorycontainer.allitemids() svn changeset:17606 branch:6.6 	1544 commit e74c43578e82988f8e38b488eeba30d5b1d6f897 #6527 container refactoring: partly encapsulate abstractinmemorycontainer.<br>allitemids( svn changeset:17606 branch:6.6	1	-1	 1544[0] commit[0] e74c43578e82988f8e38b488eeba30d5b1d6f897[0] #6527[0] container[0] refactoring[0] partly[0] encapsulate[0] abstractinmemorycontainer[0] [[Sentence=-1,1=word max, 1-5]] allitemids[0] svn[0] changeset[0] :17606[0] branch[0] :6[0] .6[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2250 commit 082f45d9255bb858c06e31b750ee465e0d6a25c3 refactored test case structure to have similar hierarchy as components added popupdatefields2 test case (popupdatefield) added inlinedatefields test case (inlinedatefield) added comboboxes2 test case (combobox) svn changeset:15577 branch:6.4 	2250 commit 082f45d9255bb858c06e31b750ee465e0d6a25c3 refactored test case structure to have similar hierarchy as components added popupdatefields2 test case (popupdatefield) added inlinedatefields test case (inlinedatefield) added comboboxes2 test case (combobox) svn changeset:15577 branch:6.4	1	-1	 2250[0] commit[0] 082f45d9255bb858c06e31b750ee465e0d6a25c3[0] refactored[0] test[0] case[0] structure[0] to[0] have[0] similar[0] hierarchy[0] as[0] components[0] added[0] popupdatefields2[0] test[0] case[0] popupdatefield[0] added[0] inlinedatefields[0] test[0] case[0] inlinedatefield[0] added[0] comboboxes2[0] test[0] case[0] combobox[0] svn[0] changeset[0] :15577[0] branch[0] :6[0] .4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3048 commit 4c6a7d3d5526eb39df0cbc7744322ff147a4099b opening some parts of table implementation   some refactoring svn changeset:13172 branch:6.4 	3048 commit 4c6a7d3d5526eb39df0cbc7744322ff147a4099b opening some parts of table implementation   some refactoring svn changeset:13172 branch:6.4	1	-1	 3048[0] commit[0] 4c6a7d3d5526eb39df0cbc7744322ff147a4099b[0] opening[0] some[0] parts[0] of[0] table[0] implementation[0] some[0] refactoring[0] svn[0] changeset[0] :13172[0] branch[0] :6[0] .4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3362 commit 36cf8dfa85d5bf3d060531f5e41f205bbaae6917 refactored new actions api a little: removed mnemonics terminology, adding/removing stuff 'returns' void, shift shorthand in now _ svn changeset:12029 branch:6.3 	3362 commit 36cf8dfa85d5bf3d060531f5e41f205bbae6917 refactored new actions api a little: removed mnemonics terminology, adding/removing stuff 'returns' void, shift shorthand in now _ svn changeset:12029 branch:6.3	1	-1	 3362[0] commit[0] 36cf8dfa85d5bf3d060531f5e41f205bbaae6917/36cf8dfa85d5bf3d060531f5e41f205bbae6917[0] refactored[0] new[0] actions[0] api[0] a[0] little[0] removed[0] mnemonics[0] terminology[0] adding/removing[0] stuff[0] 'returns'[0] void[0] shift[0] shorthand[0] in[0] now[0] _[0] svn[0] changeset[0] :12029[0] branch[0] :6[0] .3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3368 commit 150db7eb6d318e1f037e0660f11cd2ef74bd3100 refactoring (renaming) svn changeset:12018 branch:6.3 	3368 commit 150db7eb6d318e1f037e0660f11cd2ef74bd3100 refactoring (renaming) svn changeset:12018 branch:6.3	1	-1	 3368[0] commit[0] 150db7eb6d318e1f037e0660f11cd2ef74bd3100[0] refactoring[0] renaming[0] svn[0] changeset[0] :12018[0] branch[0] :6[0] .3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3848 commit bfd57c2534996e1492169d49b28497116ddbcf1a fixes #3850: submenu icon is placed outside the menu in ie7 * refactored vmenubar to not use table element. now uses divs all the way. * note, the theme for menubar sub-menus seems to be quite fragile in ie6 and ie7. ie6 doesn't allow any of the contained elements to get "haslayout", otherwise the popup will be too wide. ie7 needs some deferredcommand magic to make it render separator items correctly. svn changeset:10301 branch:6.2 	3848 commit bfd57c2534996e1492169d49b28497116ddbcf1a fixes #3850: submenu icon is placed outside the menu in ie7 * refactored vmenubar to not use table element.<br> now uses divs all the way.<br> * note, the theme for menubar sub-menus seems to be quite fragile in ie6 and ie7.<br> ie6 doesn't allow any of the contained elements to get "haslayout" otherwise the popup will be too wide.<br> ie7 needs some deferredcommand magic to make it render separator items correctly.<br> svn changeset:10301 branch:6.2	1	-2	 3848[0] commit[0] bfd57c2534996e1492169d49b28497116ddbcf1a[0] fixes[0] #3850[0] submenu[0] icon[0] is[0] placed[0] outside[0] the[0] menu[0] in[0] ie7[0] refactored[0] vmenubar[0] to[0] not[0] use[0] table[0] element[0] [[Sentence=-1,1=word max, 1-5]] now[0] uses[0] divs[0] all[0] the[0] way[0] [[Sentence=-1,1=word max, 1-5]] note[0] the[0] theme[0] for[0] menubar[0] sub[0] menus[0] seems[0] to[0] be[0] quite[0] fragile[-1] in[0] ie6[0] and[0] ie7[0] [[Sentence=-2,1=word max, 1-5]] ie6[0] doesn't[0] allow[0] any[0] of[0] the[0] contained[0] elements[0] to[0] get[0] haslayout[0] otherwise[0] the[0] popup[0] will[0] be[0] too[0] wide[0] [[Sentence=-1,1=word max, 1-5]] ie7[0] needs[0] some[0] deferredcommand[0] magic[0] to[0] make[0] it[0] render[0] separator[0] items[0] correctly[0] [[Sentence=-1,1=word max, 1-5]] svn[0] changeset[0] :10301[0] branch[0] :6[0] .2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
3990 commit d63daa805c8f3a67d3d6dcb17c5d2dc89974c1fa portlet 2.0 partial review, some javadoc, removed debug printouts and minor refactoring svn changeset:9965 branch:portlet_2.0 	3990 commit d63da805c8f3a67d3d6dcb17c5d2dc89974c1fa portlet 2.0 partial review, some javadoc, removed debug printouts and minor refactoring svn changeset:9965 branch:portlet_2.0	1	-1	 3990[0] commit[0] d63daa805c8f3a67d3d6dcb17c5d2dc89974c1fa/d63da805c8f3a67d3d6dcb17c5d2dc89974c1fa[0] portlet[0] 2[0] .0[0] partial[0] review[0] some[0] javadoc[0] removed[0] debug[0] printouts[0] and[0] minor[0] refactoring[0] svn[0] changeset[0] :9965[0] branch[0] portlet_2[0] .0[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4847 commit 1e5b72b6492f0ddc786f8792bef3fa7a72ffe5b2 merge: f47a0c3 9eab1cf major theme refactoring: -base theme now completed. -default theme is now inherited from the base theme, all redundant (but mandatory) style properties have been moved to the base theme. ---- includes major merges from 6.0 branch as well. svn changeset:7572 branch:theme_2009_03 	4847 commit 1e5b72b6492f0ddc786f8792bef3fa7a72ffe5b2 merge: f47a0c3 9eab1cf major theme refactoring: -base theme now completed.<br> -default theme is now inherited from the base theme, all redundant (but mandatory) style properties have been moved to the base theme.<br> - includes major merges from 6.0 branch as well.<br> svn changeset:7572 branch:theme_2009_03	1	-2	 4847[0] commit[0] 1e5b72b6492f0ddc786f8792bef3fa7a72ffe5b2[0] merge[0] f47a0c3[0] 9eab1cf[0] major[0] theme[0] refactoring[0] base[0] theme[0] now[0] completed[0] [[Sentence=-1,1=word max, 1-5]] default[-1] theme[0] is[0] now[0] inherited[0] from[0] the[0] base[0] theme[0] all[0] redundant[0] but[0] mandatory[0] style[0] properties[0] have[0] been[0] moved[0] to[0] the[0] base[0] theme[0] [[Sentence=-2,1=word max, 1-5]] includes[0] major[0] merges[0] from[0] 6[0] .0[0] branch[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]] svn[0] changeset[0] :7572[0] branch[0] theme_2009_03[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
