Rename Method	Translation	Positive	Negative	EmotionRationale
664 commit 5e3e7d7206c63447312392cb3bc99239865c6848 geos-3806, catalog and config dao/facade refactoring former-commit-id: bac37e3d3fef9e5c1263d09f86158e855a43d213 [formerly c9c8ca00bb5b92179f030651ed0bb658dfd8bc81] former-commit-id: 01a07646df1ecf42a15e0d1aad3c4b0814076cef 	664 commit 5e3e7d7206c63447312392cb3bc99239865c6848 geos-3806, catalog and config dao/facade refactoring former-commit-id: bac37e3d3fef9e5c1263d09f86158e855a43d213 [formerly c9c8ca00bb5b92179f030651ed0bb658dfd8bc81] former-commit-id: 01a07646df1ecf42a15e0d1ad3c4b0814076cef	1	-1	 664[0] commit[0] 5e3e7d7206c63447312392cb3bc99239865c6848[0] geos[0] -3806[0] catalog[0] and[0] config[0] dao/facade[0] refactoring[0] former[0] commit[0] id[0] bac37e3d3fef9e5c1263d09f86158e855a43d213[0] [formerly[0] c9c8ca00bb5b92179f030651ed0bb658dfd8bc81][0] former[0] commit[0] id[0] 01a07646df1ecf42a15e0d1aad3c4b0814076cef/01a07646df1ecf42a15e0d1ad3c4b0814076cef[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
798 commit a04f02bab5fc0abad74ad1bc633fad882419ab88 geos-2658: some tweaks to adapt to wms refactoring former-commit-id: 9df15d1b12c7f27cbe9c758e4a98c625bfffefa9 [formerly b5af7865f5438c494a5597cf207983fbae9700f2] former-commit-id: d3b735f5bf19c49b94e04375991b8e19ad30edba 	798 commit a04f02bab5fc0abad74ad1bc633fad882419ab88 geos-2658: some tweaks to adapt to wms refactoring former-commit-id: 9df15d1b12c7f27cbe9c758e4a98c625bffefa9 [formerly b5af7865f5438c494a5597cf207983fbae9700f2] former-commit-id: d3b735f5bf19c49b94e04375991b8e19ad30edba	1	-1	 798[0] commit[0] a04f02bab5fc0abad74ad1bc633fad882419ab88[0] geos[0] -2658[0] some[0] tweaks[0] to[0] adapt[0] to[0] wms[0] refactoring[0] former[0] commit[0] id[0] 9df15d1b12c7f27cbe9c758e4a98c625bfffefa9/9df15d1b12c7f27cbe9c758e4a98c625bffefa9[0] [formerly[0] b5af7865f5438c494a5597cf207983fbae9700f2][0] former[0] commit[0] id[0] d3b735f5bf19c49b94e04375991b8e19ad30edba[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
863 commit 03beb3c66ce61fef1ecebc0af376c4ecf9283e73 added map output format, refactored format classes a bit, refactored tests to not require forked vm former-commit-id: e6cb997136cfb6dd14889b677b3fd49c94b61cfa [formerly 2bcd0cfe7c3430b34faa8dffbae45b71c43ef19b] former-commit-id: 37e9f71d8b20339f8d8b9ee39b797831e2243f65 	863 commit 03beb3c66ce61fef1ecebc0af376c4ecf9283e73 added map output format, refactored format classes a bit, refactored tests to not require forked vm former-commit-id: e6cb997136cfb6dd14889b677b3fd49c94b61cfa [formerly 2bcd0cfe7c3430b34fa8dffbae45b71c43ef19b] former-commit-id: 37e9f71d8b20339f8d8b9ee39b797831e2243f65	1	-1	 863[0] commit[0] 03beb3c66ce61fef1ecebc0af376c4ecf9283e73[0] added[0] map[0] output[0] format[0] refactored[0] format[0] classes[0] a[0] bit[0] refactored[0] tests[0] to[0] not[0] require[0] forked[0] vm[0] former[0] commit[0] id[0] e6cb997136cfb6dd14889b677b3fd49c94b61cfa[0] [formerly[0] 2bcd0cfe7c3430b34faa8dffbae45b71c43ef19b]/2bcd0cfe7c3430b34fa8dffbae45b71c43ef19b][0] former[0] commit[0] id[0] 37e9f71d8b20339f8d8b9ee39b797831e2243f65[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2448 commit 33c7145d75796e0aea544a876577a11fbe51ab8c refactored app-schema-test wfs test infrastructure. made xmlunit namespace contexts private, and reimplemented asserts to use safe methods. pulled up utility methods into abstract base classes former-commit-id: 4f80785f47c783d35fc519d4800a6ea8c8858aad [formerly 7c49cece1792e337ade8f17dfb3eb2ded522035d] former-commit-id: 3ecd556b3cda09ed955fcb97e23bd3bd7a7b4c78 	2448 commit 33c7145d75796e0aea544a876577a11fbe51ab8c refactored ap-schema-test wfs test infrastructure.<br> made xmlunit namespace contexts private, and reimplemented asserts to use safe methods.<br> pulled up utility methods into abstract base classes former-commit-id: 4f80785f47c783d35fc519d4800a6ea8c8858ad [formerly 7c49cece1792e337ade8f17dfb3eb2ded522035d] former-commit-id: 3ecd556b3cda09ed955fcb97e23bd3bd7a7b4c78	1	-1	 2448[0] commit[0] 33c7145d75796e0aea544a876577a11fbe51ab8c[0] refactored[0] app/ap[0] schema[0] test[0] wfs[0] test[0] infrastructure[0] [[Sentence=-1,1=word max, 1-5]] made[0] xmlunit[0] namespace[0] contexts[0] private[0] and[0] reimplemented[0] asserts[0] to[0] use[0] safe[0] methods[0] [[Sentence=-1,1=word max, 1-5]] pulled[0] up[0] utility[0] methods[0] into[0] abstract[0] base[0] classes[0] former[0] commit[0] id[0] 4f80785f47c783d35fc519d4800a6ea8c8858aad/4f80785f47c783d35fc519d4800a6ea8c8858ad[0] [formerly[0] 7c49cece1792e337ade8f17dfb3eb2ded522035d][0] former[0] commit[0] id[0] 3ecd556b3cda09ed955fcb97e23bd3bd7a7b4c78[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2591 commit f5d6f563c07bfb1092a7ac69cab544b4ceb3e950 better javadoc, minor refactorings former-commit-id: 07807ae01e1b3ebdaf8dbaaa668ffcd2d7276dc7 [formerly c229aff1f57e80ddaee5bb7ecf029296ed1d7fe5] former-commit-id: 6ef520ef5ed0e5589c789f22a6d4c685c37ff844 	2591 commit f5d6f563c07bfb1092a7ac69cab544b4ceb3e950 better javadoc, minor refactorings former-commit-id: 07807ae01e1b3ebdaf8dba668ffcd2d7276dc7 [formerly c229aff1f57e80ddaee5bb7ecf029296ed1d7fe5] former-commit-id: 6ef520ef5ed0e5589c789f22a6d4c685c37ff844	2	-1	 2591[0] commit[0] f5d6f563c07bfb1092a7ac69cab544b4ceb3e950[0] better[0] javadoc[0] minor[0] refactorings[0] former[0] commit[0] id[0] 07807ae01e1b3ebdaf8dbaaa668ffcd2d7276dc7/07807ae01e1b3ebdaf8dba668ffcd2d7276dc7[0][+0.6 MultipleLetters] [formerly[0] c229aff1f57e80ddaee5bb7ecf029296ed1d7fe5][0] former[0] commit[0] id[0] 6ef520ef5ed0e5589c789f22a6d4c685c37ff844[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4389 commit fae18628113d439241f9f42f1e200284feded3c8 refactor tile quad tree persistence out of the dataregionatingstrategy for future reuse in geometryregionatingstrategy former-commit-id: d741575c5f6372b24cf7aec3b697862e5a4cbb86 [formerly 95b307e463ba0c593f4027e16818a6a59297ee2c] former-commit-id: 542fab8b73b2b71509cc9914a4a71988d47071fe 	4389 commit fae18628113d439241f9f42f1e200284feded3c8 refactor tile quad tree persistence out of the dataregionatingstrategy for future reuse in geometryregionatingstrategy former-commit-id: d741575c5f6372b24cf7aec3b697862e5a4cbb86 [formerly 95b307e463ba0c593f4027e16818a6a59297ee2c] former-commit-id: 542fab8b73b2b71509cc9914a4a71988d47071fe	1	-1	 4389[0] commit[0] fae18628113d439241f9f42f1e200284feded3c8[0] refactor[0] tile[0] quad[0] tree[0] persistence[0] out[0] of[0] the[0] dataregionatingstrategy[0] for[0] future[0] reuse[0] in[0] geometryregionatingstrategy[0] former[0] commit[0] id[0] d741575c5f6372b24cf7aec3b697862e5a4cbb86[0] [formerly[0] 95b307e463ba0c593f4027e16818a6a59297ee2c][0] former[0] commit[0] id[0] 542fab8b73b2b71509cc9914a4a71988d47071fe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4592 commit 8248cceab3ee750dee10c906cdc549d3e341e01d refactored feature reslet, handles both layer and feature id case former-commit-id: a301704014427bbaeef50fa1e65913eea5d1f475 [formerly 43c1a45bd8fb6f3ce3903fc8d5ce80e6ee3e7ff6] former-commit-id: 0040bdbef0a020686ac15d47d47e6e680f863f07 	4592 commit 8248cceab3ee750dee10c906cdc549d3e341e01d refactored feature reslet, handles both layer and feature id case former-commit-id: a301704014427bbaeef50fa1e65913eea5d1f475 [formerly 43c1a45bd8fb6f3ce3903fc8d5ce80e6ee3e7ff6] former-commit-id: 0040bdbef0a020686ac15d47d47e6e680f863f07	1	-1	 4592[0] commit[0] 8248cceab3ee750dee10c906cdc549d3e341e01d[0] refactored[0] feature[0] reslet[0] handles[0] both[0] layer[0] and[0] feature[0] id[0] case[0] former[0] commit[0] id[0] a301704014427bbaeef50fa1e65913eea5d1f475[0] [formerly[0] 43c1a45bd8fb6f3ce3903fc8d5ce80e6ee3e7ff6][0] former[0] commit[0] id[0] 0040bdbef0a020686ac15d47d47e6e680f863f07[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6651 commit 218d0c45e851fa5d8ec1eb2a8d7f0cc184230aea refactored and cleaned up the kml code former-commit-id: b15d31252f217980b2923ff85f4d262b2a05bb60 [formerly 905d03caf16156fe2926073344480bd056b5daeb] former-commit-id: 98a6a92c9876ab73f8e36552114776e79976f6c3 	6651 commit 218d0c45e851fa5d8ec1eb2a8d7f0cc184230aea refactored and cleaned up the kml code former-commit-id: b15d31252f217980b2923ff85f4d262b2a05bb60 [formerly 905d03caf16156fe292607334480bd056b5daeb] former-commit-id: 98a6a92c9876ab73f8e36552114776e79976f6c3	1	-1	 6651[0] commit[0] 218d0c45e851fa5d8ec1eb2a8d7f0cc184230aea[0] refactored[0] and[0] cleaned[0] up[0] the[0] kml[0] code[0] former[0] commit[0] id[0] b15d31252f217980b2923ff85f4d262b2a05bb60[0] [formerly[0] 905d03caf16156fe2926073344480bd056b5daeb]/905d03caf16156fe292607334480bd056b5daeb][0] former[0] commit[0] id[0] 98a6a92c9876ab73f8e36552114776e79976f6c3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8453 commit cd2ca04a4d08f9bd5365f676dc346836f2cd1076 added comments, updated and refactored isggirequest to isdispatchedrequest former-commit-id: 13f16ec49fab46058bd8bc5aed43ac0bfcc295eb [formerly d1b6031a230e6961cdca0bfc95e6a080f119f46f] former-commit-id: f65bb518df74b009efd0abc888cc87fab2b9af88 	8453 commit cd2ca04a4d08f9bd5365f676dc346836f2cd1076 added comments, updated and refactored isggirequest to isdispatchedrequest former-commit-id: 13f16ec49fab46058bd8bc5aed43ac0bfcc295eb [formerly d1b6031a230e6961cdca0bfc95e6a080f119f46f] former-commit-id: f65bb518df74b009efd0abc88cc87fab2b9af88	1	-1	 8453[0] commit[0] cd2ca04a4d08f9bd5365f676dc346836f2cd1076[0] added[0] comments[0] updated[0] and[0] refactored[0] isggirequest[0] to[0] isdispatchedrequest[0] former[0] commit[0] id[0] 13f16ec49fab46058bd8bc5aed43ac0bfcc295eb[0] [formerly[0] d1b6031a230e6961cdca0bfc95e6a080f119f46f][0] former[0] commit[0] id[0] f65bb518df74b009efd0abc888cc87fab2b9af88/f65bb518df74b009efd0abc88cc87fab2b9af88[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9500 commit f94aad880128874780fa83a0fdf85233a9c4f2ca refactoring for lockhandler addition former-commit-id: 334b46d46c69ba45e520e8683d3a47a285179486 [formerly c9a66f73aa46277f254d5281df4f1a53b9f4717c] former-commit-id: cad4b317754a37fb1a1ef147bcfa5e9fb8de95c9 	9500 commit f94ad880128874780fa83a0fdf85233a9c4f2ca refactoring for lockhandler addition former-commit-id: 334b46d46c69ba45e520e8683d3a47a285179486 [formerly c9a66f73a46277f254d5281df4f1a53b9f4717c] former-commit-id: cad4b317754a37fb1a1ef147bcfa5e9fb8de95c9	1	-1	 9500[0] commit[0] f94aad880128874780fa83a0fdf85233a9c4f2ca/f94ad880128874780fa83a0fdf85233a9c4f2ca[0] refactoring[0] for[0] lockhandler[0] addition[0] former[0] commit[0] id[0] 334b46d46c69ba45e520e8683d3a47a285179486[0] [formerly[0] c9a66f73aa46277f254d5281df4f1a53b9f4717c]/c9a66f73a46277f254d5281df4f1a53b9f4717c][0] former[0] commit[0] id[0] cad4b317754a37fb1a1ef147bcfa5e9fb8de95c9[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
