Rename Method	Translation	Positive	Negative	EmotionRationale
130 commit 0a73451dd67a4ffe07e30196c78fd4e344386749 drools-1236 mbean aggregation of statistics mechanism (#877) * drools-1236 mbean aggregation of statistics mechanism * drools-1236 mbean aggregation of statistics mechanism refactoring mbean into different stateful, stateless providing tailored methods and also better performances. 	130 commit 0a73451dd67a4ffe07e30196c78fd4e344386749 drools-1236 mbean aggregation of statistics mechanism (#877) * drools-1236 mbean aggregation of statistics mechanism * drools-1236 mbean aggregation of statistics mechanism refactoring mbean into different stateful, stateless providing tailored methods and also better performances.	1	-1	 130[0] commit[0] 0a73451dd67a4ffe07e30196c78fd4e344386749[0] drools[0] -1236[0] mbean[0] aggregation[0] of[0] statistics[0] mechanism[0] (#877[0] drools[0] -1236[0] mbean[0] aggregation[0] of[0] statistics[0] mechanism[0] drools[0] -1236[0] mbean[0] aggregation[0] of[0] statistics[0] mechanism[0] refactoring[0] mbean[0] into[0] different[0] stateful[0] stateless[0] providing[0] tailored[0] methods[0] and[0] also[0] better[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
641 commit 802ff3343eff759323f67514e17d8397854f5618 [drools-751] refactor propagation queue 	641 commit 802ff3343eff759323f67514e17d8397854f5618 [drools-751] refactor propagation queue	1	-1	 641[0] commit[0] 802ff3343eff759323f67514e17d8397854f5618[0] [drools[0] -751][0] refactor[0] propagation[0] queue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2198 commit 33cbc4d379ef7da7dd844d84bc960f5afb892616 drools-7 phreak -refactor for node separation -separation of rulenetworkevaluatoractivation 	2198 commit 33cbc4d379ef7da7dd844d84bc960f5afb892616 drools-7 phreak -refactor for node separation -separation of rulenetworkevaluatoractivation	1	-1	 2198[0] commit[0] 33cbc4d379ef7da7dd844d84bc960f5afb892616[0] drools[0] -7[0] phreak[0] refactor[0] for[0] node[0] separation[0] separation[0] of[0] rulenetworkevaluatoractivation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2519 commit 0d9658473cdffa52406bc5d0fdee36510d095df3 singlesessioncommandservice.initksession(..) refactor - this makes eventual support for other transaction models (local, container) a lot easier 	2519 commit 0d9658473cdffa52406bc5d0fdee36510d095df3 singlesessioncommandservice.<br>initksession(<br> refactor - this makes eventual support for other transaction models (local, container) a lot easier	1	-1	 2519[0] commit[0] 0d9658473cdffa52406bc5d0fdee36510d095df3[0] singlesessioncommandservice[0] [[Sentence=-1,1=word max, 1-5]] initksession[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] this[0] makes[0] eventual[0] support[0] for[0] other[0] transaction[0] models[0] local[0] container[0] a[0] lot[0] easier[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2646 commit c095c8f95cadbd5fac7952da6aaa4c13aae1274e refactor gav to releaseid 	2646 commit c095c8f95cadbd5fac7952da6a4c13ae1274e refactor gav to releaseid	2	-1	 2646[0] commit[0] c095c8f95cadbd5fac7952da6aaa4c13aae1274e/c095c8f95cadbd5fac7952da6a4c13ae1274e[0][+0.6 MultipleLetters] refactor[0] gav[0] to[0] releaseid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2650 commit 73fad28771ab93551dadb47982d2891179c3945c kie refactorings 	2650 commit 73fad28771ab93551dadb47982d2891179c3945c kie refactorings	1	-1	 2650[0] commit[0] 73fad28771ab93551dadb47982d2891179c3945c[0] kie[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2660 commit 66b81a1c9c22b7320c0add2e6782ed6a02fac2f9 kie api refactor 	2660 commit 66b81a1c9c22b7320c0add2e6782ed6a02fac2f9 kie api refactor	1	-1	 2660[0] commit[0] 66b81a1c9c22b7320c0add2e6782ed6a02fac2f9[0] kie[0] api[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2663 commit b754c88a7e484d5f4d488f9a445de34bd524df2e kie api refactor 	2663 commit b754c88a7e484d5f4d488f9a445de34bd524df2e kie api refactor	1	-1	 2663[0] commit[0] b754c88a7e484d5f4d488f9a445de34bd524df2e[0] kie[0] api[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2664 commit dfbbca8016d0a5c50c5f5ae8922fb41d3858c5d7 kie api refactor 	2664 commit dfbbca8016d0a5c50c5f5ae8922fb41d3858c5d7 kie api refactor	1	-1	 2664[0] commit[0] dfbbca8016d0a5c50c5f5ae8922fb41d3858c5d7[0] kie[0] api[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2670 commit 838ed10daaecf752dd8f574081fbd815cdcae785 refactoring results and verify() 	2670 commit 838ed10daecf752dd8f574081fbd815cdcae785 refactoring results and verify(	1	-1	 2670[0] commit[0] 838ed10daaecf752dd8f574081fbd815cdcae785/838ed10daecf752dd8f574081fbd815cdcae785[0] refactoring[0] results[0] and[0] verify[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
