Extract Method	Translation	Positive	Negative	EmotionRationale
110 commit 9fb669bb9a5fd48619aa02538fdbdd4ce0f11d96 ttools: add insets parameter to plot2task you can now specify how much space you want outside the data area of a plot when doing a stilts plot2 plot. this is useful if you want detailed control over where the plots will appear on a page. implementation involved some refactoring, providing more public access to processing done by plotplacement static methods and moving some code out of plotdisplay and into plot2task. in plotplacement and 	110 commit 9fb669bb9a5fd48619a02538fdbdd4ce0f11d96 tools: add insets parameter to plot2task you can now specify how much space you want outside the data area of a plot when doing a stilts plot2 plot.<br> this is useful if you want detailed control over where the plots will appear on a page.<br> implementation involved some refactoring, providing more public access to processing done by plotplacement static methods and moving some code out of plotdisplay and into plot2task.<br> in plotplacement and	2	-1	 110[0] commit[0] 9fb669bb9a5fd48619aa02538fdbdd4ce0f11d96/9fb669bb9a5fd48619a02538fdbdd4ce0f11d96[0] ttools/tools[0] add[0] insets[0] parameter[0] to[0] plot2task[0] you[0] can[0] now[0] specify[0] how[0] much[0] space[0] you[0] want[0] outside[0] the[0] data[0] area[0] of[0] a[0] plot[0] when[0] doing[0] a[0] stilts[0] plot2[0] plot[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] useful[1] if[0] you[0] want[0] detailed[0] control[0] over[0] where[0] the[0] plots[0] will[0] appear[0] on[0] a[0] page[0] [[Sentence=-1,2=word max, 1-5]] implementation[0] involved[0] some[0] refactoring[0] providing[0] more[0] public[0] access[0] to[0] processing[0] done[0] by[0] plotplacement[0] static[0] methods[0] and[0] moving[0] some[0] code[0] out[0] of[0] plotdisplay[0] and[0] into[0] plot2task[0] [[Sentence=-1,1=word max, 1-5]] in[0] plotplacement[0] and[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
794 commit 139af3bcfae624bb4af00b6b5942ab45f951b161 table: refactor cartesianmatchengine - now tidier and easier to extend 	794 commit 139af3bcfae624bb4af00b6b5942ab45f951b161 table: refactor cartesianmatchengine - now tidier and easier to extend	1	-1	 794[0] commit[0] 139af3bcfae624bb4af00b6b5942ab45f951b161[0] table[0] refactor[0] cartesianmatchengine[0] now[0] tidier[0] and[0] easier[0] to[0] extend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
804 commit 347bfa7e04128535235343206c62e6a8a4e833f6 table: refactor some cartesian matchengine classes for better reuse 	804 commit 347bfa7e04128535235343206c62e6a8a4e833f6 table: refactor some cartesian matchengine classes for better reuse	1	-1	 804[0] commit[0] 347bfa7e04128535235343206c62e6a8a4e833f6[0] table[0] refactor[0] some[0] cartesian[0] matchengine[0] classes[0] for[0] better[0] reuse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1093 commit f2bc62f45d4e73c6c9b106d508a7721ca1dca2b6 vo: refactor the tap dialogue into two classes. there's now a separate cached component for each tap service url. 	1093 commit f2bc62f45d4e73c6c9b106d508a7721ca1dca2b6 vo: refactor the tap dialogue into two classes.<br> there's now a separate cached component for each tap service url.	1	-1	 1093[0] commit[0] f2bc62f45d4e73c6c9b106d508a7721ca1dca2b6[0] vo[0] refactor[0] the[0] tap[0] dialogue[0] into[0] two[0] classes[0] [[Sentence=-1,1=word max, 1-5]] there's[0] now[0] a[0] separate[0] cached[0] component[0] for[0] each[0] tap[0] service[0] url[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1653 commit c80542b78cc68446f28428ed7f8c2365e221a750 ttools: add parameters to crossmatch tasks for match engine tuning (mostly bin size adjustment) 	1653 commit c80542b78cc68446f28428ed7f8c2365e221a750 tools: add parameters to crossmatch tasks for match engine tuning (mostly bin size adjustment)	1	-1	 1653[0] commit[0] c80542b78cc68446f28428ed7f8c2365e221a750[0] ttools/tools[0] add[0] parameters[0] to[0] crossmatch[0] tasks[0] for[0] match[0] engine[0] tuning[0] mostly[0] bin[0] size[0] adjustment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2822 commit 226c1a1c54237d63d800866c045794a4a270c98c refactor jelrowreader into generic superclass jelrowreader and startable-specific subclass jelstartablerowreader 	2822 commit 226c1a1c54237d63d800866c045794a4a270c98c refactor jelrowreader into generic superclass jelrowreader and startable-specific subclass jelstartablerowreader	1	-1	 2822[0] commit[0] 226c1a1c54237d63d800866c045794a4a270c98c[0] refactor[0] jelrowreader[0] into[0] generic[0] superclass[0] jelrowreader[0] and[0] startable[0] specific[0] subclass[0] jelstartablerowreader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3454 commit c871fa4fbe3eb65c27eebb57b4a7fbccceaaa2fd refactor methods slightly 	3454 commit c871fa4fbe3eb65c27eebb57b4a7fbccea2fd refactor methods slightly	2	-1	 3454[0] commit[0] c871fa4fbe3eb65c27eebb57b4a7fbccceaaa2fd/c871fa4fbe3eb65c27eebb57b4a7fbccea2fd[0][+0.6 MultipleLetters] refactor[0] methods[0] slightly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3577 commit 0745b495ac94487cb412f232dfce2eac1b674710 add recalculateall method and refactor to make local use. 	3577 commit 0745b495ac94487cb412f232dfce2eac1b674710 add recalculateall method and refactor to make local use.	1	-1	 3577[0] commit[0] 0745b495ac94487cb412f232dfce2eac1b674710[0] add[0] recalculateall[0] method[0] and[0] refactor[0] to[0] make[0] local[0] use[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4006 commit 78ea1f1fc9f0071c2f582edaaaa9694d044fde7f add method to return a picked axis (and refactor to make use of it). 	4006 commit 78ea1f1fc9f0071c2f582eda9694d044fde7f add method to return a picked axis (and refactor to make use of it)	2	-1	 4006[0] commit[0] 78ea1f1fc9f0071c2f582edaaaa9694d044fde7f/78ea1f1fc9f0071c2f582eda9694d044fde7f[0][+0.6 MultipleLetters] add[0] method[0] to[0] return[0] a[0] picked[0] axis[0] and[0] refactor[0] to[0] make[0] use[0] of[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4679 commit de2e5cfff48ac01a6b2a729bf6032a83f8d70d1b refactored plastichub into two classes: minimalhub which contains the actual hub workings only, and plastichub which contains additional features such as logging and a main() method and so on. the main purpose of this is to make it clear to see exactly what is involved in writing a hub. 	4679 commit de2e5cff48ac01a6b2a729bf6032a83f8d70d1b refactored plastichub into two classes: minimalhub which contains the actual hub workings only, and plastichub which contains additional features such as logging and a main( method and so on.<br> the main purpose of this is to make it clear to see exactly what is involved in writing a hub.	1	-1	 4679[0] commit[0] de2e5cfff48ac01a6b2a729bf6032a83f8d70d1b/de2e5cff48ac01a6b2a729bf6032a83f8d70d1b[0] refactored[0] plastichub[0] into[0] two[0] classes[0] minimalhub[0] which[0] contains[0] the[0] actual[0] hub[0] workings[0] only[0] and[0] plastichub[0] which[0] contains[0] additional[0] features[0] such[0] as[0] logging[0] and[0] a[0] main[0] method[0] and[0] so[0] on[0] [[Sentence=-1,1=word max, 1-5]] the[0] main[0] purpose[0] of[0] this[0] is[0] to[0] make[0] it[0] clear[0] to[0] see[0] exactly[0] what[0] is[0] involved[0] in[0] writing[0] a[0] hub[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
