Extract Method	Translation	Positive	Negative	EmotionRationale
149 commit 4a879f2d1bb6f07c84c418df6f33236935745f90 added tests, refactoring 	149 commit 4a879f2d1bb6f07c84c418df6f33236935745f90 added tests, refactoring	1	-1	 149[0] commit[0] 4a879f2d1bb6f07c84c418df6f33236935745f90[0] added[0] tests[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
920 commit 05d98d091b5e0279a778b8c8c9538ee61b2c8350 restructure parameters associated with data-day and source product filtering, inline binningconfig 	920 commit 05d98d091b5e0279a778b8c8c9538ee61b2c8350 restructure parameters associated with data-day and source product filtering, inline binningconfig	1	-2	 920[0] commit[0] 05d98d091b5e0279a778b8c8c9538ee61b2c8350[0] restructure[0] parameters[0] associated[0] with[0] data[0] day[0] and[0] source[-1] product[0] filtering[0] inline[0] binningconfig[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
923 commit af0ae19a9e2c4da2193a186389dc085ceeaee701 started refactoring of gui main menu 	923 commit af0ae19a9e2c4da2193a186389dc085ceeaee701 started refactoring of gui main menu	1	-1	 923[0] commit[0] af0ae19a9e2c4da2193a186389dc085ceeaee701[0] started[0] refactoring[0] of[0] gui[0] main[0] menu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1167 commit 9419d2362954e44da63ae42e1a73b49756bdafbc refactoring and new test 	1167 commit 9419d2362954e44da63ae42e1a73b49756bdafbc refactoring and new test	1	-1	 1167[0] commit[0] 9419d2362954e44da63ae42e1a73b49756bdafbc[0] refactoring[0] and[0] new[0] test[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1696 commit d1cc65f04b91b007bc77fc170f56cda742c06474 refactored json file structure 	1696 commit d1cc65f04b91b007bc77fc170f56cda742c06474 refactored json file structure	1	-1	 1696[0] commit[0] d1cc65f04b91b007bc77fc170f56cda742c06474[0] refactored[0] json[0] file[0] structure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1720 commit 08acbe921c8cd4f4d19b12a425323ec3c3a3d44c minor refactorings 	1720 commit 08acbe921c8cd4f4d19b12a425323ec3c3a3d44c minor refactorings	1	-1	 1720[0] commit[0] 08acbe921c8cd4f4d19b12a425323ec3c3a3d44c[0] minor[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2296 commit 9c8495343725944844390fcf3dbb33adde0902d4 [suhet] spectrumtoolview refactoring 	2296 commit 9c8495343725944844390fcf3dbb33adde0902d4 [suhet] spectrumtoolview refactoring	1	-1	 2296[0] commit[0] 9c8495343725944844390fcf3dbb33adde0902d4[0] [suhet][0] spectrumtoolview[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2522 commit 92f55efd243068313e5b1789386291e706145579 multiple refactorings; using getdata instead of gettile to retrieve image data (cherry-picked from edc7921) 	2522 commit 92f55efd243068313e5b1789386291e706145579 multiple refactorings; using getdata instead of gettile to retrieve image data (cherry-picked from edc7921)	1	-1	 2522[0] commit[0] 92f55efd243068313e5b1789386291e706145579[0] multiple[0] refactorings[0] using[0] getdata[0] instead[0] of[0] gettile[0] to[0] retrieve[0] image[0] data[0] cherry[0] picked[0] from[0] edc7921[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2524 commit edc7921853e4b61511e7d0c629b3d49781468dff multiple refactorings; using getdata instead of gettile to retrieve image data 	2524 commit edc7921853e4b61511e7d0c629b3d49781468dff multiple refactorings; using getdata instead of gettile to retrieve image data	1	-1	 2524[0] commit[0] edc7921853e4b61511e7d0c629b3d49781468dff[0] multiple[0] refactorings[0] using[0] getdata[0] instead[0] of[0] gettile[0] to[0] retrieve[0] image[0] data[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2528 commit b8234dee8fd24c4f2273c59a3f7490a17b5eac11 refactoring: extracted methods; added test (cherry-picked from e211118) 	2528 commit b8234dee8fd24c4f2273c59a3f7490a17b5eac11 refactoring: extracted methods; added test (cherry-picked from e2118)	2	-1	 2528[0] commit[0] b8234dee8fd24c4f2273c59a3f7490a17b5eac11[0] refactoring[0] extracted[0] methods[0] added[0] test[0] cherry[0] picked[0] from[0] e211118/e2118[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
