Extract Method	Translation	Positive	Negative	EmotionRationale
220 commit 964d684c724f6561bf52fe71f036886693a2b733 quercus refactor servlet usage in quercus 	220 commit 964d684c724f6561bf52fe71f036886693a2b733 quercus refactor servlet usage in quercus	1	-1	 220[0] commit[0] 964d684c724f6561bf52fe71f036886693a2b733[0] quercus[0] refactor[0] servlet[0] usage[0] in[0] quercus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1172 commit 20c4999ef6cdc4aafb199e4b0aba88aada68fed5 quercus pdo refactor to use existing quercus db lib 	1172 commit 20c499ef6cdc4afb199e4b0aba88ada68fed5 quercus pdo refactor to use existing quercus db lib	2	-1	 1172[0] commit[0] 20c4999ef6cdc4aafb199e4b0aba88aada68fed5/20c499ef6cdc4afb199e4b0aba88ada68fed5[0][+0.6 MultipleLetters] quercus[0] pdo[0] refactor[0] to[0] use[0] existing[0] quercus[0] db[0] lib[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1189 commit 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1 cache refactor 	1189 commit 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1 cache refactor	1	-1	 1189[0] commit[0] 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1220 commit 7f097f291d0274d28db1ccc11f3a4306973983cb cache proxy/actor refactor 	1220 commit 7f097f291d0274d28db1cc11f3a4306973983cb cache proxy/actor refactor	1	-1	 1220[0] commit[0] 7f097f291d0274d28db1ccc11f3a4306973983cb/7f097f291d0274d28db1cc11f3a4306973983cb[0] cache[0] proxy/actor[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1259 commit 455d013e0396f02ed5483311b8f7e1a6b011c37d quercus  a[][foo]    b fix and code cleanup 	1259 commit 455d013e0396f02ed5483311b8f7e1a6b011c37d quercus  a[][foo]    b fix and code cleanup	1	-1	 1259[0] commit[0] 455d013e0396f02ed5483311b8f7e1a6b011c37d[0] quercus[0] a[][foo][0] b[0] fix[0] and[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1699 commit 0b4088ef8cc09b2d642d1eb6819a6db716420575 resin config partial refactor 	1699 commit 0b4088ef8cc09b2d642d1eb6819a6db716420575 resin config partial refactor	1	-1	 1699[0] commit[0] 0b4088ef8cc09b2d642d1eb6819a6db716420575[0] resin[0] config[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1843 commit 3c826dc465331a2bd6e005a3a3ef2b0d866bfcb4 refactor health to event-based 	1843 commit 3c826dc465331a2bd6e005a3a3ef2b0d866bfcb4 refactor health to event-based	1	-1	 1843[0] commit[0] 3c826dc465331a2bd6e005a3a3ef2b0d866bfcb4[0] refactor[0] health[0] to[0] event[0] based[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1885 commit 5ddb0c1ea9bf2267c8fb6b5a1813c0ac501b066b cache refactor 	1885 commit 5ddb0c1ea9bf2267c8fb6b5a1813c0ac501b066b cache refactor	1	-1	 1885[0] commit[0] 5ddb0c1ea9bf2267c8fb6b5a1813c0ac501b066b[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2542 commit 7b82257939260f470b0e10dded0d564731a889e2 misc bugs, threading refactor, mmap experiment 	2542 commit 7b82257939260f470b0e10dded0d564731a889e2 misc bugs, threading refactor, map experiment	1	-1	 2542[0] commit[0] 7b82257939260f470b0e10dded0d564731a889e2[0] misc[0] bugs[0] threading[0] refactor[0] mmap/map[0] experiment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2638 commit 1aa455abc938d88ea8ba70842cc4e8c6baa21b04 xa/pool refactoring 	2638 commit 1a455abc938d88ea8ba70842cc4e8c6ba21b04 xa/pool refactoring	2	-1	 2638[0] commit[0] 1aa455abc938d88ea8ba70842cc4e8c6baa21b04/1a455abc938d88ea8ba70842cc4e8c6ba21b04[0][+0.6 MultipleLetters] xa/pool[0] refactoring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression 	2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression	1	-1	 2704[0] commit[0] d7135c3f58daea759f8f2605e13eba56f89265e3[0] deployment[0] refactoring[0] and[0] regression[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2900 commit 570aae19f4a103a3ff8ecac96622323884367b1a bam/htmp authentication refactor 	2900 commit 570ae19f4a103a3ff8ecac96622323884367b1a bam/htmp authentication refactor	1	-1	 2900[0] commit[0] 570aae19f4a103a3ff8ecac96622323884367b1a/570ae19f4a103a3ff8ecac96622323884367b1a[0] bam/htmp[0] authentication[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2914 commit fb502e0dfdda6260ff370ac25b296c59b1de0e6c thread pool stress refactor 	2914 commit fb502e0dfdda6260ff370ac25b296c59b1de0e6c thread pool stress refactor	1	-2	 2914[0] commit[0] fb502e0dfdda6260ff370ac25b296c59b1de0e6c[0] thread[0] pool[0] stress[-1] refactor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model 	3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model	1	-1	 3090[0] commit[0] a4b0e029f9eff08536a0eab92e376d2fb5ce7a40[0] ejb[0] refactor[0] for[0] new[0] proxy[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3178 commit dacb6fb872c32446c5341be806dede2353a11e5d ejb refactor: apiclass to annotatedtype 	3178 commit dacb6fb872c32446c5341be806dede2353a11e5d ejb refactor: apiclass to annotatedtype	1	-1	 3178[0] commit[0] dacb6fb872c32446c5341be806dede2353a11e5d[0] ejb[0] refactor[0] apiclass[0] to[0] annotatedtype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3525 commit 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f quercus class/expr refactor 	3525 commit 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f quercus class/expr refactor	1	-1	 3525[0] commit[0] 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f[0] quercus[0] class/expr[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3546 commit 3f31b23272f601d8761924dad1dc82c6c2881ae6 quercus class::field refactor 	3546 commit 3f31b23272f601d8761924dad1dc82c6c2881ae6 quercus class:field refactor	1	-1	 3546[0] commit[0] 3f31b23272f601d8761924dad1dc82c6c2881ae6[0] quercus[0] class[0] field[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3663 commit 5f615beea7e90a538a9f4f477e8e5403c3ac49bf pro service registration changes with bam refactor 	3663 commit 5f615beea7e90a538a9f4f477e8e5403c3ac49bf pro service registration changes with bam refactor	1	-1	 3663[0] commit[0] 5f615beea7e90a538a9f4f477e8e5403c3ac49bf[0] pro[0] service[0] registration[0] changes[0] with[0] bam[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3953 commit c44e49ed196912ef3f75ef118b9c767d3081e375 c:import char encoding refactor 	3953 commit c44e49ed196912ef3f75ef118b9c767d3081e375 c:import char encoding refactor	1	-1	 3953[0] commit[0] c44e49ed196912ef3f75ef118b9c767d3081e375[0] c[0] import[0] char[0] encoding[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4114 commit 8ed66e5cc240675dfe5f09827a18da0756398840 resin shutdown refactor 	4114 commit 8ed66e5cc240675dfe5f09827a18da0756398840 resin shutdown refactor	1	-1	 4114[0] commit[0] 8ed66e5cc240675dfe5f09827a18da0756398840[0] resin[0] shutdown[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
