Extract and Move Method	Translation	Positive	Negative	EmotionRationale
1189 commit 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1 cache refactor 	1189 commit 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1 cache refactor	1	-1	 1189[0] commit[0] 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1279 commit 88dc6060998702bbeb782f45adab0de3d6a4c144 quercus jdbc fixes, php/03mm fix, and code cleanup 	1279 commit 88dc6060998702bbeb782f45adab0de3d6a4c144 quercus jdbc fixes, php/03m fix, and code cleanup	1	-1	 1279[0] commit[0] 88dc6060998702bbeb782f45adab0de3d6a4c144[0] quercus[0] jdbc[0] fixes[0] php/03mm/php/03m[0] fix[0] and[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1288 commit 4e9cd026a947e9f77b8e07b7ab0f3dd3baa7d418 amp refactor, bam partial proxy 	1288 commit 4e9cd026a947e9f77b8e07b7ab0f3dd3ba7d418 amp refactor, bam partial proxy	1	-1	 1288[0] commit[0] 4e9cd026a947e9f77b8e07b7ab0f3dd3baa7d418/4e9cd026a947e9f77b8e07b7ab0f3dd3ba7d418[0] amp[0] refactor[0] bam[0] partial[0] proxy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression 	2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression	1	-1	 2704[0] commit[0] d7135c3f58daea759f8f2605e13eba56f89265e3[0] deployment[0] refactoring[0] and[0] regression[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2902 commit 57ef6276b612f0f9446a9ed1a12b1db66948cc1e hmtp/watchdog security refactor 	2902 commit 57ef6276b612f0f9446a9ed1a12b1db66948cc1e hmtp/watchdog security refactor	1	-1	 2902[0] commit[0] 57ef6276b612f0f9446a9ed1a12b1db66948cc1e[0] hmtp/watchdog[0] security[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model 	3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model	1	-1	 3090[0] commit[0] a4b0e029f9eff08536a0eab92e376d2fb5ce7a40[0] ejb[0] refactor[0] for[0] new[0] proxy[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3121 commit 438ca530719af9c7c1e783fcc649dc45d36afe88 ejb view refactoring 	3121 commit 438ca530719af9c7c1e783fcc649dc45d36afe88 ejb view refactoring	1	-1	 3121[0] commit[0] 438ca530719af9c7c1e783fcc649dc45d36afe88[0] ejb[0] view[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3139 commit 75d08e75cc32a71f1412be971470042577577253 quercus alarm refactor 	3139 commit 75d08e75cc32a71f1412be971470042577577253 quercus alarm refactor	1	-3	 3139[0] commit[0] 75d08e75cc32a71f1412be971470042577577253[0] quercus[0] alarm[-2] refactor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
3525 commit 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f quercus class/expr refactor 	3525 commit 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f quercus class/expr refactor	1	-1	 3525[0] commit[0] 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f[0] quercus[0] class/expr[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3739 commit 64ba1b911ecfed47f2e92629b7ecfe6646544e54 ejb refactor/applicationexception cleanup 	3739 commit 64ba1b911ecfed47f2e92629b7ecfe6646544e54 ejb refactor/applicationexception cleanup	1	-1	 3739[0] commit[0] 64ba1b911ecfed47f2e92629b7ecfe6646544e54[0] ejb[0] refactor/applicationexception[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
