Extract Method	Translation	Positive	Negative	EmotionRationale
199 commit bbd69c534b176f3e3ff58f2d73ea721ad5f2d477 create policy refactored 	199 commit bbd69c534b176f3e3ff58f2d73ea721ad5f2d477 create policy refactored	1	-1	 199[0] commit[0] bbd69c534b176f3e3ff58f2d73ea721ad5f2d477[0] create[0] policy[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
783 commit dd565d7bba49fa690e20589f17484c7559c36888 versionablev3 made accessible also when resource has implemented versionablev2 and append workflow information refactored 	783 commit dd565d7bba49fa690e20589f17484c7559c3688 versionablev3 made accessible also when resource has implemented versionablev2 and append workflow information refactored	1	-1	 783[0] commit[0] dd565d7bba49fa690e20589f17484c7559c36888/dd565d7bba49fa690e20589f17484c7559c3688[0] versionablev3[0] made[0] accessible[0] also[0] when[0] resource[0] has[0] implemented[0] versionablev2[0] and[0] append[0] workflow[0] information[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
982 commit 82c48ee22d1feb0be0144ae5508b138809c19d5b get source document refactored 	982 commit 82c48ee22d1feb0be0144ae5508b138809c19d5b get source document refactored	1	-2	 982[0] commit[0] 82c48ee22d1feb0be0144ae5508b138809c19d5b[0] get[0] source[-1] document[0] refactored[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1022 commit 8595550203f11172113f288ccffb980e17339fc0 xml generation refactored 	1022 commit 859550203f1172113f288ccffb980e17339fc0 xml generation refactored	2	-1	 1022[0] commit[0] 8595550203f11172113f288ccffb980e17339fc0/859550203f1172113f288ccffb980e17339fc0[0][+0.6 MultipleLetters] xml[0] generation[0] refactored[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1369 commit 96a353264e3d12fdd0c3d8cdfbe8f20d54477c66 get user refactored and made overwritable 	1369 commit 96a353264e3d12fdd0c3d8cdfbe8f20d54477c66 get user refactored and made overwritable	1	-1	 1369[0] commit[0] 96a353264e3d12fdd0c3d8cdfbe8f20d54477c66[0] get[0] user[0] refactored[0] and[0] made[0] overwritable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1381 commit 5685b899aa60925356afb6679500275809678037 validation of fields refactored 	1381 commit 5685b899a60925356afb6679500275809678037 validation of fields refactored	1	-1	 1381[0] commit[0] 5685b899aa60925356afb6679500275809678037/5685b899a60925356afb6679500275809678037[0] validation[0] of[0] fields[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1400 commit b6c6c6aff2fd7b723b474e9fedce4e9a9137a4e6 get annotations refactored 	1400 commit b6c6c6aff2fd7b723b474e9fedce4e9a9137a4e6 get annotations refactored	1	-1	 1400[0] commit[0] b6c6c6aff2fd7b723b474e9fedce4e9a9137a4e6[0] get[0] annotations[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1407 commit 82437a47212487048070744a535fb7a4b012f389 change password link refactored 	1407 commit 82437a47212487048070744a535fb7a4b012f389 change password link refactored	1	-1	 1407[0] commit[0] 82437a47212487048070744a535fb7a4b012f389[0] change[0] password[0] link[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1421 commit b543ebb6021da227a54d64d99ed2c6353e6d1902 dom documented refactored such that it can be overwritten 	1421 commit b543ebb6021da227a54d64d99ed2c6353e6d1902 dom documented refactored such that it can be overwritten	1	-1	 1421[0] commit[0] b543ebb6021da227a54d64d99ed2c6353e6d1902[0] dom[0] documented[0] refactored[0] such[0] that[0] it[0] can[0] be[0] overwritten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1471 commit ecc6ed41f1dd787a6d7362630485ca5ebf3706e8 registeruser refactored by splitting into smaller methods 	1471 commit ecc6ed41f1dd787a6d7362630485ca5ebf3706e8 registeruser refactored by splitting into smaller methods	1	-1	 1471[0] commit[0] ecc6ed41f1dd787a6d7362630485ca5ebf3706e8[0] registeruser[0] refactored[0] by[0] splitting[0] into[0] smaller[0] methods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
