Push Down Method	Translation	Positive	Negative	EmotionRationale
1172 commit 20c4999ef6cdc4aafb199e4b0aba88aada68fed5 quercus pdo refactor to use existing quercus db lib 	1172 commit 20c499ef6cdc4afb199e4b0aba88ada68fed5 quercus pdo refactor to use existing quercus db lib	2	-1	 1172[0] commit[0] 20c4999ef6cdc4aafb199e4b0aba88aada68fed5/20c499ef6cdc4afb199e4b0aba88ada68fed5[0][+0.6 MultipleLetters] quercus[0] pdo[0] refactor[0] to[0] use[0] existing[0] quercus[0] db[0] lib[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model 	3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model	1	-1	 3090[0] commit[0] a4b0e029f9eff08536a0eab92e376d2fb5ce7a40[0] ejb[0] refactor[0] for[0] new[0] proxy[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3095 commit 95a617560a195759aaa1f184341d7f58b007db5c ejb gen/view refactor 	3095 commit 95a617560a195759a1f184341d7f58b007db5c ejb gen/view refactor	2	-1	 3095[0] commit[0] 95a617560a195759aaa1f184341d7f58b007db5c/95a617560a195759a1f184341d7f58b007db5c[0][+0.6 MultipleLetters] ejb[0] gen/view[0] refactor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3525 commit 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f quercus class/expr refactor 	3525 commit 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f quercus class/expr refactor	1	-1	 3525[0] commit[0] 0c1fe78f769fd18ecaff231665f1fb6e9ef6227f[0] quercus[0] class/expr[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3769 commit 32ef28f0efb265a4ecd7b1b65b7d7b4f1dc08d21 bam refactor cleanup 	3769 commit 32ef28f0efb265a4ecd7b1b65b7d7b4f1dc08d21 bam refactor cleanup	1	-1	 3769[0] commit[0] 32ef28f0efb265a4ecd7b1b65b7d7b4f1dc08d21[0] bam[0] refactor[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4231 commit 37f1388dfa9a3d4502a1a5b6fc077e164db88d3f response/stream refactor 	4231 commit 37f1388dfa9a3d4502a1a5b6fc077e164db88d3f response/stream refactor	1	-1	 4231[0] commit[0] 37f1388dfa9a3d4502a1a5b6fc077e164db88d3f[0] response/stream[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4723 commit 4cdef8ca6864679d05e2098fdf3bf2cb141d7b33 jms refactor 	4723 commit 4cdef8ca6864679d05e2098fdf3bf2cb141d7b33 jms refactor	1	-1	 4723[0] commit[0] 4cdef8ca6864679d05e2098fdf3bf2cb141d7b33[0] jms[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6378 commit 3224d1fbd9eb50bf2f47c23bb7f7ba820a989112 ejb refactor - remote, interceptor 	6378 commit 3224d1fbd9eb50bf2f47c23bb7f7ba820a989112 ejb refactor - remote, interceptor	1	-1	 6378[0] commit[0] 3224d1fbd9eb50bf2f47c23bb7f7ba820a989112[0] ejb[0] refactor[0] remote[0] interceptor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6381 commit 2c54b53ce504a0125b65e0f1afb1f2fc6764bf51 ejb refactor midpoint checkin 	6381 commit 2c54b53ce504a0125b65e0f1afb1f2fc6764bf51 ejb refactor midpoint checkin	1	-1	 6381[0] commit[0] 2c54b53ce504a0125b65e0f1afb1f2fc6764bf51[0] ejb[0] refactor[0] midpoint[0] checkin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6638 commit 9816cc14d2e4b6680dcdc0975d135cb41b1dbc92 partial ejb fixes/refactoring for seam 	6638 commit 9816cc14d2e4b6680dcdc0975d135cb41b1dbc92 partial ejb fixes/refactoring for seam	1	-1	 6638[0] commit[0] 9816cc14d2e4b6680dcdc0975d135cb41b1dbc92[0] partial[0] ejb[0] fixes/refactoring[0] for[0] seam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8071 commit db180d3f040c81d664eb556ba02ef84f6ae7dee6 amber refactoring: embeddable type; regression cleanup jpa/0w2- 	8071 commit db180d3f040c81d664eb556ba02ef84f6ae7dee6 amber refactoring: embeddable type; regression cleanup jpa/0w2-	1	-1	 8071[0] commit[0] db180d3f040c81d664eb556ba02ef84f6ae7dee6[0] amber[0] refactoring[0] embeddable[0] type[0] regression[0] cleanup[0] jpa/0w2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8858 commit 9935fb92f645706301c520e16c30f18ef89b0d7b quercus db code cleanup 	8858 commit 9935fb92f645706301c520e16c30f18ef89b0d7b quercus db code cleanup	1	-1	 8858[0] commit[0] 9935fb92f645706301c520e16c30f18ef89b0d7b[0] quercus[0] db[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8887 commit d98854a50d9716a4590615424ce3c473ad9e6f3d lib.db refactoring 	887 commit d98854a50d9716a4590615424ce3c473ad9e6f3d lib.<br>db refactoring	1	-1	 8887/887[0] commit[0] d98854a50d9716a4590615424ce3c473ad9e6f3d[0] lib[0] [[Sentence=-1,1=word max, 1-5]] db[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
