Move Class	Translation	Positive	Negative	EmotionRationale
96 commit ee7e8f218d8ba0411e0d28c866854502a24f1f69 openejb-1981 basic refactoring of applicationcomposer to move it over testing package   marking annotations of application as deprecated in junit package   adding a testng listener 	96 commit ee7e8f218d8ba0411e0d28c866854502a24f1f69 openejb-1981 basic refactoring of applicationcomposer to move it over testing package   marking annotations of application as deprecated in junit package   adding a testng listener	1	-1	 96[0] commit[0] ee7e8f218d8ba0411e0d28c866854502a24f1f69[0] openejb[0] -1981[0] basic[0] refactoring[0] of[0] applicationcomposer[0] to[0] move[0] it[0] over[0] testing[0] package[0] marking[0] annotations[0] of[0] application[0] as[0] deprecated[0] in[0] junit[0] package[0] adding[0] a[0] testng[0] listener[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1253 commit 9f9ecd6d476edc943ec95a24eaee93c051d78d6d openejb-1877 jdbc package refactoring for consistency 	1253 commit 9f9ecd6d476edc943ec95a24eaee93c051d78d6d openejb-1877 jdbc package refactoring for consistency	1	-1	 1253[0] commit[0] 9f9ecd6d476edc943ec95a24eaee93c051d78d6d[0] openejb[0] -1877[0] jdbc[0] package[0] refactoring[0] for[0] consistency[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2174 commit 9f3092a7dffa0880deae0514fe21521e96a47ca4 openejb-1768 refactor. move class to more appropriate package 	2174 commit 9f3092a7dffa0880deae0514fe21521e96a47ca4 openejb-1768 refactor.<br> move class to more appropriate package	1	-1	 2174[0] commit[0] 9f3092a7dffa0880deae0514fe21521e96a47ca4[0] openejb[0] -1768[0] refactor[0] [[Sentence=-1,1=word max, 1-5]] move[0] class[0] to[0] more[0] appropriate[0] package[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2643 commit 97ea4af0c1f073bd298210d6fac89b5134d942d1 small refactoring to be able to manage http provisioning in a single class 	2643 commit 97ea4af0c1f073bd298210d6fac89b5134d942d1 small refactoring to be able to manage http provisioning in a single class	1	-1	 2643[0] commit[0] 97ea4af0c1f073bd298210d6fac89b5134d942d1[0] small[0] refactoring[0] to[0] be[0] able[0] to[0] manage[0] http[0] provisioning[0] in[0] a[0] single[0] class[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2873 commit 86fe907a0ecf7b48aa51741b651c2dd91aa1b70a big refactoring on svn structure. trying to be more consistent. cleaning container module. moving tomee to the same level than arquillian. creating an osgi module (for integration   maybe karaf commands   maybe karafee...). moving spring and hibernate integration modules in utils since it is not directly related to openejb or tomee. 	2873 commit 86fe907a0ecf7b48a51741b651c2dd91a1b70a big refactoring on svn structure.<br> trying to be more consistent.<br> cleaning container module.<br> moving tome to the same level than arquillian.<br> creating an osgi module (for integration   maybe karaf commands   maybe karafee.<br> moving spring and hibernate integration modules in utils since it is not directly related to openejb or tome.	2	-1	 2873[0] commit[0] 86fe907a0ecf7b48aa51741b651c2dd91aa1b70a/86fe907a0ecf7b48a51741b651c2dd91a1b70a[0][+0.6 MultipleLetters] big[0] refactoring[0] on[0] svn[0] structure[0] [[Sentence=-1,2=word max, 1-5]] trying[0] to[0] be[0] more[0] consistent[0] [[Sentence=-1,1=word max, 1-5]] cleaning[0] container[0] module[0] [[Sentence=-1,1=word max, 1-5]] moving[0] tomee/tome[0] to[0] the[0] same[0] level[0] than[0] arquillian[0] [[Sentence=-1,1=word max, 1-5]] creating[0] an[0] osgi[0] module[0] for[0] integration[0] maybe[0] karaf[0] commands[0] maybe[0] karafee[0] [[Sentence=-1,1=word max, 1-5]] moving[0] spring[0] and[0] hibernate[0] integration[0] modules[0] in[0] utils[0] since[0] it[0] is[0] not[0] directly[0] related[0] to[0] openejb[0] or[0] tomee/tome[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
3298 commit caaad95c6c1bd0f8db6d139c045fd3412993eb8d openejb-1687 lots of test refactoring. current results: embedded: tests run: 82, failures: 6, errors: 2, skipped: 0 remote: tests run: 82, failures: 8, errors: 5, skipped: 0 	3298 commit cad95c6c1bd0f8db6d139c045fd3412993eb8d openejb-1687 lots of test refactoring.<br> current results: embedded: tests run: 82, failures: 6, errors: 2, skipped: 0 remote: tests run: 82, failures: 8, errors: 5, skipped: 0	2	-1	 3298[0] commit[0] caaad95c6c1bd0f8db6d139c045fd3412993eb8d/cad95c6c1bd0f8db6d139c045fd3412993eb8d[0][+0.6 MultipleLetters] openejb[0] -1687[0] lots[0] of[0] test[0] refactoring[0] [[Sentence=-1,2=word max, 1-5]] current[0] results[0] embedded[0] tests[0] run[0] 82[0] failures[0] 6[0] errors[0] 2[0] skipped[0] 0[0] remote[0] tests[0] run[0] 82[0] failures[0] 8[0] errors[0] 5[0] skipped[0] 0[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
3586 commit e00c1f3d2aad114c184931b5341b9a6ef199258e switched to tomcat 7.0.16 to match trunk bunch of renaming and refactoring.. not quite finished, but in progress 	3586 commit e00c1f3d2ad114c184931b5341b9a6ef199258e switched to tomcat 7.0.16 to match trunk bunch of renaming and refactoring.<br> not quite finished, but in progress	1	-1	 3586[0] commit[0] e00c1f3d2aad114c184931b5341b9a6ef199258e/e00c1f3d2ad114c184931b5341b9a6ef199258e[0] switched[0] to[0] tomcat[0] 7[0] .0[0] .16[0] to[0] match[0] trunk[0] bunch[0] of[0] renaming[0] and[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]] not[0] quite[0] finished[0] but[0] in[0] progress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3930 commit 4c9934979c5504fea704dfa5aa19a16aca764f4a openejb-1237 openejb rest support - first refactoring to avoid to copy/paste code 	3930 commit 4c9934979c5504fea704dfa5a19a16aca764f4a openejb-1237 openejb rest support - first refactoring to avoid to copy/paste code	1	-2	 3930[0] commit[0] 4c9934979c5504fea704dfa5aa19a16aca764f4a/4c9934979c5504fea704dfa5a19a16aca764f4a[0] openejb[0] -1237[0] openejb[0] rest[0] support[0] first[0] refactoring[0] to[0] avoid[-1] to[0] copy/paste[0] code[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
3979 commit a2e496f39ff41859dec87ab6b2253f597f2fd267 refactoring a bit tck module, modifying bval tcks module still some work todo... 	3979 commit a2e496f39ff41859dec87ab6b2253f597f2fd267 refactoring a bit tck module, modifying bval tcks module still some work todo.	1	-1	 3979[0] commit[0] a2e496f39ff41859dec87ab6b2253f597f2fd267[0] refactoring[0] a[0] bit[0] tck[0] module[0] modifying[0] bval[0] tcks[0] module[0] still[0] some[0] work[0] todo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4745 commit f02d7a7198ab843726bd5ea73c0c09679ce8617d split invocation stats and pool stats into different test cases. stubbed out more test methods. refactored the "testadvanced" test into the overdraft test. 	4745 commit f02d7a7198ab843726bd5ea73c0c09679ce8617d split invocation stats and pool stats into different test cases.<br> stubbed out more test methods.<br> refactored the "testadvanced" test into the overdraft test.	1	-1	 4745[0] commit[0] f02d7a7198ab843726bd5ea73c0c09679ce8617d[0] split[0] invocation[0] stats[0] and[0] pool[0] stats[0] into[0] different[0] test[0] cases[0] [[Sentence=-1,1=word max, 1-5]] stubbed[0] out[0] more[0] test[0] methods[0] [[Sentence=-1,1=word max, 1-5]] refactored[0] the[0] testadvanced[0] test[0] into[0] the[0] overdraft[0] test[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
