Move Class	Translation	Positive	Negative	EmotionRationale
607 commit 26154bd9a2d2437ca3625be18d0938743b011460 (tests) refactoring on test packages, to execute tests more easily (from command line / ci server) 	607 commit 26154bd9a2d2437ca3625be18d0938743b011460 (tests) refactoring on test packages, to execute tests more easily (from command line / ci server)	1	-1	 607[0] commit[0] 26154bd9a2d2437ca3625be18d0938743b011460[0] tests[0] refactoring[0] on[0] test[0] packages[0] to[0] execute[0] tests[0] more[0] easily[0] from[0] command[0] line[0] /[0] ci[0] server[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
619 commit 1e65a75c8205b8d2eabe36c9f9159cee92f2f216 (refactoring) move java tests classes to 2 different packages 	619 commit 1e65a75c8205b8d2eabe36c9f9159cee92f2f216 (refactoring) move java tests classes to 2 different packages	1	-1	 619[0] commit[0] 1e65a75c8205b8d2eabe36c9f9159cee92f2f216[0] refactoring[0] move[0] java[0] tests[0] classes[0] to[0] 2[0] different[0] packages[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1190 commit 4ab2d80a4c1ec52243c508e9dee91bc5482a5a92 (gui) refactoring. merge wizards and dialogs packages 	1190 commit 4ab2d80a4c1ec52243c508e9dee91bc5482a5a92 (gui) refactoring.<br> merge wizards and dialogs packages	1	-1	 1190[0] commit[0] 4ab2d80a4c1ec52243c508e9dee91bc5482a5a92[0] gui[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]] merge[0] wizards[0] and[0] dialogs[0] packages[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3616 commit a2c7ba2ceadcd245f15377741a1f4aa9aabbe3ef (refactoring) moved some classes out of net.sf.orcc.util into more appropriate packages 	3616 commit a2c7ba2ceadcd245f1537741a1f4a9abbe3ef (refactoring) moved some classes out of net.<br>sf.<br>orc.<br>util into more appropriate packages	2	-1	 3616[0] commit[0] a2c7ba2ceadcd245f15377741a1f4aa9aabbe3ef/a2c7ba2ceadcd245f1537741a1f4a9abbe3ef[0][+0.6 MultipleLetters] refactoring[0] moved[0] some[0] classes[0] out[0] of[0] net[0] [[Sentence=-1,2=word max, 1-5]] sf[0] [[Sentence=-1,1=word max, 1-5]] orcc/orc[0] [[Sentence=-1,1=word max, 1-5]] util[0] into[0] more[0] appropriate[0] packages[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
4227 commit af493fc23d0fcf75928f439f3eaed00f85c7b50a (refactoring) moved entity and unit to net.sf.orcc.df package. seems more logical, since actors and networks were already there. now the ir package only contains the intra-procedural ir. 	4227 commit af493fc23d0fcf75928f439f3eaed00f85c7b50a (refactoring) moved entity and unit to net.<br>sf.<br>orc.<br>df package.<br> seems more logical, since actors and networks were already there.<br> now the ir package only contains the intra-procedural ir.	1	-1	 4227[0] commit[0] af493fc23d0fcf75928f439f3eaed00f85c7b50a[0] refactoring[0] moved[0] entity[0] and[0] unit[0] to[0] net[0] [[Sentence=-1,1=word max, 1-5]] sf[0] [[Sentence=-1,1=word max, 1-5]] orcc/orc[0] [[Sentence=-1,1=word max, 1-5]] df[0] package[0] [[Sentence=-1,1=word max, 1-5]] seems[0] more[0] logical[0] since[0] actors[0] and[0] networks[0] were[0] already[0] there[0] [[Sentence=-1,1=word max, 1-5]] now[0] the[0] ir[0] package[0] only[0] contains[0] the[0] intra[0] procedural[0] ir[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4259 commit ae828e88cd589bb5ac1eb092f0d77da4332a9d28 (refactoring) moved dataflow-specific information to df model 	4259 commit ae828e88cd589bb5ac1eb092f0d77da4332a9d28 (refactoring) moved dataflow-specific information to df model	1	-1	 4259[0] commit[0] ae828e88cd589bb5ac1eb092f0d77da4332a9d28[0] refactoring[0] moved[0] dataflow[0] specific[0] information[0] to[0] df[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4272 commit 283dfe5bf5143eac263531e89b95fe3f41bf18aa (refactoring) moved net.sf.orcc.network to net.sf.orcc.df. the new package will contain interfaces for the df.ecore (dataflow) meta-model 	4272 commit 283dfe5bf5143eac263531e89b95fe3f41bf18a (refactoring) moved net.<br>sf.<br>orc.<br>network to net.<br>sf.<br>orc.<br>df.<br> the new package will contain interfaces for the df.<br>ecore (dataflow) meta-model	1	-1	 4272[0] commit[0] 283dfe5bf5143eac263531e89b95fe3f41bf18aa/283dfe5bf5143eac263531e89b95fe3f41bf18a[0] refactoring[0] moved[0] net[0] [[Sentence=-1,1=word max, 1-5]] sf[0] [[Sentence=-1,1=word max, 1-5]] orcc/orc[0] [[Sentence=-1,1=word max, 1-5]] network[0] to[0] net[0] [[Sentence=-1,1=word max, 1-5]] sf[0] [[Sentence=-1,1=word max, 1-5]] orcc/orc[0] [[Sentence=-1,1=word max, 1-5]] df[0] [[Sentence=-1,1=word max, 1-5]] the[0] new[0] package[0] will[0] contain[0] interfaces[0] for[0] the[0] df[0] [[Sentence=-1,1=word max, 1-5]] ecore[0] dataflow[0] meta[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4299 commit 1476e2f50cce0372214ce077f89053dc20416c60 refactore ssa/3ac transformations. 	4299 commit 1476e2f50cce0372214ce077f89053dc20416c60 refactore ssa/3ac transformations.	1	-1	 4299[0] commit[0] 1476e2f50cce0372214ce077f89053dc20416c60[0] refactore[0] ssa/3ac[0] transformations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4367 commit 88f4b10357b2cc4a8f919820cdae506552498d70 (front-end) long over-due refactoring in ast to ir transformer. exprtransformer, stmttransformer, and structtransformer are now separate! 	4367 commit 88f4b10357b2cc4a8f919820cdae506552498d70 (front-end) long over-due refactoring in ast to ir transformer.<br> exprtransformer, stmttransformer, and structtransformer are now separate!	1	-1	 4367[0] commit[0] 88f4b10357b2cc4a8f919820cdae506552498d70[0] front[0] end[0] long[0] over[0] due[0] refactoring[0] in[0] ast[0] to[0] ir[0] transformer[0] [[Sentence=-1,1=word max, 1-5]] exprtransformer[0] stmttransformer[0] and[0] structtransformer[0] are[0] now[0] separate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4493 commit 1e84f4a0a27453f5974747e19d0b5b72db4b9236 (back-ends) refactoring printer classes 	4493 commit 1e84f4a0a27453f5974747e19d0b5b72db4b9236 (back-ends) refactoring printer classes	1	-1	 4493[0] commit[0] 1e84f4a0a27453f5974747e19d0b5b72db4b9236[0] back[0] ends[0] refactoring[0] printer[0] classes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
