Extract Superclass	Translation	Positive	Negative	EmotionRationale
1172 commit 20c4999ef6cdc4aafb199e4b0aba88aada68fed5 quercus pdo refactor to use existing quercus db lib 	1172 commit 20c499ef6cdc4afb199e4b0aba88ada68fed5 quercus pdo refactor to use existing quercus db lib	2	-1	 1172[0] commit[0] 20c4999ef6cdc4aafb199e4b0aba88aada68fed5/20c499ef6cdc4afb199e4b0aba88ada68fed5[0][+0.6 MultipleLetters] quercus[0] pdo[0] refactor[0] to[0] use[0] existing[0] quercus[0] db[0] lib[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring 	1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring	1	-1	 1328[0] commit[0] 28d752deec92d70933535568aedd18cd79dcece7[0] amqp[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2542 commit 7b82257939260f470b0e10dded0d564731a889e2 misc bugs, threading refactor, mmap experiment 	2542 commit 7b82257939260f470b0e10dded0d564731a889e2 misc bugs, threading refactor, map experiment	1	-1	 2542[0] commit[0] 7b82257939260f470b0e10dded0d564731a889e2[0] misc[0] bugs[0] threading[0] refactor[0] mmap/map[0] experiment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4114 commit 8ed66e5cc240675dfe5f09827a18da0756398840 resin shutdown refactor 	4114 commit 8ed66e5cc240675dfe5f09827a18da0756398840 resin shutdown refactor	1	-1	 4114[0] commit[0] 8ed66e5cc240675dfe5f09827a18da0756398840[0] resin[0] shutdown[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4263 commit 6365caa76696cf39e80279d1264c682e8328434c connection/port refactor 	4263 commit 6365ca76696cf39e80279d1264c682e8328434c connection/port refactor	1	-1	 4263[0] commit[0] 6365caa76696cf39e80279d1264c682e8328434c/6365ca76696cf39e80279d1264c682e8328434c[0] connection/port[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4918 commit 2f0a7b4d7c96b2c93e1acb642a31445c56373f89 implement memoryqueue based on filequeue implementation. refactor filequeue & memoryqueue implementations to extend from abstractmemoryqueue. 	4918 commit 2f0a7b4d7c96b2c93e1acb642a31445c56373f89 implement memoryqueue based on filequeue implementation.<br> refactor filequeue & memoryqueue implementations to extend from abstractmemoryqueue.	1	-1	 4918[0] commit[0] 2f0a7b4d7c96b2c93e1acb642a31445c56373f89[0] implement[0] memoryqueue[0] based[0] on[0] filequeue[0] implementation[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] filequeue[0] &[0] memoryqueue[0] implementations[0] to[0] extend[0] from[0] abstractmemoryqueue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5184 commit 50065aa7211a1f30e05e3b2fa523f74a2bbbfa79 authentication refactor 	5184 commit 50065a7211a1f30e05e3b2fa523f74a2bbfa79 authentication refactor	2	-1	 5184[0] commit[0] 50065aa7211a1f30e05e3b2fa523f74a2bbbfa79/50065a7211a1f30e05e3b2fa523f74a2bbfa79[0][+0.6 MultipleLetters] authentication[0] refactor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
5730 commit f94cb1a18a28fa2fff263d32f990c258de38e230 amber pre-refactor 	5730 commit f94cb1a18a28fa2ff263d32f990c258de38e230 amber pre-refactor	1	-1	 5730[0] commit[0] f94cb1a18a28fa2fff263d32f990c258de38e230/f94cb1a18a28fa2ff263d32f990c258de38e230[0] amber[0] pre[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8094 commit 5f5ff37b9ed28fe0766f20e1952a72d0c409f456 amber partial refactoring and jpa tck 	8094 commit 5f5ff37b9ed28fe0766f20e1952a72d0c409f456 amber partial refactoring and jpa tck	1	-1	 8094[0] commit[0] 5f5ff37b9ed28fe0766f20e1952a72d0c409f456[0] amber[0] partial[0] refactoring[0] and[0] jpa[0] tck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8529 commit 39c2cd005e2c404da15434cd9e08295fa6d30919 containernode refactor 	8529 commit 39c2cd005e2c404da15434cd9e08295fa6d30919 containernode refactor	1	-1	 8529[0] commit[0] 39c2cd005e2c404da15434cd9e08295fa6d30919[0] containernode[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
