Extract Method	Translation	Positive	Negative	EmotionRationale
152 commit d6bfd8429c5093222ec3d19e146cf2a107daa4f1 yarn-1307. redesign znode structure for zookeeper based rm state-store for better organization and scalability. contributed by tsuyoshi ozawa. 	152 commit d6bfd8429c509322ec3d19e146cf2a107da4f1 yarn-1307.<br> redesign znode structure for zookeeper based rm state-store for better organization and scalability.<br> contributed by tsuyoshi ozawa.	2	-1	 152[0] commit[0] d6bfd8429c5093222ec3d19e146cf2a107daa4f1/d6bfd8429c509322ec3d19e146cf2a107da4f1[0][+0.6 MultipleLetters] yarn[0] -1307[0] [[Sentence=-1,2=word max, 1-5]] redesign[0] znode[0] structure[0] for[0] zookeeper[0] based[0] rm[0] state[0] store[0] for[0] better[0] organization[0] and[0] scalability[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] tsuyoshi[0] ozawa[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
875 commit 457ed86168d630739e39dd6d83262942905e9166 hdfs-5085. refactor o.a.h.nfs to support different types of authentications. contributed by jing zhao. 	875 commit 457ed86168d630739e39dd6d83262942905e9166 hdfs-5085.<br> refactor o.<br>a.<br>h.<br>nfs to support different types of authentications.<br> contributed by jing zhao.	1	-1	 875[0] commit[0] 457ed86168d630739e39dd6d83262942905e9166[0] hdfs[0] -5085[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] o[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] h[0] [[Sentence=-1,1=word max, 1-5]] nfs[0] to[0] support[0] different[0] types[0] of[0] authentications[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] jing[0] zhao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1702 commit b3f0e81c51d325a352f90b4912a368fbd3336bab yarn-599. refactoring submitapplication in clientrmservice and rmappmanager to separate out various validation checks depending on whether they rely on rm configuration or not. contributed by zhijie shen. 	1702 commit b3f0e81c51d325a352f90b4912a368fbd336bab yarn-599.<br> refactoring submitapplication in clientrmservice and rmappmanager to separate out various validation checks depending on whether they rely on rm configuration or not.<br> contributed by zhijie shen.	1	-1	 1702[0] commit[0] b3f0e81c51d325a352f90b4912a368fbd3336bab/b3f0e81c51d325a352f90b4912a368fbd336bab[0] yarn[0] -599[0] [[Sentence=-1,1=word max, 1-5]] refactoring[0] submitapplication[0] in[0] clientrmservice[0] and[0] rmappmanager[0] to[0] separate[0] out[0] various[0] validation[0] checks[0] depending[0] on[0] whether[0] they[0] rely[0] on[0] rm[0] configuration[0] or[0] not[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] zhijie[0] shen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2298 commit a99cba48b9c773afec6d9d3f4cef7bec5c3d3864 mapreduce-4808. refactor mapoutput and mergemanager to facilitate reuse by shuffle implementations. (masokan via tucu) 	2298 commit a99cba48b9c773afec6d9d3f4cef7bec5c3d3864 mapreduce-4808.<br> refactor mapoutput and mergemanager to facilitate reuse by shuffle implementations.<br> (masokan via tucu)	1	-1	 2298[0] commit[0] a99cba48b9c773afec6d9d3f4cef7bec5c3d3864[0] mapreduce[0] -4808[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] mapoutput[0] and[0] mergemanager[0] to[0] facilitate[0] reuse[0] by[0] shuffle[0] implementations[0] [[Sentence=-1,1=word max, 1-5]] masokan[0] via[0] tucu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3931 commit ba6bedbc10951fca7e59dcadb78e70a4aed1fbcf hdfs-3273. refactor backupimage and fseditlog, and rename journallistener.rolllogs(..) to startlogsegment(..). 	3931 commit ba6bedbc10951fca7e59dcadb78e70a4aed1fbcf hdfs-3273.<br> refactor backupimage and fseditlog, and rename journallistener.<br>rollogs(<br> to startlogsegment(	1	-2	 3931[0] commit[0] ba6bedbc10951fca7e59dcadb78e70a4aed1fbcf[0] hdfs[0] -3273[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] backupimage[0] and[0] fseditlog[0] and[0] rename[0] journallistener[0] [[Sentence=-1,1=word max, 1-5]] rolllogs/rollogs[0] [[Sentence=-1,1=word max, 1-5]] to[0] startlogsegment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
5476 commit 969a361795cbad5c0dd0d5206fc66358e4fd4263 hdfs-2371. refactor blocksender.java for better readability. contributed by suresh srinivas. 	5476 commit 969a361795cbad5c0dd0d5206fc66358e4fd4263 hdfs-2371.<br> refactor blocksender.<br>java for better readability.<br> contributed by suresh srinivas.	1	-1	 5476[0] commit[0] 969a361795cbad5c0dd0d5206fc66358e4fd4263[0] hdfs[0] -2371[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] blocksender[0] [[Sentence=-1,1=word max, 1-5]] java[0] for[0] better[0] readability[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] suresh[0] srinivas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5826 commit a8de21fed43d21838c7b9d4aa3d220d664a81c71 hdfs-1073. redesign the namenode's storage layout for image checkpoints and edit logs to introduce transaction ids and be more robust. contributed by todd lipcon and ivan kelly. 	5826 commit a8de21fed43d21838c7b9d4a3d220d664a81c71 hdfs-1073.<br> redesign the namenode's storage layout for image checkpoints and edit logs to introduce transaction ids and be more robust.<br> contributed by todd lipcon and ivan kelly.	1	-1	 5826[0] commit[0] a8de21fed43d21838c7b9d4aa3d220d664a81c71/a8de21fed43d21838c7b9d4a3d220d664a81c71[0] hdfs[0] -1073[0] [[Sentence=-1,1=word max, 1-5]] redesign[0] the[0] namenode's[0] storage[0] layout[0] for[0] image[0] checkpoints[0] and[0] edit[0] logs[0] to[0] introduce[0] transaction[0] ids[0] and[0] be[0] more[0] robust[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] todd[0] lipcon[0] and[0] ivan[0] kelly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5845 commit 015dc506e92a339bb685627e42cbe36e64498334 hdfs-2180. refactor namenode http server into new class. contributed by todd lipcon. 	5845 commit 015dc506e92a339bb685627e42cbe36e64498334 hdfs-2180.<br> refactor namenode http server into new class.<br> contributed by todd lipcon.	1	-1	 5845[0] commit[0] 015dc506e92a339bb685627e42cbe36e64498334[0] hdfs[0] -2180[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] namenode[0] http[0] server[0] into[0] new[0] class[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] todd[0] lipcon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6268 commit 655bacc0e340a7d491976f7f57b59a557ab7e3a9 hadoop-7236. refactor the mkdir command to conform to new fscommand class. contributed by daryn sharp 	6268 commit 655bacc0e340a7d491976f7f57b59a557ab7e3a9 hadoop-7236.<br> refactor the mkdir command to conform to new fscommand class.<br> contributed by daryn sharp	1	-1	 6268[0] commit[0] 655bacc0e340a7d491976f7f57b59a557ab7e3a9[0] hadoop[0] -7236[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] the[0] mkdir[0] command[0] to[0] conform[0] to[0] new[0] fscommand[0] class[0] [[Sentence=-1,1=word max, 1-5]] contributed[0] by[0] daryn[0] sharp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6389 commit 428dbd28dd20c1ae6a18361624cb328d08ac15ed hdfs-1789. refactor frequently used codes from dfsoutputstream and dataxceiver. 	6389 commit 428dbd28dd20c1ae6a18361624cb328d08ac15ed hdfs-1789.<br> refactor frequently used codes from dfsoutputstream and dataxceiver.	1	-1	 6389[0] commit[0] 428dbd28dd20c1ae6a18361624cb328d08ac15ed[0] hdfs[0] -1789[0] [[Sentence=-1,1=word max, 1-5]] refactor[0] frequently[0] used[0] codes[0] from[0] dfsoutputstream[0] and[0] dataxceiver[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
