Move Method	Translation	Positive	Negative	EmotionRationale
226 commit 0adf20b66a41fa5d9f4b8642899f2a3510dc5566 quercus initial refactor of private methods/fields 	226 commit 0adf20b66a41fa5d9f4b8642899f2a3510dc5566 quercus initial refactor of private methods/fields	1	-1	 226[0] commit[0] 0adf20b66a41fa5d9f4b8642899f2a3510dc5566[0] quercus[0] initial[0] refactor[0] of[0] private[0] methods/fields[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1172 commit 20c4999ef6cdc4aafb199e4b0aba88aada68fed5 quercus pdo refactor to use existing quercus db lib 	1172 commit 20c499ef6cdc4afb199e4b0aba88ada68fed5 quercus pdo refactor to use existing quercus db lib	2	-1	 1172[0] commit[0] 20c4999ef6cdc4aafb199e4b0aba88aada68fed5/20c499ef6cdc4afb199e4b0aba88ada68fed5[0][+0.6 MultipleLetters] quercus[0] pdo[0] refactor[0] to[0] use[0] existing[0] quercus[0] db[0] lib[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1189 commit 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1 cache refactor 	1189 commit 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1 cache refactor	1	-1	 1189[0] commit[0] 4473be97b7c2fabf59319cf7d7eb3e2af03a2ca1[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1212 commit 31f72ccd9a2ea050843e5db6162ab46b161c1e81 cache refactor 	1212 commit 31f72ccd9a2ea050843e5db6162ab46b161c1e81 cache refactor	1	-1	 1212[0] commit[0] 31f72ccd9a2ea050843e5db6162ab46b161c1e81[0] cache[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1229 commit 453c69446af95533431eea10db315874e34fd5a5 deploy refactor to proxy model 	1229 commit 453c69446af95533431eea10db315874e34fd5a5 deploy refactor to proxy model	1	-1	 1229[0] commit[0] 453c69446af95533431eea10db315874e34fd5a5[0] deploy[0] refactor[0] to[0] proxy[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring 	1328 commit 28d752deec92d70933535568aedd18cd79dcece7 amqp refactoring	1	-1	 1328[0] commit[0] 28d752deec92d70933535568aedd18cd79dcece7[0] amqp[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1690 commit 2676b717b2fab5f5d3b182e99785fe6e6d8a1116 cli refactor 	1690 commit 2676b717b2fab5f5d3b182e99785fe6e6d8a116 cli refactor	1	-1	 1690[0] commit[0] 2676b717b2fab5f5d3b182e99785fe6e6d8a1116/2676b717b2fab5f5d3b182e99785fe6e6d8a116[0] cli[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1699 commit 0b4088ef8cc09b2d642d1eb6819a6db716420575 resin config partial refactor 	1699 commit 0b4088ef8cc09b2d642d1eb6819a6db716420575 resin config partial refactor	1	-1	 1699[0] commit[0] 0b4088ef8cc09b2d642d1eb6819a6db716420575[0] resin[0] config[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2054 commit ffad549e49998c33ebad24564c40a71ad626c6a7 cli: regressions and refactor 	2054 commit ffad549e4998c33ebad24564c40a71ad626c6a7 cli: regressions and refactor	1	-1	 2054[0] commit[0] ffad549e49998c33ebad24564c40a71ad626c6a7/ffad549e4998c33ebad24564c40a71ad626c6a7[0] cli[0] regressions[0] and[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression 	2704 commit d7135c3f58daea759f8f2605e13eba56f89265e3 deployment refactoring and regression	1	-1	 2704[0] commit[0] d7135c3f58daea759f8f2605e13eba56f89265e3[0] deployment[0] refactoring[0] and[0] regression[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
