Extract Method	Translation	Positive	Negative	EmotionRationale
2543 commit 8149940aed235fcbd56c65d7f842add6ce1d66e4 bug 114166 - refactoring of 'main' tab for java type launch configurations 	2543 commit 8149940aed235fcbd56c65d7f842add6ce1d66e4 bug 114166 - refactoring of 'main' tab for java type launch configurations	1	-1	 2543[0] commit[0] 8149940aed235fcbd56c65d7f842add6ce1d66e4[0] bug[0] 114166[0] refactoring[0] of[0] 'main'[0] tab[0] for[0] java[0] type[0] launch[0] configurations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2614 commit b71bc4f9fcb59e1b399a26c5604ba89a3f8557d0 add java element attributes to breakpoints so refactorings work 	2614 commit b71bc4f9fcb59e1b399a26c5604ba89a3f8557d0 add java element attributes to breakpoints so refactorings work	1	-1	 2614[0] commit[0] b71bc4f9fcb59e1b399a26c5604ba89a3f8557d0[0] add[0] java[0] element[0] attributes[0] to[0] breakpoints[0] so[0] refactorings[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2615 commit 6132c193bd124fd4c08eb0bf00ea9f3814f806fb add java element attributes to breakpoints so refactorings work 	2615 commit 6132c193bd124fd4c08eb0bf00ea9f3814f806fb add java element attributes to breakpoints so refactorings work	1	-1	 2615[0] commit[0] 6132c193bd124fd4c08eb0bf00ea9f3814f806fb[0] add[0] java[0] element[0] attributes[0] to[0] breakpoints[0] so[0] refactorings[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2622 commit 0e1ab6e84ecc9f36f2e4839a05734ed43dbced05 bug 108505 - refactor debug 'open type' actions 	2622 commit 0e1ab6e84ecc9f36f2e4839a05734ed43dbced05 bug 108505 - refactor debug 'open type' actions	1	-1	 2622[0] commit[0] 0e1ab6e84ecc9f36f2e4839a05734ed43dbced05[0] bug[0] 108505[0] refactor[0] debug[0] 'open[0] type'[0] actions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4384 commit 783e8816a1bb151354f1d91f1209fc6f5f66ba1b bug 12746 - refactoring support for launch configurations 	4384 commit 783e8816a1bb151354f1d91f1209fc6f5f66ba1b bug 12746 - refactoring support for launch configurations	1	-1	 4384[0] commit[0] 783e8816a1bb151354f1d91f1209fc6f5f66ba1b[0] bug[0] 12746[0] refactoring[0] support[0] for[0] launch[0] configurations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4604 commit 2612f4afd9ff101af37e6e18dcc36ca8e6ed160a 12746 - refactoring support for launch configurations 	4604 commit 2612f4afd9ff101af37e6e18dcc36ca8e6ed160a 12746 - refactoring support for launch configurations	1	-1	 4604[0] commit[0] 2612f4afd9ff101af37e6e18dcc36ca8e6ed160a[0] 12746[0] refactoring[0] support[0] for[0] launch[0] configurations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4841 commit 2ded45a1782ede0906e6bb0a59d4762234e1824d refactoring 	4841 commit 2ded45a1782ede0906e6bb0a59d4762234e1824d refactoring	1	-1	 4841[0] commit[0] 2ded45a1782ede0906e6bb0a59d4762234e1824d[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5012 commit ef93517d7e7792ce21f9ad590c5b3f2293645f79 refactoring 	5012 commit ef93517d7e7792ce21f9ad590c5b3f2293645f79 refactoring	1	-1	 5012[0] commit[0] ef93517d7e7792ce21f9ad590c5b3f2293645f79[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8232 commit e9e615bd83ee5b1e373b8165d6ff02f376ca0fb4 refactored and fixed for bug 9881: java 'debug options' pref page. 	8232 commit e9e615bd83ee5b1e373b8165d6ff02f376ca0fb4 refactored and fixed for bug 9881: java 'debug options' pref page.	1	-1	 8232[0] commit[0] e9e615bd83ee5b1e373b8165d6ff02f376ca0fb4[0] refactored[0] and[0] fixed[0] for[0] bug[0] 9881[0] java[0] 'debug[0] options'[0] pref[0] page[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8329 commit 41a4c8b4a7c2a8571940e20696b0de3c87541bb2 refactored event handling 	8329 commit 41a4c8b4a7c2a8571940e20696b0de3c87541bb2 refactored event handling	1	-1	 8329[0] commit[0] 41a4c8b4a7c2a8571940e20696b0de3c87541bb2[0] refactored[0] event[0] handling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8480 commit 41ca0dbc0e088b6a1ec055b74658c6bb8799aa20 removed unused local; refactored handling of method events 	8480 commit 41ca0dbc0e088b6a1ec055b74658c6bb8799a20 removed unused local; refactored handling of method events	1	-1	 8480[0] commit[0] 41ca0dbc0e088b6a1ec055b74658c6bb8799aa20/41ca0dbc0e088b6a1ec055b74658c6bb8799a20[0] removed[0] unused[0] local[0] refactored[0] handling[0] of[0] method[0] events[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
