Rename Class	Translation	Positive	Negative	EmotionRationale
2694 commit 8da67b5c2492a7677844a4f5dd4e3c1d31b71e4e refactoring to not be dependent on groovy (its jar alone if 6m big) but on jsr 223 (scripting) 	2694 commit 8da67b5c2492a7677844a4f5dd4e3c1d31b71e4e refactoring to not be dependent on groovy (its jar alone if 6m big) but on jsr 223 (scripting)	2	-1	 2694[0] commit[0] 8da67b5c2492a7677844a4f5dd4e3c1d31b71e4e[0] refactoring[0] to[0] not[0] be[0] dependent[-1][NegatedDueToPreviousWord] on[0] groovy[0] its[0] jar[0] alone[0] if[0] 6m[0] big[0] but[0] on[0] jsr[0] 223[0] scripting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3586 commit e00c1f3d2aad114c184931b5341b9a6ef199258e switched to tomcat 7.0.16 to match trunk bunch of renaming and refactoring.. not quite finished, but in progress 	3586 commit e00c1f3d2ad114c184931b5341b9a6ef199258e switched to tomcat 7.0.16 to match trunk bunch of renaming and refactoring.<br> not quite finished, but in progress	1	-1	 3586[0] commit[0] e00c1f3d2aad114c184931b5341b9a6ef199258e/e00c1f3d2ad114c184931b5341b9a6ef199258e[0] switched[0] to[0] tomcat[0] 7[0] .0[0] .16[0] to[0] match[0] trunk[0] bunch[0] of[0] renaming[0] and[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]] not[0] quite[0] finished[0] but[0] in[0] progress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3863 commit e6b8a82abf37ca02d05354ac1f3b23762967b7b7 openejb-1237 refactoring to prepare rest ejb management 	3863 commit e6b8a82abf37ca02d05354ac1f3b23762967b7b7 openejb-1237 refactoring to prepare rest ejb management	1	-1	 3863[0] commit[0] e6b8a82abf37ca02d05354ac1f3b23762967b7b7[0] openejb[0] -1237[0] refactoring[0] to[0] prepare[0] rest[0] ejb[0] management[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6065 commit 66e90b7e09c4352f0bcd87eac82b4744cb257f06 added alternate schema loader based on ws commons xmlschema redesigned schema loading added schema parsing test cases 	6065 commit 66e90b7e09c4352f0bcd87eac82b4744cb257f06 added alternate schema loader based on ws commons xmlschema redesigned schema loading added schema parsing test cases	1	-1	 6065[0] commit[0] 66e90b7e09c4352f0bcd87eac82b4744cb257f06[0] added[0] alternate[0] schema[0] loader[0] based[0] on[0] ws[0] commons[0] xmlschema[0] redesigned[0] schema[0] loading[0] added[0] schema[0] parsing[0] test[0] cases[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6931 commit 9ea01a83b607fb3e053f2b96d56795308e6bd640 some light refactoring and more new contexts 	6931 commit 9ea01a83b607fb3e053f2b96d56795308e6bd640 some light refactoring and more new contexts	1	-1	 6931[0] commit[0] 9ea01a83b607fb3e053f2b96d56795308e6bd640[0] some[0] light[0] refactoring[0] and[0] more[0] new[0] contexts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7145 commit 212ea4f496d8304ad037e782b76b60493f5a3146 extensive refactoring of the castorcmp11_entitycontainer encapsulated castor specific code into a castorcmpengine renamed remaining castorcmp11_entitycontainer to org.apache.openejb.core.cmp.cmpcontainer.java cmpengine implementation is created with a pluggable cmpenginefactory specified with a property of the same name and the default being org.apache.openejb.alt.containers.castor_cmp11.castorcmpenginefactory 	7145 commit 212ea4f496d8304ad037e782b76b60493f5a3146 extensive refactoring of the castorcmp11_entitycontainer encapsulated castor specific code into a castorcmpengine renamed remaining castorcmp11_entitycontainer to org.<br>apache.<br>openejb.<br>core.<br>cmp.<br>cmpcontainer.<br>java cmpengine implementation is created with a pluggable cmpenginefactory specified with a property of the same name and the default being org.<br>apache.<br>openejb.<br>alt.<br>containers.<br>castor_cmp11.<br>castorcmpenginefactory	1	-2	 7145[0] commit[0] 212ea4f496d8304ad037e782b76b60493f5a3146[0] extensive[0] refactoring[0] of[0] the[0] castorcmp11_entitycontainer[0] encapsulated[0] castor[0] specific[0] code[0] into[0] a[0] castorcmpengine[0] renamed[0] remaining[0] castorcmp11_entitycontainer[0] to[0] org[0] [[Sentence=-1,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] openejb[0] [[Sentence=-1,1=word max, 1-5]] core[0] [[Sentence=-1,1=word max, 1-5]] cmp[0] [[Sentence=-1,1=word max, 1-5]] cmpcontainer[0] [[Sentence=-1,1=word max, 1-5]] java[0] cmpengine[0] implementation[0] is[0] created[0] with[0] a[0] pluggable[0] cmpenginefactory[0] specified[0] with[0] a[0] property[0] of[0] the[0] same[0] name[0] and[0] the[0] default[-1] being[0] org[0] [[Sentence=-2,1=word max, 1-5]] apache[0] [[Sentence=-1,1=word max, 1-5]] openejb[0] [[Sentence=-1,1=word max, 1-5]] alt[0] [[Sentence=-1,1=word max, 1-5]] containers[0] [[Sentence=-1,1=word max, 1-5]] castor_cmp11[0] [[Sentence=-1,1=word max, 1-5]] castorcmpenginefactory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
7251 commit 0a758fe4a81aa28e63dd332743373875fae38d1f refactoring the deployment code and the code that builds jndi trees. 	7251 commit 0a758fe4a81a28e63dd332743373875fae38d1f refactoring the deployment code and the code that builds jndi trees.	1	-1	 7251[0] commit[0] 0a758fe4a81aa28e63dd332743373875fae38d1f/0a758fe4a81a28e63dd332743373875fae38d1f[0] refactoring[0] the[0] deployment[0] code[0] and[0] the[0] code[0] that[0] builds[0] jndi[0] trees[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7753 commit fd0c0b03afac12477e19ab386e2362b408162cab major refactor split container into an object to represent a deployed ejb and a set of shared containers which process invocations introduced interface between cmp container and cmp engine 	7753 commit fd0c0b03afac12477e19ab386e2362b408162cab major refactor split container into an object to represent a deployed ejb and a set of shared containers which process invocations introduced interface between cmp container and cmp engine	1	-1	 7753[0] commit[0] fd0c0b03afac12477e19ab386e2362b408162cab[0] major[0] refactor[0] split[0] container[0] into[0] an[0] object[0] to[0] represent[0] a[0] deployed[0] ejb[0] and[0] a[0] set[0] of[0] shared[0] containers[0] which[0] process[0] invocations[0] introduced[0] interface[0] between[0] cmp[0] container[0] and[0] cmp[0] engine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8482 commit 066101d64b8e4477e9fca081a3ea09caa5472c42 added an extra constructor and refactored the inner class which was named very deceptively like the parent class. 	8482 commit 066101d64b8e4477e9fca081a3ea09ca5472c42 added an extra constructor and refactored the inner class which was named very deceptively like the parent class.	1	-3	 8482[0] commit[0] 066101d64b8e4477e9fca081a3ea09caa5472c42/066101d64b8e4477e9fca081a3ea09ca5472c42[0] added[0] an[0] extra[0] constructor[0] and[0] refactored[0] the[0] inner[0] class[0] which[0] was[0] named[0] very[0] deceptively[-1][-1 LastWordBoosterStrength] like[0] the[0] parent[0] class[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
8915 commit 70d670c072af1d792e9989f2213e682844d3be70 refactored containers to make room for deployer method signature arrays now contain the interface signatures instead of the bean signatures replaced type specific containers with a single genericcontainer fixed usertransaction handling and life-cycle fixed entity bean life-cycle 	8915 commit 70d670c072af1d792e9989f2213e682844d3be70 refactored containers to make room for deployer method signature arrays now contain the interface signatures instead of the bean signatures replaced type specific containers with a single genericcontainer fixed usertransaction handling and life-cycle fixed entity bean life-cycle	1	-1	 8915[0] commit[0] 70d670c072af1d792e9989f2213e682844d3be70[0] refactored[0] containers[0] to[0] make[0] room[0] for[0] deployer[0] method[0] signature[0] arrays[0] now[0] contain[0] the[0] interface[0] signatures[0] instead[0] of[0] the[0] bean[0] signatures[0] replaced[0] type[0] specific[0] containers[0] with[0] a[0] single[0] genericcontainer[0] fixed[0] usertransaction[0] handling[0] and[0] life[0] cycle[0] fixed[0] entity[0] bean[0] life[0] cycle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
