Rename Method	Translation	Positive	Negative	EmotionRationale
530 commit 954acd1a122c8982e2e74d85c9be1b4badc5ecec o refactoring: extracted schedules out of defaultlifecycles 	530 commit 954acd1a122c8982e2e74d85c9be1b4badc5ecec o refactoring: extracted schedules out of defaultlifecycles	1	-1	 530[0] commit[0] 954acd1a122c8982e2e74d85c9be1b4badc5ecec[0] o[0] refactoring[0] extracted[0] schedules[0] out[0] of[0] defaultlifecycles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1361 commit 864ea152167c241e2cb0593713b341c4c8e5aa7e o refactoring the way plugin prefix metadata is found. the lifecycle executor is not the right place for this and the plugin manager is now strictly for already fully configured executions. so it belongs somewhere specific to augmenting the base set of information in order to make it complete but this first pass will do here. i just want to check it in as well because i'm traveling. 	1361 commit 864ea152167c241e2cb0593713b341c4c8e5a7e o refactoring the way plugin prefix metadata is found.<br> the lifecycle executor is not the right place for this and the plugin manager is now strictly for already fully configured executions.<br> so it belongs somewhere specific to augmenting the base set of information in order to make it complete but this first pass will do here.<br> i just want to check it in as well because i'm traveling.	1	-2	 1361[0] commit[0] 864ea152167c241e2cb0593713b341c4c8e5aa7e/864ea152167c241e2cb0593713b341c4c8e5a7e[0] o[0] refactoring[0] the[0] way[0] plugin[0] prefix[0] metadata[0] is[0] found[0] [[Sentence=-1,1=word max, 1-5]] the[0] lifecycle[0] executor[0] is[0] not[0] the[0] right[0] place[0] for[0] this[0] and[0] the[0] plugin[0] manager[0] is[0] now[0] strictly[-1] for[0] already[0] fully[0] configured[0] executions[0] [[Sentence=-2,1=word max, 1-5]] so[0] it[0] belongs[0] somewhere[0] specific[0] to[0] augmenting[0] the[0] base[0] set[0] of[0] information[0] in[0] order[0] to[0] make[0] it[0] complete[0] but[0] this[0] first[0] pass[0] will[0] do[0] here[0] [[Sentence=-1,1=word max, 1-5]] i[0] just[0] want[0] to[0] check[0] it[0] in[0] as[0] well[0] because[0] i'm[0] traveling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
3403 commit 8f292315e498914e0db2a56fd44fcee4a137282d merged r553210 from 2.0.x: refactored createartifact methods to createartifactspec to make way for some real createartifact methods. 	3403 commit 8f292315e498914e0db2a56fd44fcee4a137282d merged r553210 from 2.0.<br>x: refactored createartifact methods to createartifactspec to make way for some real createartifact methods.	2	-1	 3403[0] commit[0] 8f292315e498914e0db2a56fd44fcee4a137282d[0] merged[0] r553210[0] from[0] 2[0] .0[0] [[Sentence=-1,1=word max, 1-5]] x[1] refactored[0] createartifact[0] methods[0] to[0] createartifactspec[0] to[0] make[0] way[0] for[0] some[0] real[0] createartifact[0] methods[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3810 commit 7136b01f88479496048637ef7f9eb59943edf3f8 o merging in my changes from the refactored embedder branch milos, this has some stuff that we worked on so i've tried to unify everythign in trunk now 	3810 commit 7136b01f88479496048637ef7f9eb59943edf3f8 o merging in my changes from the refactored embedder branch milos, this has some stuff that we worked on so i've tried to unify everythign in trunk now	1	-1	 3810[0] commit[0] 7136b01f88479496048637ef7f9eb59943edf3f8[0] o[0] merging[0] in[0] my[0] changes[0] from[0] the[0] refactored[0] embedder[0] branch[0] milos[0] this[0] has[0] some[0] stuff[0] that[0] we[0] worked[0] on[0] so[0] i've[0] tried[0] to[0] unify[0] everythign[0] in[0] trunk[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4617 commit 94e440000d30ce640abcaa1e2505f7ce4c382cc5 o merge of the maven-embedder-refactor branch into the trunk 	4617 commit 94e4400d30ce640abca1e2505f7ce4c382cc5 o merge of the maven-embedder-refactor branch into the trunk	2	-1	 4617[0] commit[0] 94e440000d30ce640abcaa1e2505f7ce4c382cc5/94e4400d30ce640abca1e2505f7ce4c382cc5[0][+0.6 MultipleLetters] o[0] merge[0] of[0] the[0] maven[0] embedder[0] refactor[0] branch[0] into[0] the[0] trunk[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4763 commit 95189e189e1018c382f40845b14f23ad769c671a [mng-1980] removing the duplicate id, the reactor will catch duplicate ids in a single build so it doesn't not need to be checked for in the project builder. i have removed the model caching for now while i'm refactoring the project builder. the plan is to break the 1000  lines down into its constituent components and use a pipeline to build up the project. 	4763 commit 95189e189e1018c382f40845b14f23ad769c671a [mng-1980] removing the duplicate id, the reactor will catch duplicate ids in a single build so it doesn't not need to be checked for in the project builder.<br> i have removed the model caching for now while i'm refactoring the project builder.<br> the plan is to break the 100  lines down into its constituent components and use a pipeline to build up the project.	1	-1	 4763[0] commit[0] 95189e189e1018c382f40845b14f23ad769c671a[0] [mng[0] -1980][0] removing[0] the[0] duplicate[0] id[0] the[0] reactor[0] will[0] catch[0] duplicate[0] ids[0] in[0] a[0] single[0] build[0] so[0] it[0] doesn't[0] not[0] need[0] to[0] be[0] checked[0] for[0] in[0] the[0] project[0] builder[0] [[Sentence=-1,1=word max, 1-5]] i[0] have[0] removed[0] the[0] model[0] caching[0] for[0] now[0] while[0] i'm[0] refactoring[0] the[0] project[0] builder[0] [[Sentence=-1,1=word max, 1-5]] the[0] plan[0] is[0] to[0] break[0] the[0] 1000/100[0] lines[0] down[0] into[0] its[0] constituent[0] components[0] and[0] use[0] a[0] pipeline[0] to[0] build[0] up[0] the[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6503 commit c991b41571b71b924bf23c86da6a861df774a83a refactoring towards similar pattern of artifact metadata 	6503 commit c991b41571b71b924bf23c86da6a861df774a83a refactoring towards similar pattern of artifact metadata	1	-1	 6503[0] commit[0] c991b41571b71b924bf23c86da6a861df774a83a[0] refactoring[0] towards[0] similar[0] pattern[0] of[0] artifact[0] metadata[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7207 commit 01e6c8daa613e61e2fc13dc9edcd850f88a5da99 pr: mng-257 refactor artifact creation to all go through the factory, and assign the type handler from there. attach ejb client to the ejb artifact so that it is installed/deployed along with it. 	7207 commit 01e6c8da613e61e2fc13dc9edcd850f88a5da99 pr: mng-257 refactor artifact creation to all go through the factory, and assign the type handler from there.<br> attach ejb client to the ejb artifact so that it is installed/deployed along with it.	1	-1	 7207[0] commit[0] 01e6c8daa613e61e2fc13dc9edcd850f88a5da99/01e6c8da613e61e2fc13dc9edcd850f88a5da99[0] pr[0] mng[0] -257[0] refactor[0] artifact[0] creation[0] to[0] all[0] go[0] through[0] the[0] factory[0] and[0] assign[0] the[0] type[0] handler[0] from[0] there[0] [[Sentence=-1,1=word max, 1-5]] attach[0] ejb[0] client[0] to[0] the[0] ejb[0] artifact[0] so[0] that[0] it[0] is[0] installed/deployed[0] along[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8052 commit ee15019eb874da84555f005115a17f5cbaf88a52 refactor maven-artifact: first pass, reduce the usage of setpath() 	8052 commit ee15019eb874da8455f005115a17f5cbaf88a52 refactor maven-artifact: first pass, reduce the usage of setpath(	1	-1	 8052[0] commit[0] ee15019eb874da84555f005115a17f5cbaf88a52/ee15019eb874da8455f005115a17f5cbaf88a52[0] refactor[0] maven[0] artifact[0] first[0] pass[0] reduce[0] the[0] usage[0] of[0] setpath[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8060 commit 2b853505587610f6bae2c2c1bb9cfa201ed832d4 o a little refactoring o hook in snapshot transformation, though it isn't used 	8060 commit 2b853505587610f6bae2c2c1bb9cfa201ed832d4 o a little refactoring o hook in snapshot transformation, though it isn't used	1	-1	 8060[0] commit[0] 2b853505587610f6bae2c2c1bb9cfa201ed832d4[0] o[0] a[0] little[0] refactoring[0] o[0] hook[0] in[0] snapshot[0] transformation[0] though[0] it[0] isn't[0] used[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
