Move Method	Translation	Positive	Negative	EmotionRationale
1432 commit 1493c7eef0ef674234bb083a3fa52fb7b4a8d19d refactor 	1432 commit 1493c7eef0ef674234bb083a3fa52fb7b4a8d19d refactor	1	-1	 1432[0] commit[0] 1493c7eef0ef674234bb083a3fa52fb7b4a8d19d[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1658 commit 2d71d8e5e2bc6d6e96dbd24986d672ae747e5cef refactorings in pixelposestimator 	1658 commit 2d71d8e5e2bc6d6e96dbd24986d672ae747e5cef refactorings in pixelposestimator	1	-1	 1658[0] commit[0] 2d71d8e5e2bc6d6e96dbd24986d672ae747e5cef[0] refactorings[0] in[0] pixelposestimator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2961 commit ee47c55d215e2a53b9665e5b26b2e4b65a76be37 refactoring 	2961 commit ee47c55d215e2a53b9665e5b26b2e4b65a76be37 refactoring	1	-1	 2961[0] commit[0] ee47c55d215e2a53b9665e5b26b2e4b65a76be37[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2976 commit 30274df1f148e89446d3e1c60e6f9ec57920fc21 refactoring and tests 	2976 commit 30274df1f148e89446d3e1c60e6f9ec57920fc21 refactoring and tests	1	-1	 2976[0] commit[0] 30274df1f148e89446d3e1c60e6f9ec57920fc21[0] refactoring[0] and[0] tests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2979 commit a9254016762c00bf2aaab4fc2cae675b776c561f refactorings 	2979 commit a9254016762c00bf2ab4fc2cae675b776c561f refactorings	2	-1	 2979[0] commit[0] a9254016762c00bf2aaab4fc2cae675b776c561f/a9254016762c00bf2ab4fc2cae675b776c561f[0][+0.6 MultipleLetters] refactorings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3461 commit 66569cc45fc70aac112277cec6a5b1735619be9e statisticspanels refactoring 	3461 commit 66569cc45fc70ac112277cec6a5b1735619be9e statisticspanels refactoring	1	-1	 3461[0] commit[0] 66569cc45fc70aac112277cec6a5b1735619be9e/66569cc45fc70ac112277cec6a5b1735619be9e[0] statisticspanels[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3780 commit cbfd50971216e78ad37500a27deb5b93612d85e3 various refactorings and fixes 	3780 commit cbfd50971216e78ad37500a27deb5b93612d85e3 various refactorings and fixes	1	-1	 3780[0] commit[0] cbfd50971216e78ad37500a27deb5b93612d85e3[0] various[0] refactorings[0] and[0] fixes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3874 commit 6d2fd8d22cbd3d13564ec24d9e3c9741f0f28e2f refactoring: moved parseheader implementation to csvproductfile 	3874 commit 6d2fd8d22cbd3d13564ec24d9e3c9741f0f28e2f refactoring: moved parseheader implementation to csvproductfile	1	-1	 3874[0] commit[0] 6d2fd8d22cbd3d13564ec24d9e3c9741f0f28e2f[0] refactoring[0] moved[0] parseheader[0] implementation[0] to[0] csvproductfile[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4511 commit 3c67c4c9ece6321acaf7023dbf10ef44d9e9b148 refactorings 	4511 commit 3c67c4c9ece6321acaf7023dbf10ef44d9e9b148 refactorings	1	-1	 4511[0] commit[0] 3c67c4c9ece6321acaf7023dbf10ef44d9e9b148[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4624 commit 5e854c2f0514fc396ae15488ef0af5b649966481 refactorings to graph framework (graphcontext, graphop) 	4624 commit 5e854c2f0514fc396ae15488ef0af5b649966481 refactorings to graph framework (graphcontext, graphop)	1	-1	 4624[0] commit[0] 5e854c2f0514fc396ae15488ef0af5b649966481[0] refactorings[0] to[0] graph[0] framework[0] graphcontext[0] graphop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8454 commit 2591c4231c683464f4f2c11b549c204acd7afbd1 imaging 4.5: reviewed and refactored api 	8454 commit 2591c4231c683464f4f2c11b549c204acd7afbd1 imaging 4.5: reviewed and refactored api	1	-1	 8454[0] commit[0] 2591c4231c683464f4f2c11b549c204acd7afbd1[0] imaging[0] 4[0] .5[0] reviewed[0] and[0] refactored[0] api[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8766 commit 4d8896efd04466f37d9c9ab5820bda468e216fcd (1) 4th development snapshot of the new color manipulation toolview (2) refactoring of the imageinfo api (3) refactoring of the image factory methods in productutils 	8766 commit 4d8896efd04466f37d9c9ab5820bda468e216fcd (1) 4th development snapshot of the new color manipulation toolview (2) refactoring of the imageinfo api (3) refactoring of the image factory methods in productutils	1	-2	 8766[0] commit[0] 4d8896efd04466f37d9c9ab5820bda468e216fcd[0] (1[0] 4th[0] development[0] snapshot[0] of[0] the[0] new[0] color[0] manipulation[-1] toolview[0] (2[0] refactoring[0] of[0] the[0] imageinfo[0] api[0] (3[0] refactoring[0] of[0] the[0] image[0] factory[0] methods[0] in[0] productutils[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
8856 commit becb283babfbef0b8517bddf055fbf510df39545 refactorings, added test 	8856 commit becb283babfbef0b8517bddf055fbf510df39545 refactorings, added test	1	-1	 8856[0] commit[0] becb283babfbef0b8517bddf055fbf510df39545[0] refactorings[0] added[0] test[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
