Rename Class	Translation	Positive	Negative	EmotionRationale
424 commit eda1a8b54bf1f4c39d13a1c543227595036663a0 [bz-1267510] treat .gdst and .scgd as standard kie resources * .gdst (guided dtables) and .scgd (guided score cards) were treated in a special way using formatconverters which caused issues during compilation as the resulting drls were copied in the compiled kjar. the behavior was changed to be in line with other resources like .xls dtables where the drl representation is create at runtime, on the fly. * ruletemplateconverter was refactored to ruletemplateprovider to have the name in sync with the others * the formatconverter abstraction was removed completely. all supported resources should be treated equaly to avoid different behavior for different resources (very much like the related bz reported) * integration tests for .gdst with and without dsl sentectes added 	424 commit eda1a8b54bf1f4c39d13a1c54322759503663a0 [bz-1267510] treat .<br>gdst and .<br>scgd as standard kie resources * .<br>gdst (guided dtables) and .<br>scgd (guided score cards) were treated in a special way using formatconverters which caused issues during compilation as the resulting drls were copied in the compiled kjar.<br> the behavior was changed to be in line with other resources like .<br>xls dtables where the drl representation is create at runtime, on the fly.<br> * ruletemplateconverter was refactored to ruletemplateprovider to have the name in sync with the others * the formatconverter abstraction was removed completely.<br> all supported resources should be treated equaly to avoid different behavior for different resources (very much like the related bz reported) * integration tests for .<br>gdst with and without dsl sentectes added	2	-2	 424[0] commit[0] eda1a8b54bf1f4c39d13a1c543227595036663a0/eda1a8b54bf1f4c39d13a1c54322759503663a0[0] [bz[0] -1267510][0] treat[1] [[Sentence=-1,2=word max, 1-5]] gdst[0] and[0] [[Sentence=-1,1=word max, 1-5]] scgd[0] as[0] standard[0] kie[0] resources[0] [[Sentence=-1,1=word max, 1-5]] gdst[0] guided[0] dtables[0] and[0] [[Sentence=-1,1=word max, 1-5]] scgd[0] guided[0] score[0] cards[0] were[0] treated[0] in[0] a[0] special[1] way[0] using[0] formatconverters[0] which[0] caused[0] issues[0] during[0] compilation[0] as[0] the[0] resulting[0] drls[0] were[0] copied[0] in[0] the[0] compiled[0] kjar[0] [[Sentence=-1,2=word max, 1-5]] the[0] behavior[0] was[0] changed[0] to[0] be[0] in[0] line[0] with[0] other[0] resources[0] like[0] [[Sentence=-1,1=word max, 1-5]] xls[0] dtables[0] where[0] the[0] drl[0] representation[0] is[0] create[0] at[0] runtime[0] on[0] the[0] fly[0] [[Sentence=-1,1=word max, 1-5]] ruletemplateconverter[0] was[0] refactored[0] to[0] ruletemplateprovider[0] to[0] have[0] the[0] name[0] in[0] sync[0] with[0] the[0] others[0] the[0] formatconverter[0] abstraction[0] was[0] removed[0] completely[0] [[Sentence=-1,1=word max, 1-5]] all[0] supported[1] resources[0] should[0] be[0] treated[0] equaly[0] to[0] avoid[-1] different[0] behavior[0] for[0] different[0] resources[0] very[0] much[0] like[0] the[0] related[0] bz[0] reported[0] integration[0] tests[0] for[0] [[Sentence=-2,2=word max, 1-5]] gdst[0] with[0] and[0] without[0] dsl[0] sentectes[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
832 commit 3132b8febc5c316d5cc1b366df7af68db10c80c4 drools-488 "pluggable and encapsulated knowledge types" -refactored undecided to decided. drools-488 "pluggable and encapsulated knowledge types" -introduced _.neg and removed the dfl, jtms pos/neg fact handle and neg entry point drools-488 "pluggable and encapsulated knowledge types" -added correct handling of negconstraint for declared masks -fixed fh cloning and negconstraint cloning drools-488 "pluggable and encapsulated knowledge types" -negatable support must be turned on for !_.neg constraint injection drools-488 "pluggable and encapsulated knowledge types" -better wm and tms separation, as a pipeline drools-488 "pluggable and encapsulated knowledge types" -better wm and tms separation, as a pipeline -neg is now separate map in the objectstore 	832 commit 3132b8febc5c316d5cc1b366df7af68db10c80c4 drools-488 "pluggable and encapsulated knowledge types" -refactored undecided to decided.<br> drools-488 "pluggable and encapsulated knowledge types" -introduced _.<br>neg and removed the dfl, jtms pos/neg fact handle and neg entry point drools-488 "pluggable and encapsulated knowledge types" -added correct handling of negconstraint for declared masks -fixed fh cloning and negconstraint cloning drools-488 "pluggable and encapsulated knowledge types" -negatable support must be turned on for !_.<br>neg constraint injection drools-488 "pluggable and encapsulated knowledge types" -better wm and tms separation, as a pipeline drools-488 "pluggable and encapsulated knowledge types" -better wm and tms separation, as a pipeline -neg is now separate map in the objectstore	1	-1	 832[0] commit[0] 3132b8febc5c316d5cc1b366df7af68db10c80c4[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] refactored[0] undecided[0] to[0] decided[0] [[Sentence=-1,1=word max, 1-5]] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] introduced[0] _[0] [[Sentence=-1,1=word max, 1-5]] neg[0] and[0] removed[0] the[0] dfl[0] jtms[0] pos/neg[0] fact[0] handle[0] and[0] neg[0] entry[0] point[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] added[0] correct[0] handling[0] of[0] negconstraint[0] for[0] declared[0] masks[0] fixed[0] fh[0] cloning[0] and[0] negconstraint[0] cloning[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] negatable[0] support[0] must[0] be[0] turned[0] on[0] for[0] !_[0] [[Sentence=-1,1=word max, 1-5]] neg[0] constraint[0] injection[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] better[0] wm[0] and[0] tms[0] separation[0] as[0] a[0] pipeline[0] drools[0] -488[0] pluggable[0] and[0] encapsulated[0] knowledge[0] types[0] better[0] wm[0] and[0] tms[0] separation[0] as[0] a[0] pipeline[0] neg[0] is[0] now[0] separate[0] map[0] in[0] the[0] objectstore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1627 commit 5679cdc6936556c323044e5eb3a786cc04025ea9 refactor workingmemoryevent* to ruleruntimeevent* 	1627 commit 5679cdc6936556c323044e5eb3a786cc04025ea9 refactor workingmemoryevent* to ruleruntimeevent*	1	-1	 1627[0] commit[0] 5679cdc6936556c323044e5eb3a786cc04025ea9[0] refactor[0] workingmemoryevent[0] to[0] ruleruntimeevent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1964 commit f76351643767aac2a89bb6dc09faa17e4bc07dfe drools-198 separate rete and phreak -refactored propagationcontext to factory for rete and phreak implementation -moved rete actions into the rete node classes. 	1964 commit f76351643767ac2a89bb6dc09fa17e4bc07dfe drools-198 separate rete and phreak -refactored propagationcontext to factory for rete and phreak implementation -moved rete actions into the rete node classes.	2	-1	 1964[0] commit[0] f76351643767aac2a89bb6dc09faa17e4bc07dfe/f76351643767ac2a89bb6dc09fa17e4bc07dfe[0][+0.6 MultipleLetters] drools[0] -198[0] separate[0] rete[0] and[0] phreak[0] refactored[0] propagationcontext[0] to[0] factory[0] for[0] rete[0] and[0] phreak[0] implementation[0] moved[0] rete[0] actions[0] into[0] the[0] rete[0] node[0] classes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1965 commit fd94795860962ade6b0679423cee8b0a78f7c3e3 drools-198 separate rete and phreak -refactored propagationcontext to factory for rete and phreak implementation 	1965 commit fd94795860962ade6b0679423cee8b0a78f7c3e3 drools-198 separate rete and phreak -refactored propagationcontext to factory for rete and phreak implementation	1	-1	 1965[0] commit[0] fd94795860962ade6b0679423cee8b0a78f7c3e3[0] drools[0] -198[0] separate[0] rete[0] and[0] phreak[0] refactored[0] propagationcontext[0] to[0] factory[0] for[0] rete[0] and[0] phreak[0] implementation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2140 commit 00ae210cf7ba27c471b73d8be3d15326c18d9330 fixing grammars after refactory from a couple months ago. removing support to # single line comments. fixing parsing of inline nested expressions. 	2140 commit 00ae210cf7ba27c471b73d8be3d15326c18d9330 fixing grammars after refactory from a couple months ago.<br> removing support to # single line comments.<br> fixing parsing of inline nested expressions.	1	-1	 2140[0] commit[0] 00ae210cf7ba27c471b73d8be3d15326c18d9330[0] fixing[0] grammars[0] after[0] refactory[0] from[0] a[0] couple[0] months[0] ago[0] [[Sentence=-1,1=word max, 1-5]] removing[0] support[0] to[0] #[0] single[0] line[0] comments[0] [[Sentence=-1,1=word max, 1-5]] fixing[0] parsing[0] of[0] inline[0] nested[0] expressions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2637 commit eee863ca66d4633036a213913b0effcfc48f017c refactoring mbean interface names for consistency. renaming option interfaces for consistency. 	2637 commit ee863ca66d4633036a213913b0effcfc48f017c refactoring mbean interface names for consistency.<br> renaming option interfaces for consistency.	1	-1	 2637[0] commit[0] eee863ca66d4633036a213913b0effcfc48f017c/ee863ca66d4633036a213913b0effcfc48f017c[0] refactoring[0] mbean[0] interface[0] names[0] for[0] consistency[0] [[Sentence=-1,1=word max, 1-5]] renaming[0] option[0] interfaces[0] for[0] consistency[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2646 commit c095c8f95cadbd5fac7952da6aaa4c13aae1274e refactor gav to releaseid 	2646 commit c095c8f95cadbd5fac7952da6a4c13ae1274e refactor gav to releaseid	2	-1	 2646[0] commit[0] c095c8f95cadbd5fac7952da6aaa4c13aae1274e/c095c8f95cadbd5fac7952da6a4c13ae1274e[0][+0.6 MultipleLetters] refactor[0] gav[0] to[0] releaseid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2660 commit 66b81a1c9c22b7320c0add2e6782ed6a02fac2f9 kie api refactor 	2660 commit 66b81a1c9c22b7320c0add2e6782ed6a02fac2f9 kie api refactor	1	-1	 2660[0] commit[0] 66b81a1c9c22b7320c0add2e6782ed6a02fac2f9[0] kie[0] api[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2663 commit b754c88a7e484d5f4d488f9a445de34bd524df2e kie api refactor 	2663 commit b754c88a7e484d5f4d488f9a445de34bd524df2e kie api refactor	1	-1	 2663[0] commit[0] b754c88a7e484d5f4d488f9a445de34bd524df2e[0] kie[0] api[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
