Extract Method	Translation	Positive	Negative	EmotionRationale
33 commit afefcae704a0f5da702242b2f0355c33ed8fd1cd code cleanup 	33 commit afefcae704a0f5da702242b2f0355c33ed8fd1cd code cleanup	1	-1	 33[0] commit[0] afefcae704a0f5da702242b2f0355c33ed8fd1cd[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
159 commit c0b656824c066d71f3a22a3ed1353b455633a65d * refactoring experience management slightly to be more friendly to writing tests. * implementing some tests for thaumaturgy. 	159 commit c0b656824c066d71f3a22a3ed1353b455633a65d * refactoring experience management slightly to be more friendly to writing tests.<br> * implementing some tests for thaumaturgy.	2	-1	 159[0] commit[0] c0b656824c066d71f3a22a3ed1353b455633a65d[0] refactoring[0] experience[0] management[0] slightly[0] to[0] be[0] more[0] friendly[1] to[0] writing[0] tests[0] [[Sentence=-1,2=word max, 1-5]] implementing[0] some[0] tests[0] for[0] thaumaturgy[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
183 commit c247cf45a5f9018e56b8f69efcc3aaeb749bc1cb fixes test dependencies for equipment and charms, updates junit to 4.12 and fixes an error introduced while refactoring the charm model thanks, cucumber tests! 	183 commit c247cf45a5f9018e56b8f69efcc3aeb749bc1cb fixes test dependencies for equipment and charms, updates junit to 4.12 and fixes an error introduced while refactoring the charm model thanks, cucumber tests!	2	-1	 183[0] commit[0] c247cf45a5f9018e56b8f69efcc3aaeb749bc1cb/c247cf45a5f9018e56b8f69efcc3aeb749bc1cb[0] fixes[0] test[0] dependencies[0] for[0] equipment[0] and[0] charms[1] updates[0] junit[0] to[0] 4[0] .12[0] and[0] fixes[0] an[0] error[0] introduced[0] while[0] refactoring[0] the[0] charm[1] model[0] thanks[1] cucumber[0] tests[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1807 commit 3e54c12c15f32c6e68b88d76c355bcbe44f2c8ad refactoring 	1807 commit 3e54c12c15f32c6e68b88d76c355bcbe44f2c8ad refactoring	1	-1	 1807[0] commit[0] 3e54c12c15f32c6e68b88d76c355bcbe44f2c8ad[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1808 commit bd97b3769f29f1bc4e3ec10cfeaa64cbaef86f8b refactoring 	1808 commit bd97b3769f29f1bc4e3ec10cfea64cbaef86f8b refactoring	1	-1	 1808[0] commit[0] bd97b3769f29f1bc4e3ec10cfeaa64cbaef86f8b/bd97b3769f29f1bc4e3ec10cfea64cbaef86f8b[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2139 commit 3088c3e69ac5d15e599a4126057cb20e52bc3d01 refactoring print magic 	2139 commit 3088c3e69ac5d15e599a4126057cb20e52bc3d01 refactoring print magic	1	-1	 2139[0] commit[0] 3088c3e69ac5d15e599a4126057cb20e52bc3d01[0] refactoring[0] print[0] magic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2430 commit 65594cb95d59c9acebb47b22790c78e201591f8e hands evaluation of contained charms over to charmgroup. (refactoring after #343) 	2430 commit 65594cb95d59c9acebb47b22790c78e201591f8e hands evaluation of contained charms over to charmgroup.<br> (refactoring after #343)	2	-1	 2430[0] commit[0] 65594cb95d59c9acebb47b22790c78e201591f8e[0] hands[0] evaluation[0] of[0] contained[0] charms[1] over[0] to[0] charmgroup[1] [[Sentence=-1,2=word max, 1-5]] refactoring[0] after[0] #343[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
2920 commit 85e0c75a2f8728b8efe858fd14518900898b14b3 cleancode and refactorings (increased readability) 	2920 commit 85e0c75a2f8728b8efe858fd14518900898b14b3 cleancode and refactorings (increased readability)	1	-1	 2920[0] commit[0] 85e0c75a2f8728b8efe858fd14518900898b14b3[0] cleancode[0] and[0] refactorings[0] increased[0] readability[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3386 commit 93f072b283ae6a01f2725ae12a03ee396f210bdb refactoring 	3386 commit 93f072b283ae6a01f2725ae12a03ee396f210bdb refactoring	1	-1	 3386[0] commit[0] 93f072b283ae6a01f2725ae12a03ee396f210bdb[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3550 commit 0ff438b276a0558b9e51b202abd57edc1d35c62e refactoring 	3550 commit 0ff438b276a0558b9e51b202abd57edc1d35c62e refactoring	1	-1	 3550[0] commit[0] 0ff438b276a0558b9e51b202abd57edc1d35c62e[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4092 commit 2e4bce36c0b096f2049ea1db2abdafae28829d78 restructured object all around node..hierarchicalgraph..visualizedgraph 	4092 commit 2e4bce36c0b096f2049ea1db2abdafae28829d78 restructured object all around node.<br>hierarchicalgraph.<br>visualizedgraph	1	-1	 4092[0] commit[0] 2e4bce36c0b096f2049ea1db2abdafae28829d78[0] restructured[0] object[0] all[0] around[0] node[0] [[Sentence=-1,1=word max, 1-5]] hierarchicalgraph[0] [[Sentence=-1,1=word max, 1-5]] visualizedgraph[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4482 commit d72cd02e5f80ff09912f584297614cdb2b73fe82 restructured object all around node..hierarchicalgraph..visualizedgraph 	4482 commit d72cd02e5f80ff09912f584297614cdb2b73fe82 restructured object all around node.<br>hierarchicalgraph.<br>visualizedgraph	1	-1	 4482[0] commit[0] d72cd02e5f80ff09912f584297614cdb2b73fe82[0] restructured[0] object[0] all[0] around[0] node[0] [[Sentence=-1,1=word max, 1-5]] hierarchicalgraph[0] [[Sentence=-1,1=word max, 1-5]] visualizedgraph[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
