Rename Method	Translation	Positive	Negative	EmotionRationale
149 commit 4a879f2d1bb6f07c84c418df6f33236935745f90 added tests, refactoring 	149 commit 4a879f2d1bb6f07c84c418df6f33236935745f90 added tests, refactoring	1	-1	 149[0] commit[0] 4a879f2d1bb6f07c84c418df6f33236935745f90[0] added[0] tests[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
920 commit 05d98d091b5e0279a778b8c8c9538ee61b2c8350 restructure parameters associated with data-day and source product filtering, inline binningconfig 	920 commit 05d98d091b5e0279a778b8c8c9538ee61b2c8350 restructure parameters associated with data-day and source product filtering, inline binningconfig	1	-2	 920[0] commit[0] 05d98d091b5e0279a778b8c8c9538ee61b2c8350[0] restructure[0] parameters[0] associated[0] with[0] data[0] day[0] and[0] source[-1] product[0] filtering[0] inline[0] binningconfig[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
923 commit af0ae19a9e2c4da2193a186389dc085ceeaee701 started refactoring of gui main menu 	923 commit af0ae19a9e2c4da2193a186389dc085ceeaee701 started refactoring of gui main menu	1	-1	 923[0] commit[0] af0ae19a9e2c4da2193a186389dc085ceeaee701[0] started[0] refactoring[0] of[0] gui[0] main[0] menu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1208 commit 892c0de041afb6e10c0e61dbbea2913d2096f969 redesigned assignment of shapes and strokes 	1208 commit 892c0de041afb6e10c0e61dbbea2913d2096f969 redesigned assignment of shapes and strokes	1	-1	 1208[0] commit[0] 892c0de041afb6e10c0e61dbbea2913d2096f969[0] redesigned[0] assignment[0] of[0] shapes[0] and[0] strokes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1316 commit 4bfb7c2da9ae64a978f1fbe53e79a45580938f06 refactoring defaultdomconverter... 	1316 commit 4bfb7c2da9ae64a978f1fbe53e79a45580938f06 refactoring defaultdomconverter.	1	-1	 1316[0] commit[0] 4bfb7c2da9ae64a978f1fbe53e79a45580938f06[0] refactoring[0] defaultdomconverter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1655 commit e33aea277ca3550609ea3a4a80205c7d2a5553d3 more refactorings in pixelposestimator 	1655 commit e33aea277ca3550609ea3a4a80205c7d2a553d3 more refactorings in pixelposestimator	1	-1	 1655[0] commit[0] e33aea277ca3550609ea3a4a80205c7d2a5553d3/e33aea277ca3550609ea3a4a80205c7d2a553d3[0] more[0] refactorings[0] in[0] pixelposestimator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1696 commit d1cc65f04b91b007bc77fc170f56cda742c06474 refactored json file structure 	1696 commit d1cc65f04b91b007bc77fc170f56cda742c06474 refactored json file structure	1	-1	 1696[0] commit[0] d1cc65f04b91b007bc77fc170f56cda742c06474[0] refactored[0] json[0] file[0] structure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1720 commit 08acbe921c8cd4f4d19b12a425323ec3c3a3d44c minor refactorings 	1720 commit 08acbe921c8cd4f4d19b12a425323ec3c3a3d44c minor refactorings	1	-1	 1720[0] commit[0] 08acbe921c8cd4f4d19b12a425323ec3c3a3d44c[0] minor[0] refactorings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1830 commit 8afd5b34de8155ac8a3d676aa1b8b7153c1e74a3 refactoring, made decodetest run again 	1830 commit 8afd5b34de8155ac8a3d676a1b8b7153c1e74a3 refactoring, made decodetest run again	1	-1	 1830[0] commit[0] 8afd5b34de8155ac8a3d676aa1b8b7153c1e74a3/8afd5b34de8155ac8a3d676a1b8b7153c1e74a3[0] refactoring[0] made[0] decodetest[0] run[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2469 commit e1a5eec77186b574493cb80bbc6e02e64840c55d refactor pixel extraction ui. add pattern sub dialog after directory selection refactor pixexop (cherry-picked from 85ed542) 	2469 commit e1a5eec77186b574493cb80bbc6e02e64840c55d refactor pixel extraction ui.<br> add pattern sub dialog after directory selection refactor pixexop (cherry-picked from 85ed542)	1	-1	 2469[0] commit[0] e1a5eec77186b574493cb80bbc6e02e64840c55d[0] refactor[0] pixel[0] extraction[0] ui[0] [[Sentence=-1,1=word max, 1-5]] add[0] pattern[0] sub[0] dialog[0] after[0] directory[0] selection[0] refactor[0] pixexop[0] cherry[0] picked[0] from[0] 85ed542[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
