Move Class	Translation	Positive	Negative	EmotionRationale
999 commit c9b02eb92313b766369380e0bd4236991dfa5083 lucene-4733: refactor term vectors formats tests around a basetermvectorsformattestcase. 	99 commit c9b02eb92313b766369380e0bd4236991dfa5083 lucene-4733: refactor term vectors formats tests around a basetermvectorsformattestcase.	1	-1	 999/99[0] commit[0] c9b02eb92313b766369380e0bd4236991dfa5083[0] lucene[0] -4733[0] refactor[0] term[0] vectors[0] formats[0] tests[0] around[0] a[0] basetermvectorsformattestcase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1942 commit 401f287b14b57cbb2d675885372dfdcb5e937ca6 solr-4086: refactor dih - variableresolver & evaluator 	1942 commit 401f287b14b57cbb2d675885372dfdcb5e937ca6 solr-4086: refactor dih - variableresolver & evaluator	1	-1	 1942[0] commit[0] 401f287b14b57cbb2d675885372dfdcb5e937ca6[0] solr[0] -4086[0] refactor[0] dih[0] variableresolver[0] &[0] evaluator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3352 commit 27bfe3d67d40d419d81ef63de1513065c561e835 lucene-4228: refactor charfilter to be a java.io.filterreader 	3352 commit 27bfe3d67d40d419d81ef63de1513065c561e835 lucene-4228: refactor charfilter to be a java.<br>io.<br>filterreader	1	-1	 3352[0] commit[0] 27bfe3d67d40d419d81ef63de1513065c561e835[0] lucene[0] -4228[0] refactor[0] charfilter[0] to[0] be[0] a[0] java[0] [[Sentence=-1,1=word max, 1-5]] io[0] [[Sentence=-1,1=word max, 1-5]] filterreader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3535 commit de32421a5f6a10e7cf5b6873ad36c2979e145852 tests: refactor testrealtimeget 	3535 commit de32421a5f6a10e7cf5b6873ad36c2979e145852 tests: refactor testrealtimeget	1	-1	 3535[0] commit[0] de32421a5f6a10e7cf5b6873ad36c2979e145852[0] tests[0] refactor[0] testrealtimeget[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4880 commit 67803316076561bff027df7bd7276f56f8037592 refactored away the ".strategy" sub-package name. no need since spatial4j exists. 	4880 commit 67803316076561bff027df7bd7276f56f8037592 refactored away the "<br>strategy" sub-package name.<br> no need since spatial4j exists.	1	-1	 4880[0] commit[0] 67803316076561bff027df7bd7276f56f8037592[0] refactored[0] away[0] the[0] [[Sentence=-1,1=word max, 1-5]] strategy[0] sub[0] package[0] name[0] [[Sentence=-1,1=word max, 1-5]] no[0] need[0] since[0] spatial4j[0] exists[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5201 commit 82add7a56aa0621c98388910e466711de7336aed lucene-3771: test renames/fixes after indexreader refactoring 	5201 commit 82add7a56a0621c98388910e466711de7336aed lucene-3771: test renames/fixes after indexreader refactoring	1	-1	 5201[0] commit[0] 82add7a56aa0621c98388910e466711de7336aed/82add7a56a0621c98388910e466711de7336aed[0] lucene[0] -3771[0] test[0] renames/fixes[0] after[0] indexreader[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6061 commit 6a5486b19168b8f59ef18204572342cd4a4271aa lucene-3490: restructure codec hierarchy 	6061 commit 6a5486b19168b8f59ef18204572342cd4a4271a lucene-3490: restructure codec hierarchy	1	-1	 6061[0] commit[0] 6a5486b19168b8f59ef18204572342cd4a4271aa/6a5486b19168b8f59ef18204572342cd4a4271a[0] lucene[0] -3490[0] restructure[0] codec[0] hierarchy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6735 commit 2841f55b3dff19970bcba469258246677d7761e4 merge: 72d48fb 15b8b06 solr-2452: rewrote solr build system (tighter integration with the lucene build system) and restructured solr internal and contrib modules 	6735 commit 2841f55b3dff19970bcba469258246677d7761e4 merge: 72d48fb 15b8b06 solr-2452: rewrote solr build system (tighter integration with the lucene build system) and restructured solr internal and contrib modules	1	-1	 6735[0] commit[0] 2841f55b3dff19970bcba469258246677d7761e4[0] merge[0] 72d48fb[0] 15b8b06[0] solr[0] -2452[0] rewrote[0] solr[0] build[0] system[0] tighter[0] integration[0] with[0] the[0] lucene[0] build[0] system[0] and[0] restructured[0] solr[0] internal[0] and[0] contrib[0] modules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7307 commit ce046aec41cc4ef16f0c94c1c319f1c501f0dad1 lucene-3102: first cut - some refactoring, bug fixes, add test, move to core (trunk) 	7307 commit ce046aec41cc4ef16f0c94c1c319f1c501f0dad1 lucene-3102: first cut - some refactoring, bug fixes, add test, move to core (trunk)	1	-1	 7307[0] commit[0] ce046aec41cc4ef16f0c94c1c319f1c501f0dad1[0] lucene[0] -3102[0] first[0] cut[0] some[0] refactoring[0] bug[0] fixes[0] add[0] test[0] move[0] to[0] core[0] trunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8504 commit 65553e676df084f9dcaf494dcef00616f88c5178 lucene-2754, lucene-2757: added a wrapper around multitermqueries to add span support: spanmultitermquerywrapper q extends multitermquery . using this wrapper its easy to add fuzzy/wildcard to e.g. a spannearquery. this patch also refactors all rewritemethods and attributes in mtq (class was unmaintainable). 	8504 commit 6553e676df084f9dcaf494dcef00616f88c5178 lucene-2754, lucene-2757: added a wrapper around multitermqueries to add span support: spanmultitermquerywrapper q extends multitermquery .<br> using this wrapper its easy to add fuzy/wildcard to e.<br>grin�.<br> a spannearquery.<br> this patch also refactors all rewritemethods and attributes in mtq (class was unmaintainable)	1	-1	 8504[0] commit[0] 65553e676df084f9dcaf494dcef00616f88c5178/6553e676df084f9dcaf494dcef00616f88c5178[0] lucene[0] -2754[0] lucene[0] -2757[0] added[0] a[0] wrapper[0] around[0] multitermqueries[0] to[0] add[0] span[0] support[0] spanmultitermquerywrapper[0] q[0] extends[0] multitermquery[0] [[Sentence=-1,1=word max, 1-5]] using[0] this[0] wrapper[0] its[0] easy[0] to[0] add[0] fuzzy/wildcard/fuzy/wildcard[0] to[0] e[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] a[0] spannearquery[0] [[Sentence=-1,1=word max, 1-5]] this[0] patch[0] also[0] refactors[0] all[0] rewritemethods[0] and[0] attributes[0] in[0] mtq[0] class[0] was[0] unmaintainable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
