Move Class Folder	Translation	Positive	Negative	EmotionRationale
1240 commit cc23448433e0533fdba86d8b27f11713bb772c47 context similarity evaluation api and implementation refactoring, integration test for ctx similarity eval added 	1240 commit cc23448433e0533fdba86d8b27f11713bb772c47 context similarity evaluation api and implementation refactoring, integration test for ctx similarity eval added	1	-1	 1240[0] commit[0] cc23448433e0533fdba86d8b27f11713bb772c47[0] context[0] similarity[0] evaluation[0] api[0] and[0] implementation[0] refactoring[0] integration[0] test[0] for[0] ctx[0] similarity[0] eval[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2081 commit 02ba6a87909b634b0b023a0a0ff093564989bfa2 implemented and tested activityfeed as a service, tested with integration tests and unit tests. webapp also seems to work. squashed commit of the following: commit acee33a21f3137d0dbdc760c1bc3a40d2b8015bd author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: fri feb 15 12:19:30 2013  0100 added persistance mapping commit f62931898a1626a4859fc04522339f7eba703d26 author: tcarlyle  tcarlyle@gmail.com  date: fri feb 15 10:50:20 2013  0100 adding the criteria result to the arraylist to be sure that the feed list is modifiable commit 71b5d587438b803ebb5bf805aaf035e4b16c59a2 author: tcarlyle  tcarlyle@gmail.com  date: fri feb 15 09:42:16 2013  0100 reference fixed, now we can start the platform commit 1f3fc483dd5363ed8ef39d5816305f9b0bbf13cf author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: thu feb 14 23:48:59 2013  0100 it builds now commit a12b55ef85d656515d78f82bbcba89eae2954c5a author: tcarlyle  tcarlyle@gmail.com  date: thu feb 14 18:21:11 2013  0100 cis and cis tests already build with new activity feed, but i cant yet start the platform commit 9e6437db6731cf2fb02499959f8f97d1bf29db58 author: tcarlyle  tcarlyle@gmail.com  date: thu feb 14 14:58:33 2013  0100 a few changes, but not touching on the activityfeed client yet commit cdeab12ee64bc35c96c9074c65268dcc07c68ffb author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: thu feb 14 11:06:50 2013  0100 fixed tests commit f0d12afc4ad1579d6e5dc9bcf1a0fdeecf35ece5 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: thu feb 14 02:00:32 2013  0100 refactored cismanager, integration tests is todo. commit ddf706221ebc80e0bb10dc41b7f34d0f16a8bd42 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: wed feb 13 21:06:12 2013  0100 checkpoint: afmanager unit tests runs with persistance commit 7bc778f0da1cc0a10f73573ce3ea093ec33aa734 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: wed feb 13 13:44:27 2013  0100 test logic seems close to finished, going to merge activityfeed and persistentactivityfeed. commit a785e9f59fdd0c349c383a07d2766dc4491c623d author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: wed feb 13 03:11:42 2013  0100 started work on tests for the new activityfeedservice commit 3de90db091e3359ef229f0b846b271c6c8e69b80 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: tue feb 12 23:35:56 2013  0100 checkpoint commit 8cd3c3c59c2f505e0b5087ab610d07cb3e88d977 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: tue feb 12 21:41:38 2013  0100 checkpoint commit e6c435fcf51a8cfc09962f5c47a162a8b6ea83b7 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: tue feb 12 09:51:25 2013  0100 reverted changes to cis manager, also reverted changes to activityfeed library, keeping the service as a separate project commit 5b70d2d4657f90f88f51d954b34cd0be30d9c419 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: tue feb 12 09:40:32 2013  0100 checkpoint commit f668c49e8fdecda4d984dc63764535b08a6f9d18 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: mon feb 11 23:30:19 2013  0100 checkpoint commit 8652fb5768fa23bc271a68691fcf6f0e03492bf4 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: mon feb 11 20:43:58 2013  0100 checkpoint commit 13a5d90e917ce45200e6f75665ea3c24e6c72756 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: mon feb 11 00:15:05 2013  0100 checkpoint commit 2e69211bc13d8b0b683783efc786e6091480f7f2 author: bjørn magnus mathisen  bjornmagnus.mathisen@sintef.no  date: sun feb 10 16:19:58 2013  0100 starting to convert activityfeed to service.. 	2081 commit 02ba6a87909b634b0b023a0a0ff093564989bfa2 implemented and tested activityfeed as a service, tested with integration tests and unit tests.<br> webap also seems to work.<br> squashed commit of the following: commit acee33a21f3137d0dbdc760c1bc3a40d2b8015bd author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: fri feb 15 12:19:30 2013  0100 added persistance mapping commit f62931898a1626a4859fc04522339f7eba703d26 author: tcarlyle  tcarlyle@gmail.<br>com  date: fri feb 15 10:50:20 2013  0100 adding the criteria result to the arraylist to be sure that the feed list is modifiable commit 71b5d587438b803ebb5bf805af035e4b16c59a2 author: tcarlyle  tcarlyle@gmail.<br>com  date: fri feb 15 09:42:16 2013  0100 reference fixed, now we can start the platform commit 1f3fc483dd5363ed8ef39d5816305f9b0bbf13cf author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: thu feb 14 23:48:59 2013  0100 it builds now commit a12b55ef85d656515d78f82bbcba89eae2954c5a author: tcarlyle  tcarlyle@gmail.<br>com  date: thu feb 14 18:21:11 2013  0100 cis and cis tests already build with new activity feed, but i cant yet start the platform commit 9e6437db6731cf2fb0249959f8f97d1bf29db58 author: tcarlyle  tcarlyle@gmail.<br>com  date: thu feb 14 14:58:33 2013  0100 a few changes, but not touching on the activityfeed client yet commit cdeab12ee64bc35c96c9074c65268dcc07c68ffb author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: thu feb 14 11:06:50 2013  0100 fixed tests commit f0d12afc4ad1579d6e5dc9bcf1a0fdeecf35ece5 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: thu feb 14 02:00:32 2013  0100 refactored cismanager, integration tests is todo.<br> commit ddf706221ebc80e0bb10dc41b7f34d0f16a8bd42 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: wed feb 13 21:06:12 2013  0100 checkpoint: afmanager unit tests runs with persistance commit 7bc778f0da1cc0a10f73573ce3ea093ec33a734 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: wed feb 13 13:44:27 2013  0100 test logic seems close to finished, going to merge activityfeed and persistentactivityfeed.<br> commit a785e9f59fdd0c349c383a07d2766dc4491c623d author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: wed feb 13 03:11:42 2013  0100 started work on tests for the new activityfeedservice commit 3de90db091e3359ef229f0b846b271c6c8e69b80 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: tue feb 12 23:35:56 2013  0100 checkpoint commit 8cd3c3c59c2f505e0b5087ab610d07cb3e88d977 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: tue feb 12 21:41:38 2013  0100 checkpoint commit e6c435fcf51a8cfc09962f5c47a162a8b6ea83b7 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: tue feb 12 09:51:25 2013  0100 reverted changes to cis manager, also reverted changes to activityfeed library, keeping the service as a separate project commit 5b70d2d4657f90f88f51d954b34cd0be30d9c419 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: tue feb 12 09:40:32 2013  0100 checkpoint commit f668c49e8fdecda4d984dc63764535b08a6f9d18 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: mon feb 11 23:30:19 2013  0100 checkpoint commit 8652fb5768fa23bc271a68691fcf6f0e03492bf4 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: mon feb 11 20:43:58 2013  0100 checkpoint commit 13a5d90e917ce45200e6f75665ea3c24e6c72756 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: mon feb 11 00:15:05 2013  0100 checkpoint commit 2e69211bc13d8b0b683783efc786e6091480f7f2 author: bjørn magnus mathisen  bjornmagnus.<br>mathisen@sintef.<br>no  date: sun feb 10 16:19:58 2013  0100 starting to convert activityfeed to service.	1	-1	 2081[0] commit[0] 02ba6a87909b634b0b023a0a0ff093564989bfa2[0] implemented[0] and[0] tested[0] activityfeed[0] as[0] a[0] service[0] tested[0] with[0] integration[0] tests[0] and[0] unit[0] tests[0] [[Sentence=-1,1=word max, 1-5]] webapp/webap[0] also[0] seems[0] to[0] work[0] [[Sentence=-1,1=word max, 1-5]] squashed[0] commit[0] of[0] the[0] following[0] commit[0] acee33a21f3137d0dbdc760c1bc3a40d2b8015bd[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] fri[0] feb[0] 15[0] 12[0] :19[0] :30[0] 2013[0] 0100[0] added[0] persistance[0] mapping[0] commit[0] f62931898a1626a4859fc04522339f7eba703d26[0] author[0] tcarlyle[0] tcarlyle@gmail[0] [[Sentence=-1,1=word max, 1-5]] com[0] date[0] fri[0] feb[0] 15[0] 10[0] :50[0] :20[0] 2013[0] 0100[0] adding[0] the[0] criteria[0] result[0] to[0] the[0] arraylist[0] to[0] be[0] sure[0] that[0] the[0] feed[0] list[0] is[0] modifiable[0] commit[0] 71b5d587438b803ebb5bf805aaf035e4b16c59a2/71b5d587438b803ebb5bf805af035e4b16c59a2[0] author[0] tcarlyle[0] tcarlyle@gmail[0] [[Sentence=-1,1=word max, 1-5]] com[0] date[0] fri[0] feb[0] 15[0] 09[0] :42[0] :16[0] 2013[0] 0100[0] reference[0] fixed[0] now[0] we[0] can[0] start[0] the[0] platform[0] commit[0] 1f3fc483dd5363ed8ef39d5816305f9b0bbf13cf[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] thu[0] feb[0] 14[0] 23[0] :48[0] :59[0] 2013[0] 0100[0] it[0] builds[0] now[0] commit[0] a12b55ef85d656515d78f82bbcba89eae2954c5a[0] author[0] tcarlyle[0] tcarlyle@gmail[0] [[Sentence=-1,1=word max, 1-5]] com[0] date[0] thu[0] feb[0] 14[0] 18[0] :21[0] :11[0] 2013[0] 0100[0] cis[0] and[0] cis[0] tests[0] already[0] build[0] with[0] new[0] activity[0] feed[0] but[0] i[0] cant[0] yet[0] start[0] the[0] platform[0] commit[0] 9e6437db6731cf2fb02499959f8f97d1bf29db58/9e6437db6731cf2fb0249959f8f97d1bf29db58[0] author[0] tcarlyle[0] tcarlyle@gmail[0] [[Sentence=-1,1=word max, 1-5]] com[0] date[0] thu[0] feb[0] 14[0] 14[0] :58[0] :33[0] 2013[0] 0100[0] a[0] few[0] changes[0] but[0] not[0] touching[0] on[0] the[0] activityfeed[0] client[0] yet[0] commit[0] cdeab12ee64bc35c96c9074c65268dcc07c68ffb[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] thu[0] feb[0] 14[0] 11[0] :06[0] :50[0] 2013[0] 0100[0] fixed[0] tests[0] commit[0] f0d12afc4ad1579d6e5dc9bcf1a0fdeecf35ece5[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] thu[0] feb[0] 14[0] 02[0] :00[0] :32[0] 2013[0] 0100[0] refactored[0] cismanager[0] integration[0] tests[0] is[0] todo[0] [[Sentence=-1,1=word max, 1-5]] commit[0] ddf706221ebc80e0bb10dc41b7f34d0f16a8bd42[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] wed[0] feb[0] 13[0] 21[0] :06[0] :12[0] 2013[0] 0100[0] checkpoint[0] afmanager[0] unit[0] tests[0] runs[0] with[0] persistance[0] commit[0] 7bc778f0da1cc0a10f73573ce3ea093ec33aa734/7bc778f0da1cc0a10f73573ce3ea093ec33a734[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] wed[0] feb[0] 13[0] 13[0] :44[0] :27[0] 2013[0] 0100[0] test[0] logic[0] seems[0] close[0] to[0] finished[0] going[0] to[0] merge[0] activityfeed[0] and[0] persistentactivityfeed[0] [[Sentence=-1,1=word max, 1-5]] commit[0] a785e9f59fdd0c349c383a07d2766dc4491c623d[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] wed[0] feb[0] 13[0] 03[0] :11[0] :42[0] 2013[0] 0100[0] started[0] work[0] on[0] tests[0] for[0] the[0] new[0] activityfeedservice[0] commit[0] 3de90db091e3359ef229f0b846b271c6c8e69b80[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] tue[0] feb[0] 12[0] 23[0] :35[0] :56[0] 2013[0] 0100[0] checkpoint[0] commit[0] 8cd3c3c59c2f505e0b5087ab610d07cb3e88d977[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] tue[0] feb[0] 12[0] 21[0] :41[0] :38[0] 2013[0] 0100[0] checkpoint[0] commit[0] e6c435fcf51a8cfc09962f5c47a162a8b6ea83b7[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] tue[0] feb[0] 12[0] 09[0] :51[0] :25[0] 2013[0] 0100[0] reverted[0] changes[0] to[0] cis[0] manager[0] also[0] reverted[0] changes[0] to[0] activityfeed[0] library[0] keeping[0] the[0] service[0] as[0] a[0] separate[0] project[0] commit[0] 5b70d2d4657f90f88f51d954b34cd0be30d9c419[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] tue[0] feb[0] 12[0] 09[0] :40[0] :32[0] 2013[0] 0100[0] checkpoint[0] commit[0] f668c49e8fdecda4d984dc63764535b08a6f9d18[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] mon[0] feb[0] 11[0] 23[0] :30[0] :19[0] 2013[0] 0100[0] checkpoint[0] commit[0] 8652fb5768fa23bc271a68691fcf6f0e03492bf4[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] mon[0] feb[0] 11[0] 20[0] :43[0] :58[0] 2013[0] 0100[0] checkpoint[0] commit[0] 13a5d90e917ce45200e6f75665ea3c24e6c72756[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] mon[0] feb[0] 11[0] 00[0] :15[0] :05[0] 2013[0] 0100[0] checkpoint[0] commit[0] 2e69211bc13d8b0b683783efc786e6091480f7f2[0] author[0] bjørn[0] magnus[0] mathisen[0] bjornmagnus[0] [[Sentence=-1,1=word max, 1-5]] mathisen@sintef[0] [[Sentence=-1,1=word max, 1-5]] no[0] date[0] sun[0] feb[0] 10[0] 16[0] :19[0] :58[0] 2013[0] 0100[0] starting[0] to[0] convert[0] activityfeed[0] to[0] service[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2304 commit e46b4ea5bb356750dd9442c94a9c4b24ae8f5edc merge: 8d1381f c0e7777 merge branch 'development' of https://github.com/societies/societies-platform.git into css-mgmt-api-refactor 	2304 commit e46b4ea5bb356750dd9442c94a9c4b24ae8f5edc merge: 8d1381f c0e77 merge branch 'development' of https://github.<br>com/societies/societies-platform.<br>git into css-mgmt-api-refactor	2	-1	 2304[0] commit[0] e46b4ea5bb356750dd9442c94a9c4b24ae8f5edc[0] merge[0] 8d1381f[0] c0e7777/c0e77[0][+0.6 MultipleLetters] merge[0] branch[0] 'development'[0] of[0] https[0] ://github[0] [[Sentence=-1,2=word max, 1-5]] com/societies/societies[0] platform[0] [[Sentence=-1,1=word max, 1-5]] git[0] into[0] css[0] mgmt[0] api[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
2326 commit 1cded4332345aa0fa49e453eaa22834e024c7252 major refactoring of the slm 	2326 commit 1cded4332345a0fa49e453ea22834e024c7252 major refactoring of the slm	2	-1	 2326[0] commit[0] 1cded4332345aa0fa49e453eaa22834e024c7252/1cded4332345a0fa49e453ea22834e024c7252[0][+0.6 MultipleLetters] major[0] refactoring[0] of[0] the[0] slm[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3798 commit 7fea2de0d9ba9e4f8d9656b42df44afcaab5ede4 merge: 904150e 2935513 merge branch 'development' into cleanupall # by aleckey (11) and others # via guido spadotto (22) and others * development: (62 commits) new android notifier new attribute types added got the 2 pager working for services tiny fix on cis service registry refactoring & adding parent sri field to service model added boundary code for the case when eventmgmt has not been wired in cis first small fixes on cismanager service on android fix on pubsub and xmpp error parsing cpa integration test running, without cpa interaction (only cis creation at the moment), fixed osx issue with swing adding null check - fix error in query code reported by jacqueline webapp: show cis and 3p service privacy policy social prov content provider pom fix fix of cis privacy access control fixed up getinstalledapplications() method bug-fixing for service sharing / device management extensive logs removed before merging remote context eventing tests android personalisation updates cardinality fix on cis ... conflicts: context-management/contextbroker/pom.xml context-management/context-cloud-bundle/pom.xml css-modules/device-mgmt/devicecommsmgr/pom.xml css-modules/device-mgmt/rfiddriver/pom.xml css-modules/serviceregistry/pom.xml personalisation/personalisation-groupmanager/pom.xml platform-infrastructure/comms-frwk/pubsubclientbundle/src/main/java/org/societies/comm/xmpp/pubsub/impl/pubsubclientimpl.java platform-infrastructure/comms-frwk/pubsubservicebundle/src/main/resources/meta-inf/spring/bundle-context.xml 	3798 commit 7fea2de0d9ba9e4f8d9656b42df44afcab5ede4 merge: 904150e 2935513 merge branch 'development' into cleanupall # by aleckey (11) and others # via guido spadotto (22) and others * development: (62 commits) new android notifier new attribute types added got the 2 pager working for services tiny fix on cis service registry refactoring & adding parent sri field to service model added boundary code for the case when eventmgmt has not been wired in cis first small fixes on cismanager service on android fix on pubsub and xmp error parsing cpa integration test running, without cpa interaction (only cis creation at the moment) fixed osx issue with swing adding null check - fix error in query code reported by jacqueline webap: show cis and 3p service privacy policy social prov content provider pom fix fix of cis privacy access control fixed up getinstalledapplications( method bug-fixing for service sharing / device management extensive logs removed before merging remote context eventing tests android personalisation updates cardinality fix on cis .<br> conflicts: context-management/contextbroker/pom.<br>xml context-management/context-cloud-bundle/pom.<br>xml css-modules/device-mgmt/devicecommsmgr/pom.<br>xml css-modules/device-mgmt/rfiddriver/pom.<br>xml css-modules/serviceregistry/pom.<br>xml personalisation/personalisation-groupmanager/pom.<br>xml platform-infrastructure/comms-frwk/pubsubclientbundle/src/main/java/org/societies/comm/xmpp/pubsub/impl/pubsubclientimpl.<br>java platform-infrastructure/comms-frwk/pubsubservicebundle/src/main/resources/meta-inf/spring/bundle-context.<br>xml	1	-1	 3798[0] commit[0] 7fea2de0d9ba9e4f8d9656b42df44afcaab5ede4/7fea2de0d9ba9e4f8d9656b42df44afcab5ede4[0] merge[0] 904150e[0] 2935513[0] merge[0] branch[0] 'development'[0] into[0] cleanupall[0] #[0] by[0] aleckey[0] (11[0] and[0] others[0] #[0] via[0] guido[0] spadotto[0] (22[0] and[0] others[0] development[0] (62[0] commits[0] new[0] android[0] notifier[0] new[0] attribute[0] types[0] added[0] got[0] the[0] 2[0] pager[0] working[0] for[0] services[0] tiny[0] fix[0] on[0] cis[0] service[0] registry[0] refactoring[0] &[0] adding[0] parent[0] sri[0] field[0] to[0] service[0] model[0] added[0] boundary[0] code[0] for[0] the[0] case[0] when[0] eventmgmt[0] has[0] not[0] been[0] wired[0] in[0] cis[0] first[0] small[0] fixes[0] on[0] cismanager[0] service[0] on[0] android[0] fix[0] on[0] pubsub[0] and[0] xmpp/xmp[0] error[0] parsing[0] cpa[0] integration[0] test[0] running[0] without[0] cpa[0] interaction[0] only[0] cis[0] creation[0] at[0] the[0] moment[0] fixed[0] osx[0] [[Sentence=-1,1=word max, 1-5]] conflicts[0] context[0] management/contextbroker/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] context[0] management/context[0] cloud[0] bundle/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] css[0] modules/device[0] mgmt/devicecommsmgr/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] css[0] modules/device[0] mgmt/rfiddriver/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] css[0] modules/serviceregistry/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] personalisation/personalisation[0] groupmanager/pom[0] [[Sentence=-1,1=word max, 1-5]] xml[0] platform[0] infrastructure/comms[0] frwk/pubsubclientbundle/src/main/java/org/societies/comm/xmpp/pubsub/impl/pubsubclientimpl[0] [[Sentence=-1,1=word max, 1-5]] java[0] platform[0] infrastructure/comms[0] frwk/pubsubservicebundle/src/main/resources/meta[0] inf/spring/bundle[0] context[0] [[Sentence=-1,1=word max, 1-5]] xml[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6058 commit a24b925af3a5bf99da346f7c63610d0cfb41d29c various fixes and refactoring refactored start-stop test. fixed memory leak with service registry. added logging to service discovery. bug-fixes on uninstall service in serviceregistrylistener. 	6058 commit a24b925af3a5bf99da346f7c63610d0cfb41d29c various fixes and refactoring refactored start-stop test.<br> fixed memory leak with service registry.<br> added logging to service discovery.<br> bug-fixes on uninstall service in serviceregistrylistener.	1	-2	 6058[0] commit[0] a24b925af3a5bf99da346f7c63610d0cfb41d29c[0] various[0] fixes[0] and[0] refactoring[0] refactored[0] start[0] stop[0] test[0] [[Sentence=-1,1=word max, 1-5]] fixed[0] memory[0] leak[-1] with[0] service[0] registry[0] [[Sentence=-2,1=word max, 1-5]] added[0] logging[0] to[0] service[0] discovery[0] [[Sentence=-1,1=word max, 1-5]] bug[0] fixes[0] on[0] uninstall[0] service[0] in[0] serviceregistrylistener[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
6120 commit f77fd4c441e55cf827c80e4c51fa6be92073557d refactor socialprofiler packages from personalization -  personalisation (as asked) 	6120 commit f77fd4c441e55cf827c80e4c51fa6be92073557d refactor socialprofiler packages from personalization -  personalisation (as asked)	1	-1	 6120[0] commit[0] f77fd4c441e55cf827c80e4c51fa6be92073557d[0] refactor[0] socialprofiler[0] packages[0] from[0] personalization[0] personalisation[0] as[0] asked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6798 commit 0d5e1674a6ff6e63e6c1da92dcaa5050c71b1ba5 refactoring and update engine 	6798 commit 0d5e1674a6ff6e63e6c1da92dca5050c71b1ba5 refactoring and update engine	1	-1	 6798[0] commit[0] 0d5e1674a6ff6e63e6c1da92dcaa5050c71b1ba5/0d5e1674a6ff6e63e6c1da92dca5050c71b1ba5[0] refactoring[0] and[0] update[0] engine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7597 commit b95f5e4bb7964c1ba326a6004f0ea215dbfdba78 merged with current development branch and refactored userpreferencemanagement and personalisationmanager 	7597 commit b95f5e4bb7964c1ba326a6004f0ea215dbfdba78 merged with current development branch and refactored userpreferencemanagement and personalisationmanager	1	-1	 7597[0] commit[0] b95f5e4bb7964c1ba326a6004f0ea215dbfdba78[0] merged[0] with[0] current[0] development[0] branch[0] and[0] refactored[0] userpreferencemanagement[0] and[0] personalisationmanager[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8915 commit 65a79e6ccfa08931422d17de98fb98405461a91c refactor path. 	8915 commit 65a79e6ccfa08931422d17de98fb98405461a91c refactor path.	1	-1	 8915[0] commit[0] 65a79e6ccfa08931422d17de98fb98405461a91c[0] refactor[0] path[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
